# Chiu+2022 Fig. 8 model curve, RGB (0.894, 0.102, 0.11)
R_hinvMpc	g_plus
0.233071	0.03262298
0.310307	0.02625473
0.413138	0.02077252
0.550046	0.01588394
0.732324	0.01175447
0.975004	0.00842116
1.298100	0.00593036
1.728266	0.00414206
2.300974	0.00285233
3.063465	0.00192544
