# Chiu et al. 2022 A&A 661 A11, Fig. 8: stacked tangential
# reduced shear profile of the eFEDS cluster sample, recovered
# from the vector content stream of arXiv:2107.05652 e-print
# file materials/g.pdf.  Errors are +-1 sigma, symmetric in
# linear g.  used_fiducial = 0 for the three R < 0.5 h^-1 Mpc
# bins the paper excludes from its fiducial lensing model.
R_hinvMpc	g_plus	err_lo	err_hi	used_fiducial
0.233071	0.02433784	0.00342657	0.00342657	0
0.310307	0.02425961	0.00254850	0.00254850	0
0.413138	0.01988166	0.00193507	0.00193507	0
0.550046	0.01553502	0.00144115	0.00144115	1
0.732324	0.01166749	0.00109531	0.00109531	1
0.975004	0.00922554	0.00082575	0.00082575	1
1.298100	0.00603447	0.00063542	0.00063542	1
1.728266	0.00378521	0.00048576	0.00048576	1
2.300974	0.00232883	0.00037635	0.00037635	1
3.063465	0.00207195	0.00029287	0.00029287	1
