# Random-point null for the DECADE shear measurement.  Same estimator,
# same cuts, same binning; positions carry the redshift of a real eFEDS
# system so the background cut is identical.
id	z	bin	R_Mpc	theta_arcmin	n	gt	gx	err	R11	R22	beta	beta2
RND0000	0.6630	0	0.32967	nan	3	nan	nan	nan	nan	nan	nan	nan
RND0000	0.6630	1	0.43892	nan	8	nan	nan	nan	nan	nan	nan	nan
RND0000	0.6630	2	0.58437	nan	8	nan	nan	nan	nan	nan	nan	nan
RND0000	0.6630	3	0.81305	1.9391	21	-0.0081089	0.0265103	0.0443581	0.71013	0.66846	0.28363	0.08455
RND0000	0.6630	4	1.05279	2.5109	47	-0.0452242	0.0020604	0.0339257	0.67733	0.78166	0.27481	0.07953
RND0000	0.6630	5	1.38669	3.3073	63	-0.0634590	0.0214687	0.0312907	0.67451	0.60109	0.27773	0.07995
RND0000	0.6630	6	1.85042	4.4133	131	-0.1075052	-0.0366226	0.0323490	0.50476	0.50465	0.29630	0.09311
RND0000	0.6630	7	2.48654	5.9305	223	-0.0189184	-0.0174178	0.0189307	0.59897	0.57655	0.28530	0.08544
RND0000	0.6630	8	3.31280	7.9011	336	-0.0041529	0.0133514	0.0179248	0.60334	0.56463	0.29547	0.09143
RND0000	0.6630	9	4.40444	10.5047	698	-0.0136982	-0.0007766	0.0109393	0.62586	0.60610	0.29668	0.09251
RND0001	1.0770	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0001	1.0770	1	0.43892	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0001	1.0770	2	0.58437	nan	5	nan	nan	nan	nan	nan	nan	nan
RND0001	1.0770	3	0.77803	nan	2	nan	nan	nan	nan	nan	nan	nan
RND0001	1.0770	4	1.03586	nan	5	nan	nan	nan	nan	nan	nan	nan
RND0001	1.0770	5	1.37912	nan	11	nan	nan	nan	nan	nan	nan	nan
RND0001	1.0770	6	1.83614	nan	18	nan	nan	nan	nan	nan	nan	nan
RND0001	1.0770	7	2.43085	4.9775	29	-0.0081306	-0.0173165	0.0659260	0.53682	0.59849	0.14918	0.02291
RND0001	1.0770	8	3.34155	6.8423	38	0.0866856	-0.0506364	0.0600247	0.49593	0.64544	0.13946	0.01983
RND0001	1.0770	9	4.40908	9.0283	75	-0.0231471	-0.0444427	0.0561153	0.49452	0.43730	0.14333	0.02097
RND0002	0.9220	0	0.32967	nan	2	nan	nan	nan	nan	nan	nan	nan
RND0002	0.9220	1	0.43892	nan	2	nan	nan	nan	nan	nan	nan	nan
RND0002	0.9220	2	0.58437	nan	4	nan	nan	nan	nan	nan	nan	nan
RND0002	0.9220	3	0.77803	nan	6	nan	nan	nan	nan	nan	nan	nan
RND0002	0.9220	4	1.03586	nan	15	nan	nan	nan	nan	nan	nan	nan
RND0002	0.9220	5	1.37912	nan	19	nan	nan	nan	nan	nan	nan	nan
RND0002	0.9220	6	1.89374	4.0237	20	0.1761229	-0.0166643	0.0895719	0.65343	0.34341	0.17960	0.03395
RND0002	0.9220	7	2.47771	5.2645	50	0.0126592	0.0854399	0.0522312	0.58090	0.53455	0.19060	0.03764
RND0002	0.9220	8	3.27758	6.9640	85	0.0619098	-0.0176937	0.0375861	0.59350	0.48287	0.19880	0.04094
RND0002	0.9220	9	4.38244	9.3116	146	-0.0442632	0.0176029	0.0314623	0.55080	0.63460	0.19347	0.03920
RND0003	0.4300	0	0.32967	nan	3	nan	nan	nan	nan	nan	nan	nan
RND0003	0.4300	1	0.43892	nan	3	nan	nan	nan	nan	nan	nan	nan
RND0003	0.4300	2	0.58437	nan	5	nan	nan	nan	nan	nan	nan	nan
RND0003	0.4300	3	0.77803	nan	12	nan	nan	nan	nan	nan	nan	nan
RND0003	0.4300	4	1.07055	3.1804	30	-0.0157561	-0.0073380	0.0421646	0.74777	0.69329	0.42524	0.18725
RND0003	0.4300	5	1.38770	4.1226	52	-0.0273312	0.0303686	0.0405629	0.75519	0.69536	0.44387	0.20661
RND0003	0.4300	6	1.86693	5.5463	126	-0.0063104	0.0203534	0.0307873	0.70584	0.66211	0.44163	0.20239
RND0003	0.4300	7	2.48268	7.3756	227	0.0291077	-0.0534586	0.0201700	0.62133	0.63695	0.45685	0.21592
RND0003	0.4300	8	3.30784	9.8270	402	0.0002350	0.0240438	0.0164322	0.62559	0.62055	0.45961	0.21845
RND0003	0.4300	9	4.40610	13.0898	671	-0.0333737	-0.0108702	0.0121776	0.71203	0.68859	0.46052	0.21924
RND0004	0.7610	0	0.32967	nan	2	nan	nan	nan	nan	nan	nan	nan
RND0004	0.7610	1	0.43892	nan	3	nan	nan	nan	nan	nan	nan	nan
RND0004	0.7610	2	0.58437	nan	3	nan	nan	nan	nan	nan	nan	nan
RND0004	0.7610	3	0.77803	nan	4	nan	nan	nan	nan	nan	nan	nan
RND0004	0.7610	4	1.03586	nan	12	nan	nan	nan	nan	nan	nan	nan
RND0004	0.7610	5	1.40725	3.1792	23	-0.0143673	0.0470444	0.0538629	0.61985	0.42423	0.24938	0.06546
RND0004	0.7610	6	1.81737	4.1057	46	0.0259339	0.0136390	0.0522521	0.55645	0.50392	0.26106	0.07257
RND0004	0.7610	7	2.46422	5.5671	65	-0.0079752	0.0743980	0.0338524	0.50568	0.66223	0.25410	0.06818
RND0004	0.7610	8	3.29837	7.4515	132	-0.0205305	-0.0419537	0.0273537	0.55094	0.62501	0.25173	0.06675
RND0004	0.7610	9	4.45064	10.0547	235	0.0395130	0.0075792	0.0198840	0.59098	0.59263	0.25351	0.06783
RND0005	0.6440	0	0.32967	nan	3	nan	nan	nan	nan	nan	nan	nan
RND0005	0.6440	1	0.43892	nan	1	nan	nan	nan	nan	nan	nan	nan
RND0005	0.6440	2	0.58437	nan	8	nan	nan	nan	nan	nan	nan	nan
RND0005	0.6440	3	0.77803	nan	7	nan	nan	nan	nan	nan	nan	nan
RND0005	0.6440	4	1.03586	nan	19	nan	nan	nan	nan	nan	nan	nan
RND0005	0.6440	5	1.43903	3.4752	26	-0.0510379	-0.0468155	0.0603469	0.74815	0.49998	0.30834	0.10090
RND0005	0.6440	6	1.86804	4.5112	46	-0.0146214	-0.0413024	0.0447284	0.62740	0.50681	0.29836	0.09434
