kernel_id,omega,fundamental_magnitude,fundamental_phase_radian,loop_area
K00_INSTANTANEOUS,0.05,1.0,-0.0,5.551115123125783e-17
K00_INSTANTANEOUS,0.1,1.0,-0.0,5.551115123125783e-17
K00_INSTANTANEOUS,0.2,1.0,-0.0,5.551115123125783e-17
K00_INSTANTANEOUS,0.4,1.0,-0.0,5.551115123125783e-17
K01_RETARDED,0.05,0.9999970249440472,-0.012212115218949198,0.03834826997333962
K01_RETARDED,0.1,0.9999971844628551,-0.024424232723059845,0.07669084032696843
K01_RETARDED,0.2,0.9999979833585851,-0.04884843587569491,0.15333596328477728
K01_RETARDED,0.4,1.0000008473151776,-0.0976966833782405,0.3063064022185599
K02_EXPONENTIAL,0.05,0.9998481410896259,-0.01501682947317486,0.04714796362361179
K02_EXPONENTIAL,0.1,0.9993896404620584,-0.03244648006624011,0.10181064709882237
K02_EXPONENTIAL,0.2,0.9975619865354238,-0.06732859959248479,0.2107551877076988
K02_EXPONENTIAL,0.4,0.9903505196353349,-0.13655043444255302,0.4233489686380648
K03_BIEXPONENTIAL,0.05,0.9984543122352156,-0.02651700192960216,0.0831320882894998
K03_BIEXPONENTIAL,0.1,0.9938773657412362,-0.0545192779886312,0.17007273609114842
K03_BIEXPONENTIAL,0.2,0.9767967681388218,-0.10700624184670325,0.32760549372277353
K03_BIEXPONENTIAL,0.4,0.9234795899052068,-0.18837751024423405,0.5430648704251899
K04_DAMPED_RESONANCE,0.05,1.000046904609747,4.089762868429322e-05,0.0001284356143235743
K04_DAMPED_RESONANCE,0.1,1.0001898318024594,-0.002526898278081606,0.007936640380660387
K04_DAMPED_RESONANCE,0.2,1.000762870788857,-0.007678914979397492,0.024132023815489012
K04_DAMPED_RESONANCE,0.4,1.003061387970179,-0.0180253950571561,0.05677481873002538
K05_HYSTERETIC,0.05,1.1858340826478824,-0.04068980487597907,0.15134702776813325
K05_HYSTERETIC,0.1,1.1858305196404137,-0.041633003751574256,0.15485613558236644
K05_HYSTERETIC,0.2,1.1858148607767391,-0.044284404368742515,0.16471884605729747
K05_HYSTERETIC,0.4,1.1857513649764664,-0.05009968799137877,0.18634095019871777
K06_STOCHASTIC_OU,0.05,0.9998481410896259,-0.01501682947317486,0.04714796362361179
K06_STOCHASTIC_OU,0.1,0.9993896404620584,-0.03244648006624011,0.10181064709882237
K06_STOCHASTIC_OU,0.2,0.9975619865354238,-0.06732859959248479,0.2107551877076988
K06_STOCHASTIC_OU,0.4,0.9903505196353349,-0.13655043444255302,0.4233489686380648
