sequence	redshift	log_stellar_mass	log_baryonic_mass	stellar_fraction	sigma0_km_s
1	6.020000000000e-01	1.085000000000e+01	1.093000000000e+01	8.317637711027e-01	3.090000000000e+01
2	6.260000000000e-01	1.100000000000e+01	1.107000000000e+01	8.511380382024e-01	2.580000000000e+01
3	6.690000000000e-01	1.076000000000e+01	1.082000000000e+01	8.709635899561e-01	4.980000000000e+01
4	6.780000000000e-01	1.049000000000e+01	1.058000000000e+01	8.128305161641e-01	3.850000000000e+01
5	7.580000000000e-01	1.066000000000e+01	1.077000000000e+01	7.762471166287e-01	2.430000000000e+01
6	7.770000000000e-01	1.035000000000e+01	1.058000000000e+01	5.888436553556e-01	8.140000000000e+01
7	7.850000000000e-01	1.052000000000e+01	1.063000000000e+01	7.762471166287e-01	2.300000000000e+01
8	7.870000000000e-01	1.077000000000e+01	1.089000000000e+01	7.585775750292e-01	8.500000000000e+00
9	7.880000000000e-01	9.780000000000e+00	1.018000000000e+01	3.981071705535e-01	5.100000000000e+01
10	7.980000000000e-01	1.068000000000e+01	1.094000000000e+01	5.495408738576e-01	2.990000000000e+01
11	7.990000000000e-01	1.063000000000e+01	1.078000000000e+01	7.079457843841e-01	1.000000000000e+00
12	8.000000000000e-01	9.690000000000e+00	9.810000000000e+00	7.585775750292e-01	3.290000000000e+01
13	8.030000000000e-01	1.059000000000e+01	1.070000000000e+01	7.762471166287e-01	2.940000000000e+01
14	8.030000000000e-01	1.048000000000e+01	1.056000000000e+01	8.317637711027e-01	2.930000000000e+01
15	8.090000000000e-01	1.020000000000e+01	1.033000000000e+01	7.413102413009e-01	3.800000000000e+01
16	8.200000000000e-01	1.112000000000e+01	1.119000000000e+01	8.511380382024e-01	2.740000000000e+01
17	8.230000000000e-01	1.003000000000e+01	1.026000000000e+01	5.888436553556e-01	1.680000000000e+01
18	8.240000000000e-01	1.059000000000e+01	1.063000000000e+01	9.120108393559e-01	9.300000000000e+00
19	8.280000000000e-01	1.087000000000e+01	1.099000000000e+01	7.585775750292e-01	9.640000000000e+01
20	8.310000000000e-01	1.037000000000e+01	1.057000000000e+01	6.309573444802e-01	2.890000000000e+01
21	8.320000000000e-01	1.007000000000e+01	1.036000000000e+01	5.128613839914e-01	5.210000000000e+01
22	8.520000000000e-01	1.083000000000e+01	1.095000000000e+01	7.585775750292e-01	3.710000000000e+01
23	8.540000000000e-01	1.073000000000e+01	1.093000000000e+01	6.309573444802e-01	1.800000000000e+00
24	8.680000000000e-01	1.031000000000e+01	1.055000000000e+01	5.754399373372e-01	4.980000000000e+01
25	8.890000000000e-01	1.063000000000e+01	1.082000000000e+01	6.456542290347e-01	4.430000000000e+01
26	8.920000000000e-01	1.003000000000e+01	1.032000000000e+01	5.128613839914e-01	3.570000000000e+01
27	8.920000000000e-01	9.820000000000e+00	1.015000000000e+01	4.677351412872e-01	2.440000000000e+01
28	8.930000000000e-01	9.590000000000e+00	9.970000000000e+00	4.168693834703e-01	1.000000000000e+00
29	8.950000000000e-01	1.012000000000e+01	1.029000000000e+01	6.760829753920e-01	2.750000000000e+01
30	8.960000000000e-01	1.026000000000e+01	1.048000000000e+01	6.025595860744e-01	2.850000000000e+01
31	8.960000000000e-01	1.028000000000e+01	1.051000000000e+01	5.888436553556e-01	1.820000000000e+01
32	9.000000000000e-01	1.030000000000e+01	1.054000000000e+01	5.754399373372e-01	5.130000000000e+01
33	9.000000000000e-01	1.031000000000e+01	1.056000000000e+01	5.623413251903e-01	4.750000000000e+01
34	9.010000000000e-01	1.010000000000e+01	1.026000000000e+01	6.918309709189e-01	2.880000000000e+01
35	9.050000000000e-01	1.014000000000e+01	1.038000000000e+01	5.754399373372e-01	1.000000000000e+00
36	9.060000000000e-01	1.092000000000e+01	1.102000000000e+01	7.943282347243e-01	3.620000000000e+01
37	9.070000000000e-01	1.085000000000e+01	1.097000000000e+01	7.585775750292e-01	4.140000000000e+01
38	9.070000000000e-01	1.077000000000e+01	1.094000000000e+01	6.760829753920e-01	4.000000000000e+01
39	9.120000000000e-01	9.960000000000e+00	1.030000000000e+01	4.570881896149e-01	2.330000000000e+01
40	9.120000000000e-01	1.083000000000e+01	1.092000000000e+01	8.128305161641e-01	3.830000000000e+01
41	9.130000000000e-01	1.113000000000e+01	1.126000000000e+01	7.413102413009e-01	9.520000000000e+01
42	9.140000000000e-01	1.071000000000e+01	1.085000000000e+01	7.244359600750e-01	3.630000000000e+01
43	9.140000000000e-01	1.032000000000e+01	1.048000000000e+01	6.918309709189e-01	4.740000000000e+01
44	9.190000000000e-01	1.094000000000e+01	1.105000000000e+01	7.762471166287e-01	9.490000000000e+01
45	9.210000000000e-01	1.061000000000e+01	1.068000000000e+01	8.511380382024e-01	2.280000000000e+01
46	9.220000000000e-01	1.019000000000e+01	1.034000000000e+01	7.079457843841e-01	5.880000000000e+01
47	9.270000000000e-01	1.066000000000e+01	1.080000000000e+01	7.244359600750e-01	1.000000000000e+00
48	9.390000000000e-01	1.030000000000e+01	1.062000000000e+01	4.786300923226e-01	1.900000000000e+00
49	9.490000000000e-01	1.017000000000e+01	1.043000000000e+01	5.495408738576e-01	3.160000000000e+01
50	9.500000000000e-01	1.074000000000e+01	1.095000000000e+01	6.165950018615e-01	6.060000000000e+01
51	9.520000000000e-01	1.010000000000e+01	1.031000000000e+01	6.165950018615e-01	3.020000000000e+01
52	9.530000000000e-01	9.910000000000e+00	1.018000000000e+01	5.370317963703e-01	6.580000000000e+01
53	9.530000000000e-01	9.850000000000e+00	1.001000000000e+01	6.918309709189e-01	3.550000000000e+01
54	9.530000000000e-01	9.910000000000e+00	1.008000000000e+01	6.760829753920e-01	1.630000000000e+01
55	9.540000000000e-01	1.095000000000e+01	1.104000000000e+01	8.128305161641e-01	4.680000000000e+01
56	1.002000000000e+00	1.083000000000e+01	1.100000000000e+01	6.760829753920e-01	1.990000000000e+01
57	1.004000000000e+00	1.029000000000e+01	1.053000000000e+01	5.754399373372e-01	1.000000000000e+00
58	1.010000000000e+00	9.530000000000e+00	9.940000000000e+00	3.890451449943e-01	1.970000000000e+01
59	1.017000000000e+00	1.044000000000e+01	1.061000000000e+01	6.760829753920e-01	4.220000000000e+01
60	1.018000000000e+00	1.031000000000e+01	1.059000000000e+01	5.248074602498e-01	5.870000000000e+01
61	1.019000000000e+00	1.051000000000e+01	1.064000000000e+01	7.413102413009e-01	2.170000000000e+01
62	1.024000000000e+00	1.064000000000e+01	1.079000000000e+01	7.079457843841e-01	1.210000000000e+01
63	1.026000000000e+00	1.089000000000e+01	1.103000000000e+01	7.244359600750e-01	1.000000000000e+00
64	1.031000000000e+00	1.074000000000e+01	1.099000000000e+01	5.623413251903e-01	5.790000000000e+01
65	1.032000000000e+00	1.080000000000e+01	1.098000000000e+01	6.606934480076e-01	1.700000000000e+00
66	1.306000000000e+00	1.070000000000e+01	1.085000000000e+01	7.079457843841e-01	2.140000000000e+01
67	1.382000000000e+00	1.100000000000e+01	1.131000000000e+01	4.897788193684e-01	8.240000000000e+01
68	1.382000000000e+00	1.008000000000e+01	1.039000000000e+01	4.897788193684e-01	1.840000000000e+01
69	1.382000000000e+00	1.082000000000e+01	1.107000000000e+01	5.623413251903e-01	2.930000000000e+01
70	1.418000000000e+00	1.050000000000e+01	1.072000000000e+01	6.025595860744e-01	4.460000000000e+01
71	1.427000000000e+00	1.026000000000e+01	1.060000000000e+01	4.570881896149e-01	4.010000000000e+01
72	1.493000000000e+00	1.022000000000e+01	1.056000000000e+01	4.570881896149e-01	2.970000000000e+01
73	1.498000000000e+00	1.031000000000e+01	1.053000000000e+01	6.025595860744e-01	5.200000000000e+01
74	1.510000000000e+00	1.100000000000e+01	1.120000000000e+01	6.309573444802e-01	3.940000000000e+01
75	1.518000000000e+00	1.107000000000e+01	1.137000000000e+01	5.011872336273e-01	1.589000000000e+02
76	1.525000000000e+00	1.081000000000e+01	1.111000000000e+01	5.011872336273e-01	2.540000000000e+01
77	1.526000000000e+00	1.133000000000e+01	1.148000000000e+01	7.079457843841e-01	3.240000000000e+01
78	1.534000000000e+00	1.019000000000e+01	1.042000000000e+01	5.888436553556e-01	5.230000000000e+01
79	1.548000000000e+00	1.081000000000e+01	1.104000000000e+01	5.888436553556e-01	4.950000000000e+01
80	1.551000000000e+00	9.930000000000e+00	1.030000000000e+01	4.265795188016e-01	5.940000000000e+01
81	1.551000000000e+00	9.930000000000e+00	1.020000000000e+01	5.370317963703e-01	4.050000000000e+01
82	1.588000000000e+00	1.072000000000e+01	1.100000000000e+01	5.248074602498e-01	3.440000000000e+01
83	1.599000000000e+00	1.085000000000e+01	1.103000000000e+01	6.606934480076e-01	4.680000000000e+01
84	1.612000000000e+00	1.068000000000e+01	1.090000000000e+01	6.025595860744e-01	3.950000000000e+01
85	1.613000000000e+00	1.118000000000e+01	1.131000000000e+01	7.413102413009e-01	5.050000000000e+01
86	1.614000000000e+00	1.061000000000e+01	1.088000000000e+01	5.370317963703e-01	4.820000000000e+01
87	1.615000000000e+00	1.130000000000e+01	1.147000000000e+01	6.760829753920e-01	5.970000000000e+01
88	1.656000000000e+00	9.900000000000e+00	1.050000000000e+01	2.511886431510e-01	5.230000000000e+01
89	1.665000000000e+00	1.074000000000e+01	1.097000000000e+01	5.888436553556e-01	5.240000000000e+01
90	2.028000000000e+00	1.034000000000e+01	1.069000000000e+01	4.466835921510e-01	3.210000000000e+01
91	2.036000000000e+00	1.065000000000e+01	1.098000000000e+01	4.677351412872e-01	2.120000000000e+01
92	2.037000000000e+00	1.124000000000e+01	1.139000000000e+01	7.079457843841e-01	1.041000000000e+02
93	2.042000000000e+00	1.075000000000e+01	1.108000000000e+01	4.677351412872e-01	6.100000000000e+01
94	2.063000000000e+00	1.076000000000e+01	1.109000000000e+01	4.677351412872e-01	4.520000000000e+01
95	2.113000000000e+00	1.013000000000e+01	1.057000000000e+01	3.630780547701e-01	5.590000000000e+01
96	2.152000000000e+00	1.046000000000e+01	1.080000000000e+01	4.570881896149e-01	1.200000000000e+00
97	2.163000000000e+00	1.035000000000e+01	1.065000000000e+01	5.011872336273e-01	5.080000000000e+01
98	2.167000000000e+00	1.064000000000e+01	1.096000000000e+01	4.786300923226e-01	4.710000000000e+01
99	2.171000000000e+00	1.002000000000e+01	1.035000000000e+01	4.677351412872e-01	5.450000000000e+01
100	2.171000000000e+00	1.040000000000e+01	1.079000000000e+01	4.073802778041e-01	5.800000000000e+01
101	2.180000000000e+00	1.121000000000e+01	1.143000000000e+01	6.025595860744e-01	1.110000000000e+01
102	2.182000000000e+00	1.132000000000e+01	1.149000000000e+01	6.760829753920e-01	7.160000000000e+01
103	2.186000000000e+00	1.036000000000e+01	1.075000000000e+01	4.073802778041e-01	2.390000000000e+01
104	2.187000000000e+00	1.100000000000e+01	1.134000000000e+01	4.570881896149e-01	3.290000000000e+01
