CATID	CUBEIDPUB	arm	CUBEFWHM	CUBETEXP	WARNMULT	WARNSK2M	WARNSKER	WARNRE	WARNWCS	WARNEMFT	WARNSKEM	WARNFCAL	WARNZ	RA_OBJ	DEC_OBJ	z_spec	r_petro	M_r	r_e	ellip	PA	mu_within_1re	g_i	Mstar	photometry	ReMGE	mMGE	PAMGE	epsMGE_Re	epsMGE_LW	dist2NNeigh	morph_type	SurfaceDensity	SurfaceDensity_err	SurfaceDensityFlag	SIGMA_RE	SIGMA_RE_ERR	SIGMA_RE_MGE	SIGMA_RE_MGE_ERR	LAMBDAR_RE	LAMBDAR_RE_ERR	VSIGMA_RE	VSIGMA_RE_ERR	PA_STELKIN	PA_STELKIN_ERR	APER_CORR_FLAG	MEAN_K51_RE	PA_GASKIN	PA_GASKIN_ERR	V_GAS_RE	V_GAS_RE_ERR	VDISP_GAS_RE	VDISP_GAS_RE_ERR	HALPHA_RE	HALPHA_RE_ERR	cluster	R_on_rtwo	V_on_sigma	is_mem	R_proj_Mpc_from_cat	v_pec_kms	host_z_clus	host_sigma_200	host_e_sigma_200	host_N_mem_R200	host_R_200	host_M_200_caustic	host_M_200_virial	has_stelkin_sigma_re	has_lambda_re	has_stelkin_pa	has_gaskin_pa	has_gas_vdisp_re	has_resolved_kin_maps	kin_quality_clean	has_struct_full	has_mge	has_morph	has_env_cluster	incl_deg_thin
278812	278812_A	GAMA	2.48861	18000	0	0	0	0	0	0	0	0	0	133.781	0.811588	0.04171	16.552	-19.82	4.72	0.591	53.52	21.1	0.52	9.54	GAMA	3.086	16.6613	53.9477	0.549171	0.511915	16.5501	3	5.992	0.8656	0	58.6168	3.36719	53.3412	3.36445					36	6.5			61.5	0.166667	8.04553	0.211124	53.6774	0.199861	82.2829	0.310494														True	False	True	True	True	True	True	True	True	True	False	65.858
278826	278826_A	GAMA	1.64229	12528	0	0	0	0	0	0	0	0	0	133.753	0.854715	0.0417	19.006	-17.43	1.85	0.4952	103.14	21.72	0.65	8.7	GAMA	1.32022	19.1207	103.651	0.266236	0.511667	5.88218	3	4.009	7.154	0									160.5	29.9167			125.5	1.75	-5.35624	0.326993	28.1307	0.439646	9.01018	0.0676369														False	False	True	True	True	True	True	True	True	True	False	59.6819
278840	278840_A	GAMA	1.64229	12528	0	0	0	0	0	0	0	0	0	133.959	0.831146	0.04171	15.42	-20.97	3.15	0.2466	54.24	19.64	1.03	10.41	GAMA	2.50119	15.5435	45.2855	0.179747	0.22926	15.8402	0.5	5.278	5.0946	0	101.722	1.26747	101.368	1.07506	0.314872	0.00750105	0.343706	0.00811737	223.5	1.16667	0	0.0419925	45	0.166667	19.3644	0.26783	91.731	0.232482	138.543	0.41085														True	True	True	True	True	True	True	True	True	True	False	41.1142
278846	278846_A	GAMA	1.4306	11730	0	0	0	0	0	0	0	0	0	133.945	0.801569	0.04138	17.353	-19.07	3.86	0.6318	129.4	21.31	0.89	9.54	GAMA	2.17133	17.4935	125.001	0.551968	0.554431	13.7164	3	6.429	4.8646	0	62.6879	4.51875	57.6809	4.88875					333	13.8333		0.350665	308	0.416667	-9.31423	0.342449	34.6057	0.395728	24.5408	0.214631														True	False	True	True	True	True	True	True	True	True	False	68.3954
278855	278855_A	GAMA	2.48861	18000	0	0	0	0	0	0	0	0	0	133.949	0.841978	0.04175	18.36	-18.11	2.47	0.2264	150.19	22.07	0.71	9.02	GAMA	1.92551	18.4924	159.472	0.0732573	0.18642	18.3103	3	16.674	9.0718	0	43.3295	10.4523	46.4748	9.71967					344.5	29.9167			357	0.416667	17.3776	0.602901	22.3012	0.962497	5.08451	0.0737392														True	False	True	True	True	True	True	True	True	True	False	39.3217
278909	278909_A	GAMA	2.5075	10800	0	0	0	0	0	0	0	0	0	134.425	0.817313	0.04141	17.759	-18.72	2.6	0.4769	24.77	21.28	0.78	9.33	GAMA	1.87802	17.8854	24.15	0.350853	0.447776	4.09319	3	0.519	0.0833	0	59.444	5.34911	56.8564	5.92402					342.5	16.5833			33	0.833333	-19.2494	0.448145	55.2302	0.458314	11.7396	0.0852863														True	False	True	True	True	True	True	True	True	True	False	58.4596
278995	278995_A	GAMA	2.5075	10800	0	0	0	0	0	0	0	0	0	134.837	0.861713	0.01307	16.738	-17.3	3.23	0.576	111.24	21.78	0.46	8.52	GAMA	3.65993	16.6776	108.786	0.429572	0.409185	6.17557	3	0.334	0.1654	0	43.6328	6.30733	41.5591	6.14933					318	13.75			288	0.166667	8.82758	0.0919507	26.3317	0.125393	85.9045	0.253356														True	False	True	True	True	True	True	True	True	True	False	64.9126
279066	279066_A	GAMA	1.46941	12600	0	0	0	0	0	0	0	0	0	135.133	0.976422	0.01815	19.513		11.84	0.2765	165.4	25.43	0.61	8.25	GAMA	2.17117	19.6581	137.954	0.248462	0.139946	4.5789	3	0.237	0.0324	0													13.5	0.166667	27.8187	0.316806	16.1821	0.649104	50.7826	0.399036														False	False	False	True	True	True	True	True	True	True	False	43.6558
279148	279148_A	GAMA	2.04001	16200	0	0	0	0	0	0	0	0	0	135.746	0.831006	0.02741	16.945	-18.56	2.63	0.6815	9.53	19.9	0.92	9.38	GAMA	1.58556	17.0023	9.49709	0.408654	0.5445	15.0056	2.5	0.13	0.0116	0	67.7745	2.43446	62.1523	2.60697	0.350273	0.0285879	0.471601	0.0369068	184.5	3.41667	0	0.0459628	186.5	0.166667	-15.2758	0.335395	67.4363	0.312959	29.4734	0.133108														True	True	True	True	True	True	True	True	True	True	False	71.4278
279160	279160_A	GAMA	1.46941	12600	0	0	0	0	0	0	0	0	0	135.781	0.858218	0.01312	17.475	-16.32	5.99	0.5717	40.93	22.62	0.39	8.06	GAMA	3.52574	17.7504	45.31	0.478791	0.561518	5.06706	3	0.256	0.0406	1	50.9282	7.94941	49.6611	6.68797					92.5	29.9167			213	0.166667	-91.9493	0.14933	27.357	0.206246	52.9638	0.21799														True	False	True	True	True	True	True	True	True	True	False	64.6403
279261	279261_A	GAMA	2.04001	16200	0	0	0	0	0	0	0	0	0	136.266	0.933421	0.03639	17.245	-18.83	2.2	0.4002	66.24	20.36	0.65	9.26	GAMA	1.57941	17.2948	67.57	0.113246	0.24125	11.5667	2.5	0.046	0.0086	1	47.8996	3.64569	42.9574	3.5347					95.5	29.9167			48.5	1.66667	-6.70758	0.108909	29.7383	0.1312	75.9567	0.234237														True	False	True	True	True	True	True	True	True	True	False	53.1444
279818	279818_A	GAMA	2.52453	12600	0	0	0	0	0	0	0	0	0	139.439	1.05542	0.02727	15.798	-19.7	7.24	0.2086	22.89	22.25	0.55	9.54	GAMA	7.07023	15.8358	49.8647	0.114872	0.0753834	7.02245	3	0.143	0.0128	1	41.993	4.32887	43.8432	3.62751					16	12.5833			19.5	0.166667	-11.7399	0.0946042	26.055	0.127778	176.755	0.428863														True	False	True	True	True	True	True	True	True	True	False	37.6835
279840	279840_A	GAMA	1.60493	21600	0	0	0	0	0	0	0	0	0	139.659	1.05695	0.08669	17.071	-21.02	3.22	0.4744	56.86	20.92	1.13	10.44	GAMA	2.3334	17.1076	57.8597	0.368759	0.451114	13.5689	1	2.528	0.166	0	120.65	2.50678	115.332	2.49569	0.569523	0.0155714	0.749723	0.02637	232.5	1.66667	0	0.0356677	236	0.25	38.5278	2.21901	124.188	2.03033	9.04232	0.136925														True	True	True	True	True	True	True	True	True	True	False	58.2914
