Name	Name_as_printed	RAdeg	DEdeg	z_clus	sigma_200	e_sigma_200	R_200	M_200_caustic	e_M_200_caustic	M_200_virial	e_M_200_virial	N_mem_R200	N_mem_2R200	N_z_R200	N_z_2R200	Compl_R200_pct	Compl_2R200_pct
APMCC 0917	APMCC 917	355.397880	-29.236351	0.0509	492	47	1.19	1.8	0.7	2.1	0.6	86	119	255	654	96	92
Abell 168	Abell 168	18.815777	0.213486	0.0449	546	29	1.32	1.9	1.1	3.0	0.4	192	276	505	1382	94	95
Abell 4038	Abell 4038	356.937810	-28.140661	0.0293	597	29	1.46	2.3	1.4	2.9	0.5	164	263	885	2408	97	91
EDCC 442	EDCC 442	6.380680	-33.046570	0.0498	583	39	1.41	2.8	1.7	3.6	0.7	123	243	279	927	91	94
Abell 3880	Abell 3880	336.977050	-30.575371	0.0578	660	46	1.59	4.4	1.3	4.6	1.1	160	307	356	1151	99	99
Abell 2399	Abell 2399	329.372605	-7.795692	0.0580	690	32	1.66	4.7	1.5	6.1	0.8	254	343	544	1394	99	99
Abell 119	Abell 119	14.067150	-1.255370	0.0442	840	36	2.04	8.6	3.1	9.7	1.1	372	578	835	2341	89	85
Abell 85	Abell  85	10.460211	-9.303184	0.0549	1002	28	2.42	15.5	3.7	17.0	1.3	590	772	1736	3132	98	94
