CATID	RA	Dec	r	priority
10001319	183.977851326425	0.371598647121803	17.53195	5
10001355	183.099120084551	1.53844318837304	17.39839	5
10001400	174.317730200145	-0.390977803013897	17.43524	5
10001405	180.595020332949	0.946917535761421	17.454	5
10001417	186.131472691246	1.96834630120102	17.41788	5
10001448	220.652323463171	0.196879668330788	17.4589	5
10001479	218.148708659507	-0.602645862642529	17.44657	5
10001484	221.00086675608	-0.539616139028044	17.54664	5
10001526	223.027493598802	0.799810650662469	17.63298	5
10001547	221.440490413238	1.58795786265881	17.44529	5
10001604	222.078529133118	-1.74034287312698	17.53926	5
10001617	218.727303031509	-1.41501603749694	17.43022	5
10001647	214.048049103479	-1.50510793634915	17.54155	5
10001664	216.361045905786	-1.66747796320214	17.42658	5
10001711	131.768234358912	1.28614958453891	17.6901	4
10001719	131.556503203278	1.86252689045001	17.73964	4
10001737	132.83418715515	2.88859370874662	17.83669	4
10001764	141.446139213513	1.4966841778583	17.77989	4
10001780	138.890786687749	1.96099749408642	17.62867	4
10001789	138.957657090963	1.75357757926195	17.72634	4
10001820	182.232816112498	-0.98007048227742	17.77824	4
10001837	183.304257754325	0.324226807083604	17.70356	4
10001855	184.106895160481	1.21073789547656	17.75888	4
10001866	185.102554260042	-1.74686100623324	17.67911	4
10000687	181.811582766159	0.00107870619331338	16.72381	7
10000707	185.888876160535	-0.403029605912544	17.04276	7
10000720	186.095288124004	0.833915853555521	17.25068	7
10000732	211.377232701845	-1.18259594586345	16.57284	7
10000769	218.30368486327	-0.364186530972198	17.08093	7
10000860	213.021636819022	-1.01763143454524	16.63304	7
10000892	218.756334480115	-0.0508490288788998	17.32641	7
10000909	217.758225482652	0.419027076335437	16.49	7
10000961	218.440316724827	1.06483337123863	16.48001	7
10000970	212.493558601278	1.69325284610678	15.72238	7
10001071	211.314125796884	-1.76631897246212	17.03901	7
10001120	219.319033302872	-1.96648823880696	17.12865	7
10001123	221.889594460261	-1.92735449222189	17.38733	7
10001143	222.783293849012	-1.40198383253237	16.50951	7
10001184	211.718062458353	1.68274693061442	16.98621	7
10001196	216.178004379871	-1.53455869483307	17.05331	7
10001218	223.524028705193	-0.543178076148487	17.0543	7
10001227	223.156855885566	1.28675806015673	17.04393	7
10001236	223.529899829359	-1.30141945544483	17.14145	7
10001265	134.367918815088	0.514127033948637	17.38323	5
10001267	139.800769288542	-0.902766669117304	17.43979	5
10001946	182.827815991065	0.571026458219993	17.64381	4
10002051	220.968122990032	-0.835506246897331	17.66952	4
10002059	221.600324195734	-0.443611216018746	17.62227	4
10002079	215.478606108953	0.385460350463361	17.75781	4
10002081	216.973984783089	0.252926996267106	17.77017	4
10002118	212.854146854276	1.61208231248015	17.84904	4
10002164	220.432745426004	1.64945278539603	17.76258	4
10002234	217.633014322489	-1.13340931898854	17.85698	4
10002242	213.028140369361	-0.942156698254619	17.88867	4
10002274	223.599505131704	1.39580423446335	17.69887	4
10002301	132.124522530464	1.26007607660994	15.82686	3
10002305	134.304613339685	1.10264253139453	17.28887	3
