CATID	cluster	RA_OBJ	DEC_OBJ	z_spec	r_petro	M_r	r_e	ellip	PA	mu_within_1re	g_i	Mstar	R_on_rtwo	V_on_sigma	is_mem	SURV_SAMI	BAD_CLASS	sep_deg	R_proj_Mpc_from_cat	R_proj_Mpc_direct	R_on_R200_recomputed	v_pec_kms	host_RAdeg	host_DEdeg	host_z_clus	host_sigma_200	host_e_sigma_200	host_N_mem_R200	host_N_mem_2R200	host_R_200	host_M_200_caustic	host_e_M_200_caustic	host_M_200_virial	host_e_M_200_virial
9008500282	Abell 85	10.4052	-9.54819	0.0592923	16.5928	-20.4665	1.35374	0.459103	151.168	18.5854	1.20469	10.311	0.398581	1.25479	1	7	0	0.25095	0.964565	0.964028	0.398359	1257.3	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500432	Abell 85	10.4995	-9.65257	0.0524211	19.1507	-21.7506	4.35167	0.548201	162.962	20.3926	3.25211	13.1414	0.558325	-0.692348	1	7	1	0.351527	1.35115	1.3504	0.558015	-693.732	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500651	Abell 85	10.6406	-8.88149	0.0592537	15.898	-21.0997	6.64471	0.753534	223.25	20.5481	1.23006	10.6096	0.727092	1.2439	1	7	0	0.457786	1.75956	1.75859	0.72669	1246.39	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008501061	Abell 85	9.77594	-9.21668	0.0649649	16.3157	-20.6755	4.35438	0.618944	112.496	20.5751	0.962582	10.2272	1.08142	2.85275	0	2	0	0.680871	2.61703	2.61558	1.08082	2858.45	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008501077	Abell 85	11.0095	-9.72629	0.056318	16.8156	-20.236	3.543	0.19151	156.796	21.1545	1.06322	10.1101	1.09171	0.413498	1	2	0	0.68735	2.64193	2.64047	1.0911	414.325	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008501230	Abell 85	11.1724	-9.59881	0.0569313	16.1388	-20.8939	2.70678	0.30269	78.2998	19.7792	1.19965	10.4872	1.21056	0.587158	1	2	0	0.76218	2.92955	2.92793	1.20989	588.332	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9011902594	Abell 119	15.241	-1.00203	0.0510639	17.614	-19.0047	5.00364	0.846825	102.131	21.1403	1.13593	9.71401	1.84724	2.34059	0	2	0	1.20065	3.76838	3.76075	1.84351	1966.1	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9016800341	Abell 168	18.6302	0.129071	0.0433981	18.5457	-17.9386	0.915613	0.0173715	104.554	20.4147	0.927933	9.09662	0.489645	-0.797432	1	3	0	0.203882	0.646332	0.648186	0.49105	-435.398	18.8158	0.213486	0.0449	546	29	192	276	1.32	1.9	1.1	3	0.4
9239900017	Abell 2399	329.357	-7.82406	0.0589416	17.3898	-19.7681	1.47715	0.443482	285.994	19.5977	1.20456	10.0353	0.0788416	0.402415	1	7	0	0.0324117	0.130877	0.131061	0.0789521	277.666	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9239900114	Abell 2399	329.321	-7.92026	0.0554179	17.3248	-19.8575	1.04908	0.553573	224.662	18.5134	1.15628	10.037	0.327344	-1.04607	1	7	0	0.134594	0.54339	0.544248	0.32786	-721.788	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9011900123	Abell 119	14.1611	-1.3518	0.0446175	16.3997	-20.1247	1.76242	0.573643	145.962	18.701	1.16315	10.1702	0.207154	0.144019	1	7	0	0.134644	0.422595	0.42174	0.206735	120.976	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900124	Abell 119	13.937	-1.21594	0.0417486	16.8288	-19.6927	2.1123	0.577896	229.618	19.4767	1.12997	9.97156	0.209196	-0.8379	1	7	0	0.13597	0.426759	0.425895	0.208772	-703.836	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900273	Abell 119	13.8391	-1.35238	0.0412902	15.1299	-21.4669	3.95597	0.548552	181.039	19.2184	1.24499	10.7761	0.381238	-0.99503	1	7	0	0.247793	0.777726	0.776152	0.380467	-835.825	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900288	Abell 119	14.2965	-1.38012	0.0488271	16.2388	-20.2606	4.93512	0.712876	204.062	20.5219	0.939484	10.0272	0.401568	1.57996	1	8	0	0.261007	0.819199	0.817542	0.400756	1327.17	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900498	Abell 119	14.1856	-0.874825	0.046788	15.7971	-20.6968	4.15409	0.206319	150.914	20.5968	1.14204	10.3774	0.613182	0.885118	1	7	0	0.398549	1.25089	1.24836	0.611941	743.499	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900535	Abell 119	13.7111	-1.47934	0.0462954	15.7655	-20.7284	4.31175	0.584298	267.697	19.978	1.11366	10.3685	0.647089	0.717055	1	7	0	0.420587	1.32006	1.31739	0.64578	602.326	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900735	Abell 119	13.6631	-1.60064	0.0421811	17.089	-19.3576	4.91028	0.402635	160.807	21.9247	0.742779	9.54026	0.817492	-0.689713	1	8	0	0.531344	1.66768	1.66431	0.815838	-579.359	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900934	Abell 119	14.437	-0.745973	0.0448671	17.2689	-19.218	1.91641	0.619743	140.692	19.6725	1.13648	9.78072	0.968491	0.22932	1	7	0	0.629488	1.97572	1.97172	0.966531	192.629	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011901210	Abell 119	14.4174	-0.591288	0.0456105	15.1553	-21.3082	4.92751	0.0284691	155.425	20.6717	1.18706	10.6622	1.15509	0.483282	1	2	0	0.750771	2.35638	2.35161	1.15275	405.957	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011901375	Abell 119	14.2719	-0.459716	0.0411198	16.7588	-19.6373	4.09279	0.280767	209.058	21.3869	1.08295	9.9234	1.26403	-1.05349	1	2	0	0.82158	2.57862	2.5734	1.26147	-884.929	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011901591	Abell 119	14.0723	-0.369017	0.0441181	15.7801	-21.0542					1.10439	10.4907	1.36371	-0.0266949	1	2	3	0.886368	2.78197	2.77634	1.36095	-22.4237	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9008501719	Abell 85	9.56467	-9.73012	0.0575387	16.3484	-20.6456	2.43504	0.125141	268.961	20.0766	1.29885	10.4637	1.55809	0.759063	1	2	0	0.980988	3.77057	3.76848	1.55722	760.581	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008502496	Abell 85	11.194	-10.3044	0.0546215	16.0316	-20.9519	5.15135	0.447782	123.445	20.8652	1.12325	10.4579	1.96156	-0.0674339	1	2	0	1.23502	4.74698	4.74435	1.96048	-67.5687	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9091700038	APMCC 0917	355.413	-29.1495	0.0508673	15.6831	-21.1548	3.23661	0.568036	31.154	19.2484	1.22636	10.6279	0.264472	-0.0349439	1	7	0	0.0879233	0.314722	0.314634	0.264398	-17.1924	355.398	-29.2364	0.0509	492	47	86	119	1.19	1.8	0.7	2.1	0.6
9091700123	APMCC 0917	355.195	-29.1857	0.0471797	16.974	-19.8369	2.22286	0.143081	146.609	20.5884	0.703083	9.67486	0.55437	-2.17473	1	3	0	0.18429	0.6597	0.659483	0.554187	-1069.97	355.398	-29.2364	0.0509	492	47	86	119	1.19	1.8	0.7	2.1	0.6
9044200042	EDCC 442	6.32546	-33.1197	0.0547024	15.745	-21.0659	5.5794	0.195969	48.522	20.9587	1.28477	10.6156	0.215228	2.38219	1	7	0	0.0864997	0.303471	0.303245	0.215067	1388.81	6.38068	-33.0466	0.0498	583	39	123	243	1.41	2.8	1.7	3.6	0.7
9044200090	EDCC 442	6.27314	-32.9471	0.0494259	16.7222	-20.0498	1.05724	0.514017	156.69	17.9778	1.25137	10.2082	0.334155	-0.196879	1	7	0	0.134297	0.471159	0.47081	0.333908	-114.78	6.38068	-33.0466	0.0498	583	39	123	243	1.41	2.8	1.7	3.6	0.7
9044200121	EDCC 442	6.41536	-32.8795	0.0471452	16.238	-20.5102	2.80395	0.339073	47.6765	20.064	0.644233	9.90837	0.421993	-1.31569	1	3	0	0.169599	0.595011	0.59457	0.421681	-767.045	6.38068	-33.0466	0.0498	583	39	123	243	1.41	2.8	1.7	3.6	0.7
9403800131	Abell 4038	356.806	-28.0173	0.0336264	15.504	-20.106	6.26194	0.457083	110.808	20.7368	1.12686	10.1596	0.246445	2.08147	1	7	0	0.16971	0.35981	0.358709	0.245691	1242.64	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800315	Abell 4038	356.681	-27.9337	0.0306641	17.026	-18.5335	2.67099	0.632428	142.67	20.1102	1.15456	9.55769	0.445682	0.640622	1	7	0	0.306908	0.650695	0.648701	0.444315	382.451	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800349	Abell 4038	356.595	-28.006	0.0262604	13.9007	-21.6565	5.85829	0.699396	18.7495	18.402	1.16627	10.8146	0.481306	-1.50897	1	7	0	0.331441	0.702707	0.700554	0.479832	-900.853	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
