CATID	RA	Dec	r	priority
888347680035	329.414129788145	-7.85460110385671	15.69344	7
999091700260	355.6177063	-29.4984665	17.21056	7
999044200512	6.3756495	-32.5719109	14.849874	7
999388000180	336.7589722	-30.7121639	16.44346	7
999388000454	336.8470764	-30.2264004	14.959262	8
999388000603	337.3286438	-30.8617611	17.121387	8
999091700244	355.4715881	-29.5438557	17.142305	8
999403800429	356.4335938	-28.0012016	17.114002	7
999044200338	6.4200225	-32.6653671	16.377684	8
888742420648	18.6815417558805	0.562418267153503	16.8055	8
888726753899	18.7496163977895	0.351461371940953	17.30585	7
888526500456	329.477275419959	-8.02184328414562	16.45244	7
999388000402	336.9378967	-30.2349072	15.530934	7
999388000894	337.2945251	-30.1591301	15.696343	7
999403800527	357.4317322	-28.0688267	16.2489	7
999403800652	356.4900208	-28.5121517	15.9024	7
999403800795	357.4875488	-28.3797245	17.01123	8
999403801380	357.1580811	-28.8396969	16.175087	8
999403801581	356.861908	-28.9283085	14.633964	7
999091700016	355.4709473	-29.270525	17.100657	7
999091700187	355.6782532	-29.1241035	17.144556	8
999091700291	355.0149841	-29.2871132	14.414223	7
999091700913	356.0706482	-29.2218266	15.309723	7
999091701159	356.1471863	-29.1351471	16.88705	7
999403801118	357.4910889	-28.5634708	17.024572	7
999044200084	6.2392545	-32.8781776	17.010565	8
999044201162	6.8829103	-32.4718246	16.529783	7
888129907210	14.2318172348535	-0.811174558850733	16.24337	7
888993231374	10.2622547416668	-9.68131456303631	16.07158	8
888530233487	10.6652669767335	-9.21039487069522	16.96376	8
999403800104	357.0114441	-27.9389439	17.187984	7
999403801312	357.7235413	-28.0516968	15.990027	7
999091700267	355.5979309	-28.9611359	17.002876	8
999091701177	354.6967163	-28.97262	16.411177	8
999403801191	357.3049011	-28.7269135	16.949608	7
999403801334	357.7297363	-28.2162762	17.100103	8
999091700198	355.23349	-28.9947395	16.604118	7
999403800433	357.3247375	-28.3262386	17.007296	7
999403800582	356.719696	-27.6492271	17.133966	7
999403801461	357.6846619	-27.7894821	17.088276	7
999044200535	5.8147025	-32.9217873	16.946901	8
999044200605	6.8490582	-32.7026176	15.168991	7
888752654346	10.5440397760198	-9.76951598084916	16.65705	8
999091700329	355.6980286	-29.4798164	15.642612	7
999403800995	357.2720337	-28.6796799	17.182991	8
999403801883	357.845459	-28.3658638	17.078955	7
999091700134	355.1461182	-29.1669121	15.738998	8
999388000202	337.2316895	-30.4620724	16.477242	7
999388000278	337.0412903	-30.8560925	16.474785	8
999091700480	354.9417114	-29.3737164	17.071032	7
999091700916	355.6243591	-28.6831951	17.113316	8
999091701145	355.3151855	-28.5813847	15.769615	7
999403800488	357.4042969	-28.2058563	16.086472	7
999403800643	356.3832092	-27.8621979	15.525032	7
999044200303	6.6418619	-32.7563477	16.171476	8
999044200770	6.6067104	-32.4982643	15.25323	7
999044201037	7.0870366	-32.7207184	16.250732	8
999091701170	356.159729	-29.2183533	16.33835	8
999091701295	354.8128662	-28.7675133	17.13939	8
999388000806	336.7729492	-31.0173569	14.287368	7
999403800562	357.3938904	-28.3495388	16.779327	7
999403801991	356.489563	-28.9496498	16.777435	7
999044200453	5.9488921	-32.7876854	16.617373	7
999044200775	6.7709365	-32.5651817	17.091852	7
999388000378	336.8243408	-30.8808727	14.371679	8
999388000531	336.5224915	-30.6092873	15.355253	7
999091701306	354.8457947	-28.7322788	16.82139	8
999091701455	355.6496582	-28.5276356	15.905509	7
999091701466	354.7457275	-28.7569809	16.624784	7
999403801788	356.2859497	-28.7861004	15.546755	7
999044201047	6.3497891	-32.366478	17.01803	7
888530233491	10.6895216091201	-9.31339758225104	16.78423	7
999388000092	336.9859924	-30.4066048	14.863637	7
999091700369	355.4689941	-29.6072884	16.048859	7
999403800888	357.1309509	-28.7040462	15.10407	7
999044200199	6.4704103	-32.759037	16.973032	7
999044200320	6.751121	-32.839138	17.214054	8
999091700082	355.5869141	-29.1524105	16.094893	7
888135399466	14.5163962904297	-1.4409396185166	15.81613	7
999091700345	355.5966187	-28.9159775	16.716616	7
999403801099	357.2803345	-28.7124538	15.743532	7
999403802095	357.1965942	-29.0043259	16.014595	7
888105467943	329.113339675241	-7.85191701191508	17.00748	7
999388000568	337.153656	-30.1999092	13.972443	8
999388000647	337.2867126	-30.2391186	16.842485	8
999091700333	355.7908325	-29.3412724	16.150642	8
999091700543	355.7971191	-28.9607735	16.529076	7
999091701312	356.0264282	-28.8040066	16.911367	7
999403800590	356.3930054	-27.8832111	15.3396845	7
999403801489	357.5719604	-28.6309109	16.233526	8
999044200537	6.0191803	-32.659214	15.007538	7
999044200999	6.4645486	-32.3900833	17.165339	8
999388000262	337.2045898	-30.3787708	17.176456	8
999091701473	356.0813293	-28.7866402	15.620318	7
999044200887	7.1181297	-32.9699554	15.297896	8
999388000792	337.509613	-30.4603348	16.726954	7
999403800596	357.4685974	-28.1657333	16.772575	8
888279356938	18.7324165600609	0.841031027005476	15.56812	8
999388000497	337.2548218	-30.2807884	16.985651	7
999091701252	354.7203064	-28.89184	15.470468	7
999091701305	354.704834	-28.8934002	16.852655	7
999044200074	6.4874969	-32.870224	16.102669	7
888922425410	18.9391633518824	0.695887260849446	16.87463	7
999091700446	355.5318909	-29.6259212	16.48308	8
999091701241	355.8129883	-28.6601219	14.872772	7
999403801169	357.6870117	-28.1293755	17.120043	8
999044200246	6.0227995	-32.9273033	16.768976	8
999044200765	7.0386753	-32.8834267	17.22892	7
999044200896	5.6970334	-32.7948227	16.89297	7
999091700173	355.0979614	-29.2011986	16.860424	7
999388000858	337.2824097	-30.9872723	16.460907	8
999403800109	356.7186584	-27.9723091	17.225655	7
999044200297	6.4996252	-32.6995087	16.880507	8
888347745387	329.512325185195	-7.83106179487327	17.04928	8
999403801877	357.8569946	-27.936142	16.33444	7
999044201055	6.266923	-32.3697891	16.510042	7
999091700167	355.101532	-29.2444992	16.5679	7
888922228780	18.4733377539904	0.75992419090277	17.28789	8
888922228776	18.4319723182828	0.820635112794078	15.76812	8
999388000639	337.2320557	-30.9419308	17.044744	7
999044200410	6.1446719	-32.6675453	16.919256	8
999091700201	355.5287476	-28.975441	16.818369	8
999091700471	354.9317017	-29.1465645	15.508308	7
999403800399	357.0930786	-28.4965782	17.124828	7
999044200094	6.5288892	-32.8733292	16.18537	8
999044200522	6.733582	-32.6662598	16.141357	7
999388000130	337.024292	-30.7754955	16.36539	7
999091700416	355.2979736	-29.6223755	16.692207	8
999091701054	355.1058655	-29.8114185	17.236526	7
999091701085	355.8664246	-29.7271519	16.269606	7
999091701319	355.0497131	-29.8689251	16.050602	7
999403800283	357.2786865	-28.0630264	15.876412	8
999403801066	357.3166504	-28.6828213	15.894607	8
999403801719	357.8379211	-28.2272854	15.09515	8
999403801737	357.7311096	-28.533062	17.129047	7
999388000026	337.03479	-30.637991	15.699289	8
999403801351	357.2066345	-28.817728	15.590945	7
999403802098	357.7151489	-28.6957417	17.20795	7
999044200160	6.5817103	-32.8314323	14.446384	7
888592839849	13.8926092039391	-1.05410219370861	17.00624	8
999388000730	336.6724854	-30.2001209	14.379732	7
999091700561	355.1111145	-29.6126804	16.515512	7
999388000737	337.5007629	-30.6672516	15.611627	8
999044200830	5.7980738	-32.6937523	15.879104	8
999091700207	355.1185303	-29.0803623	15.917906	7
999091700209	355.0675659	-29.2047787	16.947235	7
999403800638	356.7889709	-28.6361141	16.797243	7
999403801023	356.5274353	-28.6948261	16.359962	7
999403802006	356.9451599	-29.0262432	17.142193	7
999388000109	336.9439087	-30.7615891	17.179398	8
999388000261	336.7752686	-30.3591614	15.9974575	8
999091700925	356.0436707	-29.0637245	15.16582	7
999091701052	355.8713684	-29.7096691	16.491514	7
999044200049	6.5469632	-32.9840736	15.93355	7
999091700397	355.5227966	-29.607151	17.09513	8
999091701223	355.9048462	-29.749567	16.841654	7
999091700431	355.5473022	-29.6150703	15.052166	7
999091700836	355.8211365	-29.6556358	14.19426	8
999091701365	355.421814	-28.5207787	17.216673	8
999388000890	336.9356384	-30.0791893	13.452629	7
999403801879	356.7996216	-28.9905491	16.049164	7
999044200119	6.1824455	-32.8716927	16.795265	8
999044201259	6.7049785	-32.3493652	15.638488	7
999091700001	355.3940735	-29.2190399	16.362637	7
999388000576	336.5040283	-30.5795612	17.174862	8
999091700257	355.0643005	-29.09692	16.854177	7
999091700355	354.9915771	-29.3376656	15.858141	7
999091701354	354.786438	-28.7665157	15.796665	7
888113978372	13.664373011911	-0.982374315349737	17.24674	8
999388000323	336.6255493	-30.6234322	13.799406	8
999091700282	355.6507263	-29.4853344	16.601423	7
999403800211	357.0198669	-28.4021091	16.416134	7
999403800642	356.3344421	-27.9588776	16.814495	8
999403801583	357.5971985	-27.6127529	16.908745	7
999403801936	357.2953796	-28.9376316	15.367489	8
999044200388	6.2148037	-32.6526871	16.664457	7
888826396175	10.5006988588217	-9.07783825455563	16.0234	8
999388000182	337.1747131	-30.7347469	16.445873	7
999388000550	336.5606079	-30.751276	17.004585	7
999403801274	357.1968994	-28.7983246	14.6821165	8
999044200003	6.423171	-33.0122528	16.406221	7
999044200131	6.6195359	-32.8907738	17.02639	7
999091700022	355.473999	-29.2830486	15.691732	7
