CATID	TYPE
230829	3.0
230836	2.0
230837	-9.0
230880	1.0
230884	3.0
230898	-9.0
230901	3.0
231024	3.0
231528	1.5
237990	3.0
238072	3.0
238080	3.0
238085	3.0
238094	3.0
238125	3.0
238131	3.0
238164	3.0
238203	1.5
238204	2.0
238211	0.0
238212	0.0
238213	1.5
238214	0.5
238216	1.5
238221	3.0
238276	1.0
238282	1.0
238325	0.5
238328	3.0
238350	2.0
238351	2.0
238358	2.0
238360	3.0
238369	2.5
238395	3.0
238398	-9.0
238406	3.0
238412	1.0
238453	0.5
238458	0.0
238496	1.5
238500	0.0
238922	0.0
239092	3.0
239109	2.0
239172	3.0
239249	3.0
239292	0.5
239376	3.0
239490	3.0
239560	2.5
240108	3.0
240202	3.0
240205	3.0
240227	2.5
240263	2.5
240352	1.5
240432	2.0
240449	3.0
250179	-9.0
250183	0.5
250192	1.5
250243	0.0
250277	3.0
250466	2.5
250473	2.0
251297	3.0
251367	3.0
251887	2.0
252005	2.0
252008	-9.0
252021	2.0
252057	0.5
252074	3.0
252091	3.0
271385	2.0
271387	1.0
271431	1.5
271455	2.0
271465	3.0
271481	1.5
271538	0.5
271562	3.0
271610	1.5
272190	0.0
272298	2.0
272439	1.0
272443	2.0
272488	0.5
272543	3.0
272571	3.0
272667	3.0
272748	3.0
272820	0.0
272822	3.0
272831	0.5
272833	0.5
272990	0.5
272995	1.5
272996	3.0
273092	3.0
273242	3.0
273256	1.5
273296	3.0
273309	3.0
273336	1.0
273514	3.0
273577	3.0
273654	1.0
273750	3.0
273845	0.0
273850	1.0
273889	1.5
273925	3.0
273951	3.0
273952	3.0
273966	-9.0
273976	-9.0
273986	3.0
278074	3.0
278109	1.5
278350	0.5
278390	2.0
278548	3.0
278554	3.0
278643	3.0
278684	3.0
278702	3.0
278703	3.0
278736	1.5
278741	3.0
278760	3.0
278773	5.0
278787	3.0
278802	1.5
278804	1.5
278812	3.0
278826	3.0
278840	0.5
278846	3.0
278855	3.0
278909	3.0
278995	3.0
279066	3.0
279148	2.5
279160	3.0
279261	2.5
279818	3.0
279840	1.0
279878	0.0
279886	3.0
279891	3.0
279905	0.5
279910	0.5
279917	3.0
279932	0.0
279943	3.0
287692	0.5
287824	2.5
287827	1.5
288364	3.0
288424	3.0
288461	3.0
288679	1.0
288694	0.5
288756	-9.0
288777	3.0
288801	5.0
288803	0.0
288851	2.0
288891	-9.0
288903	3.0
288904	2.5
288923	-9.0
288982	1.0
288989	2.5
288992	2.0
288999	3.0
289085	-9.0
289089	1.0
289095	-9.0
289096	0.5
289097	1.5
289102	1.0
289107	3.0
289109	-9.0
289112	-9.0
289113	1.0
289116	3.0
289118	1.5
289168	0.5
289170	1.0
289176	-9.0
289185	3.0
289194	-9.0
289197	1.5
289198	1.5
289200	3.0
289217	3.0
289279	3.0
289427	3.0
289429	3.0
289957	1.5
290052	3.0
290071	3.0
290323	1.0
290328	2.0
290396	3.0
290423	3.0
296599	3.0
296638	2.0
296639	2.5
296677	1.5
296685	3.0
296713	3.0
