Name	RAdeg	DEdeg	z_clus	sigma_200	R_200	M_200_virial	Primary_N_obs	Primary_N_good	Primary_N_all	Secondary_N_obs	Secondary_N_good	Secondary_N_all	Primary_completeness_pct
APMCC 0917	355.397880	-29.236351	0.0509	492	1.19	2.1	25	28	29	8	17	18	89
Abell 168	18.815777	0.213486	0.0449	546	1.32	3.0	95	126	130	1	40	43	75
Abell 4038	356.937810	-28.140661	0.0293	597	1.46	2.9	100	104	111	19	85	87	96
EDCC 442	6.380680	-33.046570	0.0498	583	1.41	3.6	41	50	50	6	47	47	82
Abell 3880	336.977050	-30.575371	0.0578	660	1.59	4.6	50	51	56	38	57	60	98
Abell 2399	329.372605	-7.795692	0.0580	690	1.66	6.1	91	92	94	37	48	49	99
Abell 119	14.067150	-1.255370	0.0442	840	2.04	9.7	202	255	260	0	152	157	79
Abell 85	10.460211	-9.303184	0.0549	1002	2.42	17.0	152	167	171	23	70	71	91
