CATID	RA_OBJ	DEC_OBJ	z_spec	FILLFLAG
320468	218.43118	1.85097	0.11248	50
559912	178.77007	-0.58971	0.12844	50
363502	219.74071	2.61031	0.12854	50
77344	213.05192	0.00503	0.12856	50
106676	216.90391	1.01782	0.11086	50
273611	184.61343	1.40107	0.12945	50
229109	220.31809	1.17057	0.12989	50
593780	217.820781675	-0.0196417884126	0.08784	30
598972	129.564785972	0.404086616567	0.08056	30
618928	217.397406122	0.361389548521	0.05625	30
620144	223.286879532	0.298055004937	0.04382	30
620145	223.293918132	0.292450330634	0.0448	30
6842	174.359382847	0.635480713455	0.09367	30
21954	175.078042636	1.09301720299	0.07702	30
23116	180.405683198	1.21936746452	0.08118	30
23595	182.34937824	1.23344141162	0.08238	30
231475	183.894879476	1.95687766267	0.08245	30
238092	213.227280862	1.70305151955	0.02552	30
251222	217.795461057	1.94230964538	0.09391	30
288693	179.804920813	1.70688796314	0.09588	30
290354	185.668252805	1.73255630288	0.09052	30
92894	217.816878973	0.48338269339	0.03437	30
97933	175.120569362	0.889791906522	0.07663	30
99034	180.82193988	0.890665158278	0.07805	30
107419	219.846358332	1.01610141355	0.08211	30
535157	176.5557526	-1.04609908072	0.07836	30
536923	183.329348291	-0.945394275221	0.08185	30
544128	214.014391804	-0.942620642406	0.04893	30
544218	214.501160027	-0.89928228511	0.04991	30
568396	214.902031424	-0.441893062888	0.08366	30
143818	177.598889388	-1.40694605882	0.09379	30
145519	185.036818584	-1.33952907643	0.08519	30
178469	180.458427202	-1.89254215218	0.09041	30
184453	176.449009922	-1.48697162492	0.09647	30
185960	182.612129199	-1.51694790249	0.10046	30
220442	181.54191634	1.53862143068	0.207	30
574935	137.825288202	-0.105827473473	0.07071	30
585070	181.036897572	-0.206426137215	0.08272	30
9091700225	355.3162842	-28.9619884	0.050815575	90
323330	131.43779471	1.61271925262	0.04867	40
508186	216.180833839	-1.55294045951	0.05708	40
535226	176.92227	-0.91785	0.12013	50
229341	222.05236	1.00865	0.11964	50
545408	219.37296	-0.87831	0.12044	50
47608	213.45465	-0.7752	0.11954	50
196432	131.04463	-0.64279	0.11946	50
143547	176.49593	-1.2451	0.11831	50
31554	180.19104	-1.10909	0.11826	50
278203	214.83358	1.11153	0.11797	50
262160	217.93298	2.38489	0.11789	50
463370	212.74566	-1.18955	0.11788	50
163787	175.03048	-2.86005	0.12227	50
297537	216.21529	1.37974	0.11713	50
586673	185.87761	-0.05744	0.11621	50
561877	185.23947	-0.4453	0.12399	50
514217	140.49898	2.68654	0.12421	50
376901	135.64278	1.42125	0.11559	50
221241	185.24985	1.47309	0.1247	50
55959	184.15513	-0.24881	0.12493	50
228793	218.83804	1.11837	0.12499	50
106521	216.53497	0.90822	0.12504	50
78344	216.58917	0.1437	0.11494	50
610346	179.84106	0.22618	0.1254	50
54328	177.56837	-0.39629	0.11413	50
249670	212.59152	2.01055	0.12611	50
106390	215.90326	0.99447	0.12611	50
47974	215.29548	-0.78685	0.12626	50
345770	131.016100837	1.94313368061	0.07693	30
371218	130.510993723	0.93223677958	0.09736	30
371227	130.575463049	0.893960162025	0.09594	30
371296	130.848305304	0.950083538467	0.09706	30
373161	139.703792103	1.21978500929	0.08914	30
