Cluster	bin_kpc	R_inner_kpc	R_outer_kpc	Age_Gyr	FeH
Abell 2744	0 - 0.5	0.0	0.5	6.5 +/- 0.9	0.22 +/- 0.03
MACSJ0416.1-2403	0 - 0.5	0.0	0.5	9.2 +/- 1.0	0.00 +/- 0.09
MACSJ0717.5+3745	0 - 0.5	0.0	0.5	3.5 +/- 0.1	0.07 +/- 0.04
MACSJ1149.5+2223	0 - 0.5	0.0	0.5	3.5 +/- 0.2	0.03 +/- 0.04
Abell S1063	0 - 0.5	0.0	0.5	7.0 +/- 0.7	0.19 +/- 0.03
Abell 370	0 - 0.5	0.0	0.5	3.5 +/- 0.7	0.07 +/- 0.05
Abell 2744	0.5 - 1	0.5	1.0	6.8 +/- 1.0	0.19 +/- 0.04
MACSJ0416.1-2403	0.5 - 1	0.5	1.0	6.0 +/- 0.9	0.22 +/- 0.05
MACSJ0717.5+3745	0.5 - 1	0.5	1.0	3.6 +/- 0.4	0.11 +/- 0.04
MACSJ1149.5+2223	0.5 - 1	0.5	1.0	3.5 +/- 0.2	0.03 +/- 0.04
Abell S1063	0.5 - 1	0.5	1.0	7.0 +/- 0.7	0.21 +/- 0.02
Abell 370	0.5 - 1	0.5	1.0	4.0 +/- 1.0	0.21 +/- 0.05
Abell 2744	1 - 1.5	1.0	1.5	7.1 +/- 1.0	0.18 +/- 0.04
MACSJ0416.1-2403	1 - 1.5	1.0	1.5	7.0 +/- 0.9	0.16 +/- 0.04
MACSJ0717.5+3745	1 - 1.5	1.0	1.5	3.8 +/- 0.8	0.12 +/- 0.05
MACSJ1149.5+2223	1 - 1.5	1.0	1.5	3.6 +/- 0.3	0.13 +/- 0.04
Abell S1063	1 - 1.5	1.0	1.5	7.0 +/- 0.6	0.21 +/- 0.02
Abell 370	1 - 1.5	1.0	1.5	5.3 +/- 1.0	0.22 +/- 0.05
Abell 2744	1.5 - 2.1	1.5	2.1	7.0 +/- 1.0	0.17 +/- 0.04
MACSJ0416.1-2403	1.5 - 2.1	1.5	2.1	6.9 +/- 0.9	0.16 +/- 0.04
MACSJ0717.5+3745	1.5 - 2.1	1.5	2.1	5.6 +/- 0.8	0.00 +/- 0.07
MACSJ1149.5+2223	1.5 - 2.1	1.5	2.1	3.5 +/- 0.3	0.00 +/- 0.04
Abell S1063	1.5 - 2.1	1.5	2.1	7.0 +/- 0.7	0.19 +/- 0.03
Abell 370	1.5 - 2.1	1.5	2.1	4.2 +/- 0.9	0.22 +/- 0.05
Abell 2744	2.1 - 3.1	2.1	3.1	7.0 +/- 1.0	0.13 +/- 0.05
MACSJ0416.1-2403	2.1 - 3.1	2.1	3.1	6.9 +/- 0.9	0.14 +/- 0.05
MACSJ0717.5+3745	2.1 - 3.1	2.1	3.1	5.6 +/- 0.8	-0.06 +/- 0.08
MACSJ1149.5+2223	2.1 - 3.1	2.1	3.1	3.4 +/- 0.5	-0.01 +/- 0.04
Abell S1063	2.1 - 3.1	2.1	3.1	7.0 +/- 0.7	0.19 +/- 0.03
Abell 370	2.1 - 3.1	2.1	3.1	4.1 +/- 0.9	0.22 +/- 0.05
Abell 2744	3.1 - 4.5	3.1	4.5	4.0 +/- 1.0	0.22 +/- 0.05
MACSJ0416.1-2403	3.1 - 4.5	3.1	4.5	5.4 +/- 0.9	0.22 +/- 0.05
MACSJ0717.5+3745	3.1 - 4.5	3.1	4.5	3.5 +/- 0.9	0.00 +/- 0.08
MACSJ1149.5+2223	3.1 - 4.5	3.1	4.5	3.5 +/- 0.8	-0.02 +/- 0.04
Abell S1063	3.1 - 4.5	3.1	4.5	7.0 +/- 0.8	0.18 +/- 0.04
Abell 370	3.1 - 4.5	3.1	4.5	4.2 +/- 0.9	0.22 +/- 0.05
Abell 2744	4.5 - 6.6	4.5	6.6	3.9 +/- 1.0	0.14 +/- 0.06
MACSJ0416.1-2403	4.5 - 6.6	4.5	6.6	4.0 +/- 0.9	0.22 +/- 0.05
MACSJ0717.5+3745	4.5 - 6.6	4.5	6.6	3.5 +/- 0.9	-0.06 +/- 0.09
MACSJ1149.5+2223	4.5 - 6.6	4.5	6.6	3.5 +/- 0.9	0.02 +/- 0.04
Abell S1063	4.5 - 6.6	4.5	6.6	6.9 +/- 0.9	0.16 +/- 0.04
Abell 370	4.5 - 6.6	4.5	6.6	4.2 +/- 1.0	0.22 +/- 0.05
Abell 2744	6.6 - 9.7	6.6	9.7	3.6 +/- 1.0	0.08 +/- 0.07
MACSJ0416.1-2403	6.6 - 9.7	6.6	9.7	3.8 +/- 1.0	0.22 +/- 0.06
MACSJ0717.5+3745	6.6 - 9.7	6.6	9.7	3.5 +/- 1.0	-0.17 +/- 0.10
MACSJ1149.5+2223	6.6 - 9.7	6.6	9.7	2.9 +/- 0.9	0.21 +/- 0.04
Abell S1063	6.6 - 9.7	6.6	9.7	5.9 +/- 0.9	0.22 +/- 0.04
Abell 370	6.6 - 9.7	6.6	9.7	5.0 +/- 1.0	0.21 +/- 0.06
Abell 2744	9.7 - 14.1	9.7	14.1	3.6 +/- 0.3	0.00 +/- 0.05
MACSJ0416.1-2403	9.7 - 14.1	9.7	14.1	4.8 +/- 0.4	0.15 +/- 0.03
MACSJ0717.5+3745	9.7 - 14.1	9.7	14.1	1.6 +/- 0.4	-0.12 +/- 0.09
MACSJ1149.5+2223	9.7 - 14.1	9.7	14.1	3.0 +/- 0.5	-0.01 +/- 0.04
Abell S1063	9.7 - 14.1	9.7	14.1	5.8 +/- 0.9	0.22 +/- 0.04
Abell 370	9.7 - 14.1	9.7	14.1	5.4 +/- 0.9	0.21 +/- 0.06
Abell 2744	14.1 - 20.6	14.1	20.6	3.4 +/- 0.4	-0.06 +/- 0.07
MACSJ0416.1-2403	14.1 - 20.6	14.1	20.6	4.8 +/- 0.5	0.14 +/- 0.04
MACSJ0717.5+3745	14.1 - 20.6	14.1	20.6	2.8 +/- 0.5	-0.23 +/- 0.10
MACSJ1149.5+2223	14.1 - 20.6	14.1	20.6	3.0 +/- 0.6	-0.11 +/- 0.04
Abell S1063	14.1 - 20.6	14.1	20.6	5.8 +/- 0.9	0.22 +/- 0.04
Abell 370	14.1 - 20.6	14.1	20.6	5.6 +/- 1.2	0.22 +/- 0.07
Abell 2744	20.6 - 30.1	20.6	30.1	3.3 +/- 0.4	-0.12 +/- 0.08
MACSJ0416.1-2403	20.6 - 30.1	20.6	30.1	2.7 +/- 0.5	-0.07 +/- 0.09
MACSJ0717.5+3745	20.6 - 30.1	20.6	30.1	2.8 +/- 0.7	-0.44 +/- 0.12
MACSJ1149.5+2223	20.6 - 30.1	20.6	30.1	2.8 +/- 0.4	0.07 +/- 0.04
Abell S1063	20.6 - 30.1	20.6	30.1	9.6 +/- 0.7	0.07 +/- 0.04
Abell 370	20.6 - 30.1	20.6	30.1	3.2 +/- 0.9	-0.05 +/- 0.08
Abell 2744	30.1 - 44	30.1	44.0	4.0 +/- 0.4	-0.21 +/- 0.09
MACSJ0416.1-2403	30.1 - 44	30.1	44.0	2.2 +/- 0.5	-0.15 +/- 0.12
MACSJ0717.5+3745	30.1 - 44	30.1	44.0	1.7 +/- 0.3	-0.39 +/- 0.09
MACSJ1149.5+2223	30.1 - 44	30.1	44.0	2.3 +/- 0.3	0.07 +/- 0.04
Abell S1063	30.1 - 44	30.1	44.0	3.6 +/- 1.1	-0.03 +/- 0.08
Abell 370	30.1 - 44	30.1	44.0	2.2 +/- 0.6	0.22 +/- 0.10
Abell 2744	44 - 64.2	44.0	64.2	2.5 +/- 0.6	-0.28 +/- 0.07
MACSJ0416.1-2403	44 - 64.2	44.0	64.2	1.4 +/- 0.5	-0.19 +/- 0.14
MACSJ0717.5+3745	44 - 64.2	44.0	64.2	2.4 +/- 0.6	-0.19 +/- 0.14
MACSJ1149.5+2223	44 - 64.2	44.0	64.2	2.1 +/- 0.4	0.07 +/- 0.04
Abell S1063	44 - 64.2	44.0	64.2	2.8 +/- 0.6	-0.12 +/- 0.09
Abell 370	44 - 64.2	44.0	64.2	2.3 +/- 0.6	-0.19 +/- 0.13
Abell 2744	64.2 - 93.9	64.2	93.9	2.5 +/- 0.6	-0.29 +/- 0.07
MACSJ0416.1-2403	64.2 - 93.9	64.2	93.9	1.4 +/- 0.5	-0.69 +/- 0.19
