Cluster	fICL_F435W_pct	R_F435W_kpc	fICL_F606W_pct	R_F606W_kpc	fICL_F814W_pct	R_F814W_kpc
Abell 370	7.1 +/- 2.7	114.2	25.1 +/- 0.4	331.1	13.8 +/- 0.7	291.3
Abell S1063	2.8 +/- 1.0	149.2	22.1 +/- 0.8	300.6	16.7 +/- 3.1	295.9
