Cluster	fICL_26_lt_muV_lt_27_pct	fICL_muV_gt_26_pct	fICL_50kpc_lt_R_lt_Rlimit_pct	fICL_R_lt_Rlimit_pct	fICL_R_lt_R500_pct
Abell 2744	2.88+/-0.07	3.53+/-0.13	7.1+/-3.2	9.1+/-3.7	7.7+/-3.1
MACSJ0416.1-2403	1.57+/-0.03	1.63+/-0.04	5.6+/-2.3	11.5+/-3.7	8.6+/-5.6
MACSJ0717.5+3745	0.35+/-0.01	0.41+/-0.02	18.9+/-5.3	27.4+/-7.6	5.7+/-1.6
MACSJ1149.5+2223	1.03+/-0.03	1.23+/-0.05	19.5+/-5.7	29.6+/-7.8	6.6+/-2.0
Abell S1063	2.89+/-0.04	3.24+/-0.06	15.4+/-3.3	23.5+/-4.6	13.1+/-2.8
Abell 370	0.91+/-0.02	1.02+/-0.03	6.9+/-2.5	10.7+/-3.5	4.8+/-1.7
