Cluster	fICL_F435W_pct	R_F435W_kpc	fICL_F606W_pct	R_F606W_kpc	fICL_F625W_pct	R_F625W_kpc	fICL_F814W_pct	R_F814W_kpc
A383*	11.16+/-0.77	63.6	8.25+/-2.18	104.0	10.06+/-2.84	94.7	6.18+/-5.33	108.2
A611*	7.48+/-3.98	141.1	7.22+/-1.26	159.1			9.41+/-0.95	252.5
MS2137*	9.48+/-0.71	135.4			7.16+/-2.99	179.6	4.86+/-2.80	316.0
MACS1115*	7.29+/-5.79	163.8	9.52+/-2.13	252.0			10.99+/-3.79	250.5
RXJ2129*	2.95+/-3.74	63.9	10.26+/-0.31	227.6			7.95+/-7.53	176.2
A209	13.45+/-0.67	128.6	18.03+/-3.57	312.2			17.24+/-4.04	276.5
A2744	16.23+/-0.78	183.8	19.95+/-3.06	288.4			19.30+/-1.18	330.8
MACS0416	15.12+/-0.22	336.8	22.78+/-0.19	328.3	19.90+/-0.51	310.6	11.29+/-1.60	332.8
MACS0717	7.22+/-0.81	275.3	22.27+/-3.68	562.5			13.63+/-3.60	421.6
MACS1149	11.90+/-1.34	172.5	20.52+/-2.24	336.2			18.39+/-5.91	626.3
Bullet (eastern)			20.64+/-7.35	217.9			12.00+/-1.11	349.5
