Cluster	log_r_kpc	F110W_minus_F160W_mag	source_table_env
A611	0.559	0.439+/-0.012	tabular_color_table.tex
A611	0.697	0.431+/-0.008	tabular_color_table.tex
A611	0.838	0.422+/-0.003	tabular_color_table.tex
A611	0.985	0.423+/-0.005	tabular_color_table.tex
A611	1.144	0.412+/-0.003	tabular_color_table.tex
A611	1.291	0.395+/-0.003	tabular_color_table.tex
A611	1.435	0.387+/-0.004	tabular_color_table.tex
A611	1.583	0.370+/-0.006	tabular_color_table.tex
A611	1.724	0.366+/-0.025	tabular_color_table.tex
A611	1.898	0.372+/-0.059	tabular_color_table.tex
MS2137	0.537	0.409+/-0.016	tabular_color_table.tex
MS2137	0.698	0.416+/-0.004	tabular_color_table.tex
MS2137	0.838	0.401+/-0.007	tabular_color_table.tex
MS2137	0.988	0.403+/-0.007	tabular_color_table.tex
MS2137	1.137	0.382+/-0.002	tabular_color_table.tex
MS2137	1.296	0.366+/-0.006	tabular_color_table.tex
MS2137	1.440	0.343+/-0.007	tabular_color_table.tex
MS2137	1.576	0.331+/-0.017	tabular_color_table.tex
MS2137	1.737	0.283+/-0.045	tabular_color_table.tex
MS2137	1.892	0.237+/-0.089	tabular_color_table.tex
XMM022045	0.540	0.375+/-0.008	tabular_color_table.tex
XMM022045	0.689	0.390+/-0.009	tabular_color_table.tex
XMM022045	0.837	0.403+/-0.011	tabular_color_table.tex
XMM022045	0.987	0.401+/-0.013	tabular_color_table.tex
XMM022045	1.132	0.386+/-0.017	tabular_color_table.tex
XMM022045	1.287	0.378+/-0.023	tabular_color_table.tex
XMM022045	1.436	0.367+/-0.034	tabular_color_table.tex
XMM022045	1.589	0.327+/-0.056	tabular_color_table.tex
XMM022045	1.727	0.306+/-0.093	tabular_color_table.tex
RXJ1532	0.545	0.374+/-0.026	tabular_color_table.tex
RXJ1532	0.701	0.352+/-0.012	tabular_color_table.tex
RXJ1532	0.847	0.363+/-0.010	tabular_color_table.tex
RXJ1532	0.986	0.352+/-0.015	tabular_color_table.tex
RXJ1532	1.136	0.356+/-0.023	tabular_color_table.tex
RXJ1532	1.290	0.343+/-0.018	tabular_color_table.tex
RXJ1532	1.435	0.353+/-0.012	tabular_color_table.tex
RXJ1532	1.577	0.316+/-0.015	tabular_color_table.tex
RXJ1532	1.745	0.317+/-0.031	tabular_color_table.tex
RXJ1532	1.885	0.310+/-0.068	tabular_color_table.tex
RXJ2248	0.544	0.322+/-0.011	tabular_color_table.tex
RXJ2248	0.699	0.324+/-0.005	tabular_color_table.tex
RXJ2248	0.842	0.332+/-0.007	tabular_color_table.tex
RXJ2248	0.989	0.322+/-0.004	tabular_color_table.tex
RXJ2248	1.139	0.321+/-0.005	tabular_color_table.tex
RXJ2248	1.292	0.309+/-0.008	tabular_color_table.tex
RXJ2248	1.440	0.299+/-0.013	tabular_color_table.tex
RXJ2248	1.572	0.285+/-0.021	tabular_color_table.tex
RXJ2248	1.728	0.259+/-0.042	tabular_color_table.tex
RXJ2248	1.900	0.225+/-0.074	tabular_color_table.tex
MACS1931	0.537	0.559+/-0.008	tabular_color_table.tex
MACS1931	0.695	0.482+/-0.023	tabular_color_table.tex
MACS1931	0.841	0.391+/-0.013	tabular_color_table.tex
MACS1931	0.987	0.390+/-0.007	tabular_color_table.tex
MACS1931	1.137	0.409+/-0.003	tabular_color_table.tex
MACS1931	1.281	0.383+/-0.015	tabular_color_table.tex
MACS1931	1.439	0.359+/-0.034	tabular_color_table.tex
MACS1931	1.587	0.336+/-0.054	tabular_color_table.tex
MACS1931	1.731	0.311+/-0.091	tabular_color_table.tex
MACS1115	0.535	0.400+/-0.018	tabular_color_table.tex
MACS1115	0.693	0.416+/-0.015	tabular_color_table.tex
MACS1115	0.850	0.419+/-0.008	tabular_color_table.tex
MACS1115	0.990	0.414+/-0.005	tabular_color_table.tex
MACS1115	1.135	0.410+/-0.009	tabular_color_table.tex
MACS1115	1.287	0.391+/-0.005	tabular_color_table.tex
MACS1115	1.435	0.396+/-0.008	tabular_color_table.tex
MACS1115	1.581	0.364+/-0.014	tabular_color_table.tex
MACS1115	1.723	0.319+/-0.029	tabular_color_table.tex
MACS1115	1.883	0.294+/-0.042	tabular_color_table.tex
SG1120-4	0.536	0.447+/-0.006	tabular_color_table.tex
SG1120-4	0.691	0.435+/-0.006	tabular_color_table.tex
SG1120-4	0.835	0.445+/-0.008	tabular_color_table.tex
SG1120-4	0.989	0.448+/-0.010	tabular_color_table.tex
SG1120-4	1.138	0.426+/-0.013	tabular_color_table.tex
SG1120-4	1.282	0.392+/-0.017	tabular_color_table.tex
SG1120-4	1.439	0.396+/-0.024	tabular_color_table.tex
SG1120-4	1.589	0.349+/-0.036	tabular_color_table.tex
SG1120-4	1.709	0.347+/-0.051	tabular_color_table.tex
SG1120-4	1.881	0.359+/-0.091	tabular_color_table.tex
XMM011140	0.533	0.435+/-0.008	tabular_color_table.tex
XMM011140	0.691	0.435+/-0.009	tabular_color_table.tex
XMM011140	0.840	0.432+/-0.011	tabular_color_table.tex
XMM011140	0.987	0.429+/-0.013	tabular_color_table.tex
XMM011140	1.137	0.412+/-0.017	tabular_color_table.tex
XMM011140	1.288	0.386+/-0.024	tabular_color_table.tex
XMM011140	1.435	0.371+/-0.034	tabular_color_table.tex
XMM011140	1.575	0.336+/-0.049	tabular_color_table.tex
XMM011140	1.725	0.290+/-0.068	tabular_color_table.tex
XMM011140	1.881	0.186+/-0.106	tabular_color_table.tex
SG1120-2	0.539	0.466+/-0.008	tabular_color_table.tex
SG1120-2	0.689	0.458+/-0.009	tabular_color_table.tex
SG1120-2	0.837	0.459+/-0.012	tabular_color_table.tex
