recno	Name	sigmac	e_sigmac	S	Radg	e_Radg	Msat	e_Msat	logMg	e_logMg	Vsyst	e_Vsyst	Rsyst	logrho	e_logrho	logs	e_logs	logfM	e_logfM	logfs	e_logfs	BCG	SimbadName	NED	_RA	_DE
       1	A76  	 491	 120	   	    	   	-24.94	 0.40	     	     	 686	149.0	 467	     	     	     	     	     	     	      	     	BCG	ACO 76          	NED	010.07	+06.88
       2	A85  	1009	  31	314	1324	195	-25.58	 0.40	15.07	 0.07	  41	 83.5	   1	 5.08	 0.07	-6.87	 0.11	-3.93	 0.07	-15.88	 0.11	BCG	ACO 85          	NED	010.41	-09.34
       3	A150 	 664	 151	   	    	   	-25.59	 0.40	     	     	   4	194.7	  34	     	     	     	     	     	     	      	     	BCG	ACO 150         	NED	017.31	+13.17
       4	A152 	 844	  59	   	    	   	-24.90	 1.18	     	     	 120	105.0	    	     	     	     	     	     	     	      	     	BCG	ACO 152         	NED	017.56	+14.01
       5	A154 	 988	 146	   	    	   	-25.61	 0.40	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 154         	NED	017.74	+17.67
       6	A158 	    	    	   	    	   	-25.43	 0.55	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 158         	NED	017.94	+16.88
       7	A160 	    	    	122	 923	100	-24.67	 0.40	     	     	    	     	    	     	     	-6.81	 0.10	     	     	      	     	BCG	ACO 160         	NED	018.25	+15.49
       8	A161 	    	    	   	    	   	-25.49	 0.86	     	     	   0	 63.6	    	     	     	     	     	     	     	      	     	BCG	ACO 161         	NED	018.70	+37.41
       9	A171 	    	    	   	    	   	-24.00	 1.33	     	     	   0	 63.6	    	     	     	     	     	     	     	      	     	BCG	ACO 171         	NED	019.19	+16.26
      10	A174 	    	    	   	    	   	-25.57	 0.70	     	     	   0	 60.8	    	     	     	     	     	     	     	      	     	BCG	ACO 174         	NED	019.95	+35.81
      11	A179 	 284	 100	   	    	   	-24.98	 0.53	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 179         	NED	020.45	+19.48
      12	A193 	 776	  62	 93	 968	100	-25.04	 0.40	14.71	 0.06	 135	 89.1	   1	 5.13	 0.06	-6.99	 0.10	-3.54	 0.06	-15.66	 0.11	BCG	ACO 193         	NED	021.28	+08.69
      13	A225 	 660	 272	   	    	   	-25.31	 0.81	     	     	  13	272.1	    	     	     	     	     	     	     	      	     	BCG	ACO 225         	NED	024.73	+18.89
