stored_index,parent_index,velocity_radio_heliocentric_kms,detector_mad_jy_per_native_beam,native_mad_jy_per_native_beam,selected_pixels
0,11,106.05333984,5.823259502281306e-05,0.0003151907772749628,17
1,12,100.900672848,6.217485566654114e-05,0.0003469621389128119,295
2,13,95.748005856,5.880198224131146e-05,0.0003536405399864673,765
3,14,90.595338864,6.424262108721887e-05,0.00035168412242981504,2258
4,15,85.442671872,5.405102900554768e-05,0.00034640623503306376,5447
5,16,80.29000488000001,6.380361130088305e-05,0.0003444958848584323,7046
6,17,75.137337888,6.686971141704664e-05,0.00035071073256339906,8776
7,18,69.98467089600001,5.758257546138797e-05,0.0003423093427676471,12132
8,19,64.832003904,6.087895471076299e-05,0.0003450927004406802,13580
9,20,59.679336912000004,6.004613226467461e-05,0.000347135625135251,14360
10,21,54.52666992,6.535114513514285e-05,0.0003481969683188157,14549
11,22,49.374002928,5.918056457970381e-05,0.0003441101426744176,17062
12,23,44.221335936,6.461089340161555e-05,0.00035139514682863476,18826
13,24,39.068668944,6.401295506645167e-05,0.00035095959000658024,26478
14,25,33.91600195200001,5.4187106444062536e-05,0.0003448143328506917,30649
15,26,28.76333496,5.461537871411668e-05,0.000349643171820459,32930
16,27,23.610667968,6.50380785331658e-05,0.0003474541648199931,30480
17,28,18.458000976000005,6.457004610182288e-05,0.00034941638394880153,30473
18,29,13.305333984,6.70775849879552e-05,0.0003547431993981905,29103
19,30,8.152666992,6.073934592839031e-05,0.0003537895180218698,24531
20,31,3.0,0.000107254292043003,0.0003919913287534593,22471
21,32,-2.1526669920000003,0.00011623807062123178,0.0004216880913376559,18548
22,33,-7.305333984000001,8.475826613179972e-05,0.00038615842473657143,34024
23,34,-12.458000976000001,6.428356559625276e-05,0.0003733444973717493,29452
24,35,-17.610667968,5.776699586122628e-05,0.00036370928678730276,30185
25,36,-22.76333496,6.026559670162544e-05,0.00036472924160229985,31678
26,37,-27.916001952000002,6.21980669098583e-05,0.0003659037926398903,32427
27,38,-33.068668944,5.525687418374706e-05,0.0003535337108278709,39826
28,39,-38.221335936,6.041386001122799e-05,0.0003558536654809185,37572
29,40,-43.374002928,5.5912277250305046e-05,0.0003552794925482109,38760
30,41,-48.52666992,6.134245411988664e-05,0.00036074268708135996,33791
31,42,-53.679336912000004,7.044665562690809e-05,0.00036036861950785736,25815
32,43,-58.832003904000004,7.402715085973646e-05,0.00036782074804432005,13839
33,44,-63.98467089600001,6.098910243302294e-05,0.00036394418944367526,14856
34,45,-69.137337888,5.919257314760111e-05,0.00036087420039565446,14491
35,46,-74.29000488000001,6.230025367299659e-05,0.0003601316739969081,11206
36,47,-79.442671872,6.509333213239523e-05,0.00035780270786060195,6886
37,48,-84.595338864,6.002134199368376e-05,0.00035963682719746643,4114
38,49,-89.748005856,6.606300419235688e-05,0.00035868814609539286,1565
39,50,-94.900672848,6.416263098829909e-05,0.0003577591357276864,1098
40,51,-100.05333984,6.288992641363164e-05,0.0003596520050001835,267
41,52,-105.20600683200001,5.5577621326765706e-05,0.0003072277989039975,115
