branch,case_index,spatial_fwhm_arcsec,spectral_fwhm_stored_channels,subchannel_phase,peak_detector_sigma,kind,trials,peak_selected_mean,peak_selected_sd,true_flux_fraction_retained_mean,true_flux_fraction_retained_sd,selected_noisy_flux_over_reference_mean,selected_noisy_flux_over_reference_sd,paired_selected_flux_difference_over_reference_mean,paired_selected_flux_difference_over_reference_sd
boxcar_independent,0,6,1,0,2,empirical,12,0.0,0.0,6.396293948218556e-20,2.21574129873574e-19,0.6292686963624261,0.8012002050495997,0.0,0.0
boxcar_independent,1,6,1,0,5,empirical,12,0.0,0.0,6.39629394821856e-20,2.2157412987357416e-19,0.25170747854497055,0.32048008201983996,0.0,0.0
boxcar_independent,2,6,1,0.5,2,empirical,12,0.0,0.0,4.9576022451772815e-21,1.717862776307029e-20,0.4058036629412469,0.5166790908841709,0.0,0.0
boxcar_independent,3,6,1,0.5,5,empirical,12,0.0,0.0,0.01635939624469861,0.056670610953938966,0.19296662910021165,0.249891742226484,0.030645163923712887,0.10615796184429507
boxcar_independent,4,6,3,0,2,empirical,12,0.0,0.0,0.0001532981818557228,0.0005310404793640899,0.25286863023405265,0.32171021155515056,0.0004154339979270806,0.0014391055832023343
boxcar_independent,5,6,3,0,5,empirical,12,0.3333333333333333,0.49236596391733095,0.2774097142040338,0.3563170586699337,0.4634477578980825,0.5483557844270834,0.36246647940363225,0.4759249156680469
boxcar_independent,6,6,3,0.5,2,empirical,12,0.0,0.0,0.004758828947965029,0.016485067044809957,0.24527741625437793,0.30798763759750414,0.010630873799738212,0.03682642709999878
boxcar_independent,7,6,3,0.5,5,empirical,12,0.4166666666666667,0.5149286505444373,0.2919113554677541,0.3260368700749046,0.46588338678837155,0.5236657986451022,0.3720247698065157,0.451691635515998
boxcar_independent,8,6,6,0,2,empirical,12,0.0,0.0,0.02839926698049684,0.07147625051162956,0.19073387190617044,0.2521236159962361,0.06208498199632223,0.1619304685487605
boxcar_independent,9,6,6,0,5,empirical,12,0.5,0.5222329678670935,0.3538743830437581,0.30073523181678496,0.4988689555745552,0.44430486095103006,0.44740939961061593,0.4105283756962277
boxcar_independent,10,6,6,0.5,2,empirical,12,0.0,0.0,0.030791919285402123,0.0993446682599604,0.19054492082356866,0.290044770160359,0.0643183227055058,0.21212654781005716
boxcar_independent,11,6,6,0.5,5,empirical,12,0.5833333333333334,0.5149286505444373,0.42943864715507174,0.26432831810085394,0.5798591958249957,0.4170422907981074,0.5293685565777705,0.37906790790870015
boxcar_independent,12,30,1,0,2,empirical,12,0.0,0.0,1.9853939012123487e-08,6.877606138854078e-08,0.32722223025678415,0.4166272770581097,1.985393901196092e-08,6.877606138695656e-08
boxcar_independent,13,30,1,0,5,empirical,12,0.0,0.0,0.0016326309329405654,0.005655523576477297,0.13561225338383398,0.1638631908549636,0.004723369222695886,0.014982652276394203
boxcar_independent,14,30,1,0.5,2,empirical,12,0.0,0.0,1.5393725947057953e-09,5.332031714983258e-09,0.21101951092352747,0.2686751705214857,1.539372593973977e-09,5.332031713386992e-09
boxcar_independent,15,30,1,0.5,5,empirical,12,0.0,0.0,0.015753883830232396,0.05224667526425863,0.11452401097346822,0.1619858658380537,0.03011620721980623,0.10204296636428385
boxcar_independent,16,30,3,0,2,empirical,12,0.0,0.0,0.0012610322707801425,0.004166256282256641,0.14201754381844398,0.17238278041967192,0.01074088350914081,0.036491983782993065
boxcar_independent,17,30,3,0,5,empirical,12,0.3333333333333333,0.49236596391733095,0.15473938256482744,0.2045856435518231,0.28755180582097634,0.3493999217766986,0.23504114169725507,0.32485893845476577
boxcar_independent,18,30,3,0.5,2,empirical,12,0.0,0.0,0.0021709873003895185,0.007428319534669618,0.1297105414675724,0.16182299443395895,0.0076934115368472,0.024051905510241344
