branch,case_index,spatial_fwhm_arcsec,spectral_fwhm_stored_channels,subchannel_phase,peak_detector_sigma,realization,peak_selected,true_flux_fraction_retained,reference_flux_jy_kms,post_continuum_flux_over_reference,selected_noisy_flux_over_reference,paired_selected_flux_difference_over_reference,selected_voxel_fraction
boxcar_hanning_full,16,30,3,0,2,noiseless,False,0.0,0.09094689141023397,1.0,0.0,0.0,0.0
boxcar_hanning_full,17,30,3,0,5,noiseless,True,0.09348757212390864,0.22736722852558489,1.0,0.09348757212390864,0.09348757212390864,0.0007511921092168006
boxcar_hanning_full,18,30,3,0.5,2,noiseless,False,0.0,0.09608021138413002,1.0,0.0,0.0,0.0
boxcar_hanning_full,19,30,3,0.5,5,noiseless,True,0.3232628207393267,0.24020052846032508,0.9999999999999998,0.3232628207393267,0.3232628207393267,0.00336766317561928
boxcar_hanning_full,20,30,6,0,2,noiseless,False,0.0,0.16175214675506785,0.9999999999998276,0.0,0.0,0.0
boxcar_hanning_full,21,30,6,0,5,noiseless,True,0.3454320669234462,0.40438036688766965,0.9999999999998275,0.34543206692343403,0.34543206692343403,0.006615571087450374
boxcar_hanning_full,22,30,6,0.5,2,noiseless,False,0.0,0.16462719819091265,0.9999999999999115,0.0,0.0,0.0
boxcar_hanning_full,23,30,6,0.5,5,noiseless,True,0.3656647584104751,0.41156799547728157,0.9999999999999116,0.36566475841046864,0.36566475841046864,0.00715628424819097
boxcar_hanning_decimated,0,6,1,0,2,noiseless,False,0.0,0.018450001257976766,0.9999999999999997,0.0,0.0,0.0
boxcar_hanning_decimated,1,6,1,0,5,noiseless,False,0.0,0.0461250031449419,0.9999999999999999,0.0,0.0,0.0
boxcar_hanning_decimated,2,6,1,0.5,2,noiseless,False,0.0,0.02627216352264527,1.0000000000000002,0.0,0.0,0.0
boxcar_hanning_decimated,3,6,1,0.5,5,noiseless,False,0.0,0.06568040880661319,0.9999999999999998,0.0,0.0,0.0
boxcar_hanning_decimated,4,6,3,0,2,noiseless,False,0.0,0.04205587796164148,1.0000000000000002,0.0,0.0,0.0
boxcar_hanning_decimated,5,6,3,0,5,noiseless,True,0.08397479028200552,0.10513969490410367,1.0000000000000004,0.08397479028200552,0.08397479028200552,5.443421081281164e-05
boxcar_hanning_decimated,6,6,3,0.5,2,noiseless,False,0.0,0.04512678851650755,0.9999999999999998,0.0,0.0,0.0
boxcar_hanning_decimated,7,6,3,0.5,5,noiseless,True,0.7521969416933836,0.11281697129126882,1.0000000000000002,0.7521969416933836,0.7521969416933836,0.0015677052714089751
boxcar_hanning_decimated,8,6,6,0,2,noiseless,False,0.0,0.08141864784322295,0.9999999999999593,0.0,0.0,0.0
boxcar_hanning_decimated,9,6,6,0,5,noiseless,True,0.7826906772796193,0.20354661960805734,0.9999999999999593,0.7826906772796126,0.7826906772796126,0.003364034228231759
boxcar_hanning_decimated,10,6,6,0.5,2,noiseless,False,0.0,0.08296608655007377,0.9999999999999801,0.0,0.0,0.0
