name,row,r,v,ev,gas,disk,bul,sd,sb,inc,q,x,y,z,b2,flexible,flexible_density,rar,rar_density,prediction_support
D631-7,2,1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,59.0,1,-10.925624474695491,-10.789737617775508,0.7842605825660838,494.3788,-10.380542164804746,-10.37687885127177,-10.374174013351796,-10.37042989644681,True
D631-7,3,1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,59.0,1,-10.982111898504433,-10.764706091475775,0.3521825181113625,578.77685,-10.417290144647529,-10.417536745347034,-10.406686680623478,-10.406886870083042,True
D631-7,4,2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,59.0,1,-11.067444618194191,-10.760874113751754,0.021189299069938092,594.4132,-10.467165236494594,-10.468853552822189,-10.455323588857443,-10.457001109053271,True
D631-7,5,2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,59.0,1,-11.140415624374857,-10.741439374036132,-0.2479515521805615,600.7409,-10.508536401417098,-10.511091936376346,-10.49649046384798,-10.499069254701345,True
D631-7,6,3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,59.0,1,-11.222539545396092,-10.72950233319473,-0.5686362358410126,580.4177,-10.555096843138845,-10.55882318576957,-10.542390568739316,-10.546180689554474,True
D631-7,7,3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,59.0,1,-11.297854927028277,-10.726515308471587,-0.7328282715969862,557.9432999999999,-10.597797159850828,-10.601174281007665,-10.58411560280755,-10.58757760605499,True
D631-7,8,4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,59.0,1,-11.368627729499662,-10.718892266327321,-1.0457574905606752,533.4628499999999,-10.637922045559849,-10.642708718999419,-10.623026636567033,-10.62793763486567,True
D631-7,9,4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,59.0,1,-11.441767785653637,-10.712937366734996,-1.3010299956639813,500.99004999999994,-10.679389053950766,-10.684886214457443,-10.662959130582017,-10.668612956725173,True
D631-7,10,4.94,54.8,2.19,19.43,13.72,0.0,0.05,0.0,59.0,1,-11.50946308811454,-10.705516377177046,-1.6020599913279623,471.6441,-10.712315475657872,-10.719608211728632,-10.699683771801581,-10.707158417339086,True
D631-7,11,5.39,56.6,2.73,18.84,13.04,0.0,0.03,0.0,59.0,1,-11.577519799494919,-10.715306448032335,-1.8239087409443189,439.9664,-10.711678755494416,-10.722543264677954,-10.736393105426998,-10.747376375382343,True
D631-7,12,5.84,58.4,3.27,18.25,12.45,0.0,0.01,0.0,59.0,1,-11.642382790870244,-10.722937698109739,-2.3010299956639813,410.56374999999997,-10.711071914910539,-10.728250819702417,-10.771196334114533,-10.78846665885564,True
D631-7,13,6.29,58.5,3.95,17.65,11.93,0.0,0.01,0.0,59.0,1,-11.70515980777522,-10.753689458503047,-2.3010299956639813,382.6849499999999,-10.710484590138972,-10.728716615612381,-10.804721531615183,-10.822961429875818,True
DDO161,5,1.54,28.9,2.74,15.22,22.44,0.0,17.21,0.0,70.0,1,-10.992541980484097,-10.755075580545506,0.9347508746635791,483.4252,-10.423206862826591,-10.41825983648877,-10.410649080321615,-10.405614375222163,True
DDO161,6,2.02,32.9,2.65,18.74,24.92,0.0,11.77,0.0,70.0,1,-10.974046818315948,-10.760310118768814,0.7697464671794535,661.6908,-10.411233478563112,-10.407917156026762,-10.400054894701977,-10.396670362613857,True
DDO161,7,2.49,35.2,2.88,21.52,25.85,0.0,7.54,0.0,70.0,1,-10.983970808074847,-10.792464565361612,0.5763413502057929,797.22165,-10.417658063637298,-10.415890534657153,-10.405742813095664,-10.403922187531514,True
DDO161,8,2.96,37.6,3.05,23.28,26.01,0.0,5.12,0.0,70.0,1,-11.016051788839865,-10.810266566425755,0.4082399653118496,880.2184500000001,-10.436926004322183,-10.43606588866094,-10.424076963211233,-10.423175031442284,True
DDO161,9,3.43,40.6,3.68,24.59,25.36,0.0,3.64,0.0,70.0,1,-11.057924462095816,-10.80759259811052,0.2600713879850748,926.2329,-10.460118987326418,-10.459609709784672,-10.44788864154677,-10.44735085081028,True
