diffuse,dense,x_diffuse,x_dense,concentration_ratio,diffuse_minus_dense_residual_dex
NGC4100,NGC5033,-10.940867403810545,-10.940869803108058,3.81385035698237,-0.044708357058726556
NGC3198,UGC02259,-11.153341703013918,-11.15333898949396,11.764144222412197,-0.1323956135908455
NGC6503,NGC2915,-11.24136193175164,-11.241354098063436,4.3,-0.3715162431710972
NGC6946,NGC1090,-10.553022046152643,-10.553034432155142,3.3338770460432587,0.0074231306068366365
NGC0801,NGC2403,-9.948818025109992,-9.948835877693417,3.207975421656531,-0.12214540819017472
NGC0289,UGC05764,-11.237879414195547,-11.237927519085565,32.4557390918771,-0.25883884620131337
UGC02953,NGC2976,-10.138192295381778,-10.138244428242341,7.572762197853222,0.12176625739499602
UGC08490,NGC0300,-11.141267070812425,-11.141337798124928,9.633009487946733,0.07831429476440555
UGC04483,UGC06818,-11.247732810859544,-11.247834164325786,4.634094126718408,-0.12017413866585169
NGC6674,UGCA442,-11.161254756631969,-11.161367999058857,18.776690404970264,0.11186619957353372
NGC4088,UGC02487,-10.570928039378767,-10.57105463389454,7.188235294117647,-0.33727666273423296
UGC06786,UGC06917,-10.853129652590983,-10.853257690399357,12.60374336243602,0.12693530604627679
UGC09037,NGC3917,-10.548697304960584,-10.548842892723663,5.899690384284082,-0.2078690356503774
UGC09133,DDO161,-11.24967970985167,-11.24985852677511,20.346989949375807,0.18288124550359175
NGC2841,NGC5371,-10.071412423774136,-10.071597255778297,3.2444005270092227,0.32051658718817144
DDO168,NGC0055,-11.236333791190505,-11.23613613827721,3.7696540283106663,0.13467500747961125
UGC06787,NGC6195,-9.54691614144804,-9.547159672705751,3.198201199723222,0.15839061622749018
NGC1003,UGC00128,-11.16164824900049,-11.161899047510854,43.000000000000014,-0.275649356219164
NGC6015,UGC03580,-11.060475634190661,-11.06016085273727,5.052722038663913,0.13784990100276495
UGC05829,UGC05716,-11.166089097042898,-11.165728281172576,9.903846153846157,-0.23533017960424907
UGC02916,UGC04325,-10.768973005068467,-10.768575074586808,23.02307692307691,-0.4112785169046216
UGC03205,NGC5985,-10.742394268806935,-10.741975553438593,6.172048772207784,-0.115515991510736
NGC3521,ESO116-G012,-10.510607288326288,-10.510140330845676,73.82722513089006,0.15423536124621862
NGC7331,NGC3992,-10.144698329455226,-10.145201883862917,4.264407294460082,-0.18300805430953826
NGC5585,UGC04499,-10.95822130025071,-10.958822454326587,6.925537898750335,0.06836735301537811
UGC08699,UGC00191,-11.111819249978897,-11.111111983512016,6.555555555555558,0.17055192169111777
NGC0024,UGC05414,-11.025813508297576,-11.024967921938307,4.287702702341642,0.21656395760920866
NGC3741,NGC3109,-11.448645784458323,-11.449532832994391,7.562499999999999,-0.07990701743661788
D631-7,NGC0247,-11.067444618194191,-11.068387187271275,7.061904761904763,-0.28357756383343613
UGC06399,F568-3,-11.127114714955889,-11.125182036334675,4.831696689545879,-0.08896424461844266
UGC06614,NGC4051,-10.052470534166055,-10.050045204909368,4.473352475663562,-0.07497320228401883
NGC3893,NGC3972,-10.63486137361071,-10.63212832687109,6.214659685863874,-0.03753072626408205
NGC2683,UGC07399,-10.653164629493311,-10.656340985335198,42.81521739130434,-0.29148030030278527
UGC11914,NGC3949,-9.647703843387387,-9.643742860246658,3.796428252305744,0.1513227330815976
UGC07603,UGC08837,-11.34073669292138,-11.345682595602636,96.82352941176468,0.572248721476921
NGC3769,UGC07323,-10.778089184120475,-10.785115832273371,13.577519379844963,0.04032741953126262
NGC2955,ESO079-G014,-10.473829672410146,-10.464818696201966,21.989102993959268,0.05153139949069452
NGC5005,NGC2998,-9.843757115952178,-9.832751282833256,12.43256722305141,-0.2478015063894441
DDO170,UGC00731,-11.596899215348767,-11.585783335216949,16.0,-0.38073779529216445
UGC06983,UGC07089,-11.130116182324972,-11.159766613562281,3.8432043187601503,0.14812693470110005
