name,positions,flexible,flexible_density,rar,rar_density
D631-7,12,0.04044846717661146,0.04013751950256975,0.04388503885033656,0.04401728115267146
DDO161,21,0.07284354464995298,0.07112765146921336,0.07904827656900683,0.07720712080097258
DDO168,8,0.03376997661975253,0.0341624064250761,0.034441238810841136,0.03483998221704619
DDO170,6,0.03492409861564587,0.03557752373459693,0.03188594131814888,0.03264607690014478
ESO079-G014,12,0.00916335910406051,0.008842118912663113,0.010022475874407487,0.009517889404832698
ESO116-G012,12,0.011942859572025366,0.012436620018913687,0.010985249189898549,0.01132440733882447
F568-3,9,0.014787023892850939,0.014160421391985105,0.013606533305861266,0.013231044547915738
F583-1,9,0.02795018970590568,0.02546857101118361,0.031083231153753246,0.028390127779759997
F583-4,7,0.003192331664136517,0.004421683525937017,0.004798878007909889,0.006304474957770126
KK98-251,7,0.08246166912480254,0.08671963890476356,0.08753136492000278,0.09190714333294416
NGC0024,19,0.06675040072277362,0.06488986938054868,0.06927662439424127,0.06733530066812772
NGC0055,19,0.030370853217774347,0.03200128757563483,0.032408975920161114,0.034119462250687654
NGC0247,26,0.0033621263679686044,0.002870800770365572,0.0029989823461140683,0.002710447305384848
NGC0289,18,0.005505266360536311,0.004259379416875748,0.007055062306800395,0.0056010748622506
NGC0300,16,0.0084916416875049,0.008033002479925623,0.006617812087005152,0.006198370265064415
NGC0801,10,0.015449734164582007,0.01477072370717461,0.014995150430589651,0.014271316606536582
NGC1003,20,0.006562691101349702,0.00648001469284736,0.006199453272274707,0.005875111506853289
NGC1090,21,0.006526907750343036,0.005978026782925419,0.0062493499553637685,0.0056431423330977875
NGC2403,61,0.0039622835176820895,0.004774673583132691,0.0037510844644481466,0.004454083749345703
NGC2683,8,0.003455169327744306,0.0027629974206626728,0.0036699041160565124,0.0030314606428251826
NGC2841,41,0.03607359978851408,0.03940513680788048,0.0371364264169984,0.04051684557960706
NGC2915,8,0.14472098102036135,0.15620109768959867,0.12372474054631563,0.13434738537185686
NGC2955,23,0.005113307905356651,0.0048352352229823915,0.003584545342346491,0.003348193817987114
NGC2976,21,0.008530528373230336,0.01017738325172794,0.006334214609970256,0.00774097010136675
NGC2998,10,0.010995246358784806,0.010238488584348195,0.01138962714481161,0.010595630223177641
