left,right,relation,shared_member_vectors,minimum_fixture_vector_distance,global_identifiability_claimed
C00_GR_ENDPOINT,C01_EXACT_GRADIENT_PATH,EQUIVALENT_ON_EXECUTED_FAMILY,1,0.000000000000e+00,False
C00_GR_ENDPOINT,C02_POTENTIAL_COLUMN,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,5.945939791152e+00,False
C00_GR_ENDPOINT,C03_TIDAL_CURVATURE_COLUMN,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.905030120326e+00,False
C00_GR_ENDPOINT,C04_DISPERSIVE_PERSISTENT_MEDIUM,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.356066676996e+00,False
C00_GR_ENDPOINT,C05_ENDPOINT_MEMORY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.071858651997e+00,False
C00_GR_ENDPOINT,C06_PATH_MEMORY_OPACITY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.397355077646e+00,False
C00_GR_ENDPOINT,C07_GENERAL_TIME_VARYING_METRIC_PATH,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.250325864171e-01,False
C00_GR_ENDPOINT,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.250325864171e-01,False
C01_EXACT_GRADIENT_PATH,C02_POTENTIAL_COLUMN,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,5.945939791152e+00,False
C01_EXACT_GRADIENT_PATH,C03_TIDAL_CURVATURE_COLUMN,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.905030120326e+00,False
C01_EXACT_GRADIENT_PATH,C04_DISPERSIVE_PERSISTENT_MEDIUM,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.356066676996e+00,False
C01_EXACT_GRADIENT_PATH,C05_ENDPOINT_MEMORY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.071858651997e+00,False
C01_EXACT_GRADIENT_PATH,C06_PATH_MEMORY_OPACITY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.397355077646e+00,False
C01_EXACT_GRADIENT_PATH,C07_GENERAL_TIME_VARYING_METRIC_PATH,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.250325864171e-01,False
C01_EXACT_GRADIENT_PATH,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.250325864171e-01,False
C02_POTENTIAL_COLUMN,C03_TIDAL_CURVATURE_COLUMN,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,5.107367227839e+00,False
C02_POTENTIAL_COLUMN,C04_DISPERSIVE_PERSISTENT_MEDIUM,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,5.046590580966e+00,False
C02_POTENTIAL_COLUMN,C05_ENDPOINT_MEMORY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,6.523635957696e+00,False
C02_POTENTIAL_COLUMN,C06_PATH_MEMORY_OPACITY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,5.040849660326e+00,False
C02_POTENTIAL_COLUMN,C07_GENERAL_TIME_VARYING_METRIC_PATH,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,5.424328142639e+00,False
C02_POTENTIAL_COLUMN,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,5.614487025331e+00,False
C03_TIDAL_CURVATURE_COLUMN,C04_DISPERSIVE_PERSISTENT_MEDIUM,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,7.662913730687e-01,False
C03_TIDAL_CURVATURE_COLUMN,C05_ENDPOINT_MEMORY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,3.764146028313e+00,False
C03_TIDAL_CURVATURE_COLUMN,C06_PATH_MEMORY_OPACITY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,6.939985260082e-01,False
C03_TIDAL_CURVATURE_COLUMN,C07_GENERAL_TIME_VARYING_METRIC_PATH,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.790027533810e+00,False
C03_TIDAL_CURVATURE_COLUMN,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.236984995435e+00,False
C04_DISPERSIVE_PERSISTENT_MEDIUM,C05_ENDPOINT_MEMORY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,3.275280277230e+00,False
C04_DISPERSIVE_PERSISTENT_MEDIUM,C06_PATH_MEMORY_OPACITY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,2.647628914070e-01,False
C04_DISPERSIVE_PERSISTENT_MEDIUM,C07_GENERAL_TIME_VARYING_METRIC_PATH,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.385339494782e+00,False
C04_DISPERSIVE_PERSISTENT_MEDIUM,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.768443043496e+00,False
C05_ENDPOINT_MEMORY,C06_PATH_MEMORY_OPACITY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,3.326787593769e+00,False
C05_ENDPOINT_MEMORY,C07_GENERAL_TIME_VARYING_METRIC_PATH,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.049392181345e+00,False
C05_ENDPOINT_MEMORY,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.049392181345e+00,False
C06_PATH_MEMORY_OPACITY,C07_GENERAL_TIME_VARYING_METRIC_PATH,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.393706227838e+00,False
C06_PATH_MEMORY_OPACITY,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,FINITE_FIXTURE_MEMBER_SEPARATION_ONLY,0,1.795868029895e+00,False
C07_GENERAL_TIME_VARYING_METRIC_PATH,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,RIGHT_CONSTRAINED_SUBFAMILY_OF_LEFT,2,0.000000000000e+00,False
