plateifu,ok,why,mangaid,dapqual,drp3qual,reff_arcsec,ecoo_ell,ecoo_pa,frac_good_1Re,n_spx_1Re,sigma_e_tot_1Re,sigma_e_1Re,v_e_1Re,n_bins_1Re,sigma_e_tot_0p5Re,sigma_e_0p5Re,v_e_0p5Re,n_bins_0p5Re,sigma_e_tot_3kpc,sigma_e_3kpc,v_e_3kpc,n_bins_3kpc,sigma_e_tot_5kpc,sigma_e_5kpc,v_e_5kpc,n_bins_5kpc,Rmax_kpc,Rmax_Re,sigma_e,v_e,sigma_e_tot,vsigma_e,vsys_offset,dlogS_dlogAp,e_sigma_e_tot,med_sigma_astro,med_sigmacorr,frac_sigma_gt50,med_snr_1Re,A_kin,n_asym_pairs,pa_kin_star,n_gas_1Re,pa_kin_gas,v_e_gas
10001-1902,1,,1-48201,0,0,3.54894,0.160041,153.782,1.0,131,144.08394163645946,142.84220023098362,18.875594577926325,131,152.32636708978026,151.95825927972595,10.58345630907378,35.0,137.03840454372965,134.10072706800213,28.22267385851486,289.0,136.60926794018775,133.55654705243472,28.718301248242344,296.0,3.1653492791312083,1.7447706460952759,142.84220023098362,18.875594577926325,144.08394163645946,0.13214298398794938,15.444432671465178,-0.08025613420377403,0.2314983091420385,136.75722459101635,26.53664779663086,1.0,33.08695602416992,0.01236515616007524,131.0,174.0,4.0,,
10001-3703,1,,1-55612,0,0,2.63385,0.389472,169.053,1.0,57,105.17456229768888,97.81524145849782,38.65057687701709,49,107.78512324765646,105.75970030763979,20.797081149784155,13.0,105.16147390487492,92.76346805042041,49.5365984813685,80.0,111.78657938492798,98.11769698748603,53.56451127803446,108.0,5.162385531834194,2.4446654319763184,97.81524145849782,38.65057687701709,105.17456229768888,0.3951385929299801,2.1056028061012237,-0.03537225362828309,0.948864377238703,98.2930769611532,23.635353088378906,1.0,18.95529556274414,0.019754988934791433,49.0,352.0,57.0,351.0,37.010956549824044
10001-9102,1,,1-55552,0,0,4.53904,0.180944,115.745,1.0,211,198.06548917476675,184.66541686302605,71.61439671493751,120,206.19593804910588,202.15304676846915,40.63139857518849,55.0,207.56206522118032,204.80741825961667,33.703595427074916,41.0,201.6121991032171,194.28868923841662,53.84592891995846,97.0,14.626067025320872,2.123102903366089,184.66541686302605,71.61439671493751,198.06548917476675,0.3878062169488771,-11.074988573335377,-0.0580383849470946,0.724121111238362,185.31801678218744,23.24987030029297,1.0,16.041007041931152,0.03196184643811908,120.0,121.0,150.0,100.0,39.31998569135448
10213-6102,1,,1-72572,0,0,3.56845,0.37611,166.852,1.0,101,239.63728641870313,223.46460825865918,86.54246297583369,101,244.58798223099996,239.2226487949021,50.94904665823359,27.0,242.87579949473397,233.64705166042216,66.31522623499248,47.0,239.40934685654395,220.9594338085229,92.16161876450492,120.0,12.239815848214286,2.7677206993103027,223.46460825865918,86.54246297583369,239.63728641870313,0.3872759254819501,27.831928165497235,-0.029501117089709372,0.4934587435865456,215.41254250439607,42.60384750366211,1.0,22.618927001953125,0.01470474317644996,101.0,346.0,56.0,349.0,151.54539241192396
10215-1901,1,,1-122310,0,0,3.01534,0.102165,133.802,1.0,103,45.327399876043714,42.32737060781224,16.216253480742097,103,43.31889350027416,42.00092334164538,10.604195987311952,23.0,53.10548183239885,50.05810189773211,17.730725733807766,249.0,53.10548183239885,50.05810189773211,17.730725733807766,249.0,2.568882703781128,1.984358310699463,42.32737060781224,16.216253480742097,45.327399876043714,0.3831150682851325,-17.00330429265748,0.06538701353377925,0.3896518536689968,42.03433609364154,58.54056930541992,0.11650485436893204,25.973100662231445,0.04176993961643268,103.0,318.0,103.0,321.0,28.74240207370711
10215-9101,1,,1-121951,0,0,4.66335,0.616254,86.394,1.0,107,68.38868043721862,42.4942140518771,53.58407771024207,87,57.615504406419014,45.74638306816327,35.02591589362017,25.0,64.67759677264813,43.47175550857051,47.88943513227458,61.0,75.7234169956142,43.40391077626775,62.04946744991016,115.0,7.317899976457869,1.9378379583358765,42.4942140518771,53.58407771024207,68.38868043721862,1.26097349735252,-8.524382238062147,0.2473004577575383,0.6534355343835105,43.36201649342751,20.752670288085938,0.08045977011494253,14.20217514038086,0.0652541590894287,87.0,85.0,107.0,85.0,61.92808382586625
10216-12701,1,,1-382678,0,0,6.6955,0.554884,32.1503,0.9800796812749004,251,86.13029835303891,63.1607567472783,58.55891991400316,205,81.02364747171967,70.09551116854819,40.63804576553162,63.0,81.02364747171967,70.09551116854819,40.63804576553162,63.0,84.13699237914874,65.28172753982268,53.07852236098222,159.0,12.703226634434293,2.0929641723632812,63.1607567472783,58.55891991400316,86.13029835303891,0.9271408850959748,-11.91670413859341,0.08817779590544589,0.6078050617999519,61.690821444982625,18.88321304321289,0.7951219512195122,14.130386352539062,0.03421217482796459,205.0,213.0,251.0,217.0,71.39110744208963
10216-3702,1,,1-297905,0,0,2.38445,0.110695,40.8003,1.0,64,95.77430182427835,94.87369766421486,13.103372903459665,64,96.67918672938438,96.45474859084528,6.583815074256228,17.0,94.48438795681608,92.946879730609,16.975780274197604,112.0,93.43073379239836,90.74568972092294,22.23784643485043,159.0,6.462222508021764,3.047485113143921,94.87369766421486,13.103372903459665,95.77430182427835,0.13811386323147484,12.571864860292932,-0.013566733398891452,0.3789066943550174,95.31465680392432,19.813358306884766,1.0,24.092724800109863,0.024429875332515893,64.0,358.0,2.0,,
10216-6102,1,,1-297871,0,0,8.06286,0.33903,63.9266,1.0,536,119.17446014145945,71.68625254119213,95.20311521483282,459,105.1210037289868,85.72078523345088,60.847123218359705,129.0,103.22433602409097,87.44681066952174,54.848143554210324,101.0,113.01881296683888,78.15565196071765,81.6391214493914,275.0,11.565415518624443,1.6540614366531372,71.68625254119213,95.20311521483282,119.17446014145945,1.3280526159479114,-14.799733819791665,0.18102413388258723,0.257622980418887,66.6702226122581,31.31028938293457,0.9019607843137255,13.935476303100586,0.025833241223423026,459.0,236.0,536.0,235.0,106.69366215162485
10216-9102,1,,1-297970,0,0,4.49706,0.15149,33.4336,1.0,215,140.48124438755625,129.7066518034391,53.95520829927092,156,147.30601328058745,144.14612737953377,30.3472488061741,56.0,144.4537764048937,139.58661831355278,37.181574810940276,97.0,139.25961156051238,127.96011751247381,54.949501710012655,160.0,10.851445879255023,2.378443479537964,129.7066518034391,53.95520829927092,140.48124438755625,0.41597873007342817,17.604396114550703,-0.068438795343942,0.49122948447331843,129.51167771964498,21.845626831054688,1.0,16.38730812072754,0.020009517880760528,156.0,221.0,215.0,241.0,88.91590778653661
