tier,match_cost,cl_CATID,cl_RA_OBJ,cl_DEC_OBJ,cl_z_spec,cl_logMstar,cl_logRd,cl_logSigma_b,cl_log_gbar_2p2Rd,cl_incl_deg,cl_morph_type,cl_Re_kpc,cl_cluster,cl_R_on_rtwo,cl_R_proj_Mpc_from_cat,cl_v_pec_kms,cl_host_sigma_200,cl_host_e_sigma_200,cl_host_N_mem_R200,cl_gext_over_a0,cl_host_M_200_caustic,cl_host_M_200_virial,cl_host_R_200,fi_CATID,fi_RA_OBJ,fi_DEC_OBJ,fi_z_spec,fi_logMstar,fi_logRd,fi_logSigma_b,fi_log_gbar_2p2Rd,fi_incl_deg,fi_morph_type,fi_Re_kpc,fi_SurfaceDensity,d_logMstar,d_logRd,d_logSigma_b,d_log_gbar_2p2Rd,d_incl_deg,d_z_spec,cl_Y,cl_eY,cl_sigma_e_tot,cl_SIGMA_RE_MGE,cl_VSIGMA_RE_MGE,cl_k51,cl_aper_flag,cl_LAMBDAR_RE_MGE,cl_misalign_deg,cl_e_sigma_e_tot,fi_Y,fi_eY,fi_sigma_e_tot,fi_SIGMA_RE_MGE,fi_VSIGMA_RE_MGE,fi_k51,fi_aper_flag,fi_LAMBDAR_RE_MGE,fi_misalign_deg,fi_e_sigma_e_tot,sysid,depth_sigma_v,radius_norm,radius_mpc,cl_mu_within_1re,cl_g_i,fi_mu_within_1re,fi_g_i,dc_gi,dc_k51,dc_lambda
S1_latetype,1.1084747385093776,9011900225,13.9402,-1.08428,0.0422569,9.82376,0.0141666354999421,2.997246860642001,-9.815173953680636,71.2926783188476,3.0,1.7336386952940734,Abell 119,0.327718,0.668546,-557.541,840.0,36.0,372.0,0.285033224668652,8.6,9.7,2.04,218681,139.251,0.844073,0.03801,9.91,0.057200742716137,2.997418646209611,-9.815002168113026,74.74844435299629,3.0,1.9142237453230009,0.096,-0.0862400000000001,-0.0430341072161949,-0.0001717855676099,-0.0001717855676091,-3.455766034148681,0.0042468999999999,1.9497769814655772,0.02301633610906279,89.07933811992216,73.37183,0.6884711,0.05841507,0.0,0.5399544,3.0,4.720944133473288,1.898956936403473,0.017529317167585323,79.24227518500776,62.193996,0.7895365,0.030597767,0.0,0.57478446,1.5,3.198435699002318,Abell 119,840.0,0.327718,0.668546,20.6048,0.99877,20.41,0.88,0.11877000000000004,0.027817302999999998,-0.03483006000000011
S1_latetype,1.3814545872713329,9011900242,13.8457,-1.21122,0.0417739,10.4092,0.2511640530796324,3.10869202548262,-9.703728788840015,55.21839462461968,2.0,2.9919615603770606,Abell 119,0.347375,0.708646,-696.562,840.0,36.0,372.0,0.2689041104011434,8.6,9.7,2.04,592835,214.259,-0.163617,0.05152,10.36,0.237314540381661,3.0871910508785625,-9.725229763444071,63.15899741307433,3.0,2.898054155953852,2.082,0.0492000000000008,0.0138495126979714,0.0215009746040575,0.0215009746040575,-7.940602788454647,-0.0097461,2.083082134147322,0.006446940825618891,121.08271045654621,109.58334,0.46998537,0.026174087,0.0,0.41093525,7.0,1.7974280168100252,2.0341796680064537,0.010065132646854345,108.18814340236736,91.47122,0.6315948,0.038459837,0.0,0.5018123,8.0,2.5073494127524025,Abell 119,840.0,0.347375,0.708646,20.9311,1.16401,20.1,0.87,0.29401,-0.012285749999999998,-0.09087705000000001
S1_latetype,0.7286061664350115,9011900271,14.0097,-1.49619,0.0411749,9.56272,0.1098786323884553,2.5447828668649746,-10.26763794745766,61.843226615961946,3.0,2.1610787298980423,Abell 119,0.380899,0.777034,-869.046,840.0,36.0,372.0,0.245237431334187,8.6,9.7,2.04,107395,219.801,0.945334,0.03434,9.58,0.1115240941484432,2.5587719433449987,-10.253648870977637,62.57198051473361,3.0,2.169282189846792,0.767,-0.0172799999999995,-0.0016454617599878,-0.0139890764800241,-0.0139890764800245,-0.7287538987716644,0.0068348999999999,1.9262239907930214,0.02291697175471089,84.37698264804399,69.35795,0.692805,0.06431781,1.0,0.47340685,10.0,4.452428038272242,1.9236990300177919,0.0173898874407377,83.88784347318253,69.71841,0.669165,0.07656907,0.0,0.51364964,4.5,3.3590114920452643,Abell 119,840.0,0.380899,0.777034,21.0422,0.550289,20.99,0.65,-0.099711,-0.01225126,-0.04024279000000003
S1_latetype,1.3482608911237022,9011900288,14.2965,-1.38012,0.0488271,10.0272,0.217170943169685,2.7946782453025154,-10.01774256902012,73.18456292390955,2.5,2.7667052848567644,Abell 119,0.401568,0.819199,1327.17,840.0,36.0,372.0,0.2326148130299581,8.6,9.7,2.04,319049,213.417,1.783,0.05363,10.04,0.1760004282082873,2.88981927522531,-9.922601539097329,76.24657769042865,2.5,2.516473635179581,4.945,-0.0127999999999985,0.0411705149613977,-0.0951410299227943,-0.095141029922793,-3.0620147665190984,-0.0048028999999999,1.9462810531248407,0.009634747309243623,88.36515694170336,71.741974,0.7190997,0.04799855,0.0,0.54489356,174.0,1.9603655895969427,1.9457641773782426,0.02503757182049195,88.26005167373522,68.72063,0.8059198,0.023850793,0.0,0.5895912,2.0,5.088292563555434,Abell 119,840.0,0.401568,0.819199,20.5219,0.939484,20.74,1.09,-0.1505160000000001,0.024147757000000002,-0.04469763999999998
S1_latetype,0.5845493400880091,9011900347,14.0081,-1.54977,0.0426071,10.3975,0.2249207274187074,3.149478676804471,-9.662942137518163,49.84335105088444,2.0,2.8165189910252466,Abell 119,0.46197,0.942419,-456.77,840.0,36.0,372.0,0.2022007432143544,8.6,9.7,2.04,17314,223.042,0.783986,0.04325,10.41,0.2118984088978321,3.188023313846221,-9.624397500476414,52.84971297612521,2.0,2.733319284036713,0.899,-0.0124999999999992,0.0130223185208752,-0.0385446370417499,-0.0385446370417508,-3.0063619252407747,-0.0006428999999999,1.9725152604534884,0.006812656941250718,93.86750197179863,91.38655,0.23459068,0.056828186,0.0,0.22154069,169.5,1.472473437985101,2.085175786728032,0.0037671470890119083,121.66783684741613,110.13869,0.46937668,0.023564912,0.0,0.41561675,2.5,1.0553683192047199,Abell 119,840.0,0.46197,0.942419,21.3509,1.13198,20.28,1.1,0.0319799999999999,0.033263274,-0.19407605999999997
S1_latetype,1.168212877989748,9011900367,13.8067,-1.07604,0.0476241,10.776,0.4235882228405123,3.13064368596086,-9.681777128361777,66.77537313301839,2.0,4.450206659893886,Abell 119,0.486385,0.992225,982.973,840.0,36.0,372.0,0.1920510188912078,8.6,9.7,2.04,568549,215.48,-0.556579,0.05277,10.69,0.3964020507289658,3.099016030183953,-9.713404784138683,63.00813749720969,2.0,4.180170607460979,5.221,0.0860000000000003,0.0271861721115465,0.0316276557769072,0.0316276557769086,3.767235635808703,-0.0051458999999999,2.206299635253733,0.005394477322419374,160.80503216496575,124.46397,0.8180549,0.022117993,0.0,0.6063405,3.0,1.997398390933437,2.310114854765408,0.004880959614215302,204.22779799540618,148.9429,0.93815756,0.020372462,0.0,0.6516079,2.5,2.29528045059933,Abell 119,840.0,0.486385,0.992225,20.6243,1.22401,20.28,0.98,0.24401000000000006,0.001745530999999998,-0.04526740000000007
S1_latetype,0.9242409130999693,9011900441,14.4233,-1.31227,0.0471001,10.4912,0.3620685703841928,2.9688829908734986,-9.843537823449138,63.97307367508009,2.0,3.862429157105963,Abell 119,0.554821,1.13184,832.909,840.0,36.0,372.0,0.1683610954015838,8.6,9.7,2.04,381215,131.682,1.84332,0.04997,10.49,0.3435513381548485,3.004717455332188,-9.807703358990448,71.40235915865824,3.0,3.70120631634668,68.523,0.0011999999999989,0.0185172322293442,-0.0358344644586892,-0.0358344644586896,-7.429285483578155,-0.0028699,2.1289610425715964,0.011361255519484123,134.5739632036617,99.93887,0.9017934,0.024194442,0.0,0.64673454,3.5,3.5204895432382113,2.076916863091815,0.011774393076714388,119.37595614293808,97.95444,0.6965643,0.056703463,0.0,0.5357412,7.0,3.2364662460728497,Abell 119,840.0,0.554821,1.13184,20.7858,1.10393,21.11,1.29,-0.18606999999999996,-0.032509021,0.11099333999999994
S1_latetype,0.9455959082119982,9011900450,14.1308,-1.61632,0.0448431,10.3481,0.2907750881170821,2.9683699554077214,-9.844050858914915,63.407119280346514,2.0,3.277683724434148,Abell 119,0.563895,1.15035,185.749,840.0,36.0,372.0,0.1656520382660309,8.6,9.7,2.04,325536,140.984,1.83442,0.05072,10.34,0.2767006578722316,2.9884188158974214,-9.824001998425214,70.22138152351778,2.5,3.173164700369416,0.394,0.0081000000000006,0.0140744302448504,-0.0200488604897,-0.0200488604897017,-6.814262243171264,-0.0058769,2.1240391736116724,0.008990424646280176,133.05744311431874,96.335075,0.9527315,0.024570212,0.0,0.6498634,9.0,2.7544511058569743,2.1812361561434925,0.010313218462451179,151.78755176800107,115.21712,0.8576448,0.038699865,0.0,0.61539006,2.5,3.6045085684803673,Abell 119,840.0,0.563895,1.15035,20.9385,1.16136,20.67,1.05,0.1113599999999999,-0.014129652999999999,0.03447334000000002
S1_latetype,1.0688483576133392,9011900558,14.2982,-1.61961,0.0439337,10.1209,0.1048507559506755,3.1130186197405347,-9.6994021945821,70.07390955946352,2.5,2.136203943456052,Abell 119,0.663607,1.35376,-75.3983,840.0,36.0,372.0,0.1407618944416504,8.6,9.7,2.04,463641,213.955,-1.31606,0.04982,10.1,0.0692860682879913,3.1632479950659023,-9.649172819256734,75.18618815028462,3.0,1.9682398693541028,1.886,0.020900000000001,0.0355646876626842,-0.0502293753253675,-0.050229375325367,-5.112278590821106,-0.0058863,2.05022628143588,0.013216775989631953,112.26032144403989,88.3374,0.78419757,0.02111076,0.0,0.59330106,0.5,3.4163904513538834,2.083374136799926,0.019460067715734483,121.16414911840323,92.04794,0.8559714,0.028863048,0.0,0.61846125,1.0,5.429179151046043,Abell 119,840.0,0.663607,1.35376,20.541,1.1663,20.41,1.08,0.08629999999999982,-0.0077522879999999995,-0.025160189999999916
S1_latetype,0.7001767029797794,9011900714,13.7968,-0.810172,0.0455699,10.3758,0.2896066850595842,2.998406761522717,-9.81401405279992,63.51239886767786,2.0,3.2688774675992285,Abell 119,0.801317,1.63469,394.295,840.0,36.0,372.0,0.1165712289298452,8.6,9.7,2.04,417453,131.187,2.29354,0.04938,10.37,0.2783058486269237,3.015208434388037,-9.7972123799346,68.88052503525826,2.0,3.18491469844123,9.63,0.0058000000000006,0.0113008364326604,-0.0168016728653204,-0.0168016728653199,-5.3681261675804,-0.0038100999999999,2.0050015311021214,0.00559610204640501,101.15830205823895,85.913025,0.6216018,0.016991353,0.0,0.51416796,146.0,1.3034754175971226,2.127957871376179,0.010460145380141606,134.263471288777,107.91517,0.74022156,0.021202216,0.0,0.5469977,2.5,3.2337860310091138,Abell 119,840.0,0.801317,1.63469,20.8457,1.07695,20.83,1.12,-0.04305000000000003,-0.004210862999999999,-0.03282974000000005
