case,gravity,compared_radii,rms_fractional_amplitude_error,mean_fractional_amplitude_error,fitted_parameters,independent_likelihood
nominal,newton,15,0.28638321500786096,-0.2831387838672227,0,False
nominal,mond,15,0.1114332473229498,-0.09855249102998555,0,False
uncovered_zero,newton,15,0.298812406292953,-0.29595205913374556,0,False
uncovered_zero,mond,15,0.12304315882040501,-0.11028774648614918,0,False
low_conversion,newton,15,0.4290149287180159,-0.42799056911598454,0,False
low_conversion,mond,15,0.2429839975463487,-0.23556162060233846,0,False
high_conversion,newton,15,0.15387002892108936,-0.14251807422516183,0,False
high_conversion,mond,15,0.05395444340340533,0.03350838101020925,0,False
thicker,newton,15,0.31379689209411865,-0.31230518739990565,0,False
thicker,mond,15,0.1382545368225788,-0.12334754074035965,0,False
axisymmetrized,newton,15,0.2881444706549815,-0.28521651956676275,0,False
axisymmetrized,mond,15,0.11362231532301595,-0.10029051994211499,0,False
nominal_finer,newton,15,0.28306641922645664,-0.2792196828785434,0,False
nominal_finer,mond,15,0.10619532789373641,-0.09457862361661867,0,False
