seed,family,galaxy,mse_logspeed
9062301,mond_fixed,CamB,0.20584368941640976
9062301,mond_fixed,D564-8,0.02753833243096267
9062301,mond_fixed,D631-7,0.02587942542106274
9062301,mond_fixed,DDO064,0.005550146547520262
9062301,mond_fixed,DDO161,0.02386809755068716
9062301,mond_fixed,DDO168,0.011884732968400785
9062301,mond_fixed,DDO170,0.010749989807634069
9062301,mond_fixed,ESO079-G014,0.0024365175282382344
9062301,mond_fixed,ESO116-G012,0.0017026467782766564
9062301,mond_fixed,F565-V2,0.003213604655351657
9062301,mond_fixed,F568-3,0.00811897757616806
9062301,mond_fixed,F568-V1,0.01760706805043226
9062301,mond_fixed,F571-V1,0.0027572916800771116
9062301,mond_fixed,F583-1,0.012839186971722014
9062301,mond_fixed,F583-4,0.0015836447258602293
9062301,mond_fixed,KK98-251,0.042737763398904095
9062301,mond_fixed,NGC0024,0.013932696484557229
9062301,mond_fixed,NGC0055,0.010926438592539169
9062301,mond_fixed,NGC0247,0.0008286811380461112
9062301,mond_fixed,NGC0289,0.0032124699654962896
9062301,mond_fixed,NGC0300,0.001059436229772366
9062301,mond_fixed,NGC0801,0.004584267671734716
9062301,mond_fixed,NGC1003,0.0017174137131244613
9062301,mond_fixed,NGC1090,0.007510378827226734
9062301,mond_fixed,NGC2403,0.0005878604840940162
9062301,mond_fixed,NGC2683,0.0013505171412184326
9062301,mond_fixed,NGC2841,0.006916233967922601
9062301,mond_fixed,NGC2915,0.025074319056583683
9062301,mond_fixed,NGC2955,0.0015362839008018095
9062301,mond_fixed,NGC2976,0.011627681121076724
9062301,mond_fixed,NGC2998,0.014252624484766515
9062301,mond_fixed,NGC3109,0.003557330467382226
9062301,mond_fixed,NGC3198,0.005402308890426169
9062301,mond_fixed,NGC3521,0.00020628298958536893
9062301,mond_fixed,NGC3741,0.0019479007299001213
9062301,mond_fixed,NGC3769,0.003496094324888738
9062301,mond_fixed,NGC3877,0.012952313716345238
9062301,mond_fixed,NGC3893,0.0003320219520341513
9062301,mond_fixed,NGC3917,0.004018300877779904
9062301,mond_fixed,NGC3949,0.0009868815332918911
9062301,mond_fixed,NGC3972,0.001791454767827156
9062301,mond_fixed,NGC3992,0.0011374357941199146
9062301,mond_fixed,NGC4051,0.00449572377929275
9062301,mond_fixed,NGC4068,0.05792166096299924
9062301,mond_fixed,NGC4088,0.010244333080580254
9062301,mond_fixed,NGC4100,0.0007030289234199809
9062301,mond_fixed,NGC5005,0.0005991034522490175
9062301,mond_fixed,NGC5033,0.0008882935945106409
9062301,mond_fixed,NGC5371,0.006406483242225186
9062301,mond_fixed,NGC5585,0.006286254486897485
9062301,mond_fixed,NGC5985,0.01605340518400957
9062301,mond_fixed,NGC6015,0.0016826334271934772
9062301,mond_fixed,NGC6195,0.0036454838906899716
9062301,mond_fixed,NGC6503,0.0003650464981992309
9062301,mond_fixed,NGC6674,0.0019125759922267143
9062301,mond_fixed,NGC6946,0.002075559366363078
9062301,mond_fixed,NGC7331,0.002367480203622221
9062301,mond_fixed,UGC00128,0.0022923063099847987
9062301,mond_fixed,UGC00191,0.0025356397307140666
9062301,mond_fixed,UGC00731,0.011474125157994437
9062301,mond_fixed,UGC00891,0.008321393639273946
9062301,mond_fixed,UGC02259,0.010083575328800908
9062301,mond_fixed,UGC02487,0.006438189972401675
9062301,mond_fixed,UGC02916,0.004238222976032075
9062301,mond_fixed,UGC02953,0.00423733523838347
9062301,mond_fixed,UGC03205,0.001937845351807883
9062301,mond_fixed,UGC03580,0.016346942210467147
9062301,mond_fixed,UGC04325,0.012710722294253584
9062301,mond_fixed,UGC04483,0.014890543409951544
9062301,mond_fixed,UGC04499,0.005325463992301263
9062301,mond_fixed,UGC05414,0.007438180748801648
9062301,mond_fixed,UGC05716,0.0014603623435860775
9062301,mond_fixed,UGC05750,0.04316697977346439
9062301,mond_fixed,UGC05764,0.012090038918081325
9062301,mond_fixed,UGC05829,0.0034082348329816034
9062301,mond_fixed,UGC06399,0.0014233549202768902
9062301,mond_fixed,UGC06614,0.004788631467644379
9062301,mond_fixed,UGC06786,0.004577558903907053
9062301,mond_fixed,UGC06787,0.0032680397044886826
9062301,mond_fixed,UGC06818,0.020595549550483903
9062301,mond_fixed,UGC06917,0.0005448907423710506
9062301,mond_fixed,UGC06923,0.004939060283348967
9062301,mond_fixed,UGC06983,0.0019864052882467777
9062301,mond_fixed,UGC07089,0.011621024672186538
9062301,mond_fixed,UGC07261,0.0016179756486478264
9062301,mond_fixed,UGC07323,0.005327523942642139
9062301,mond_fixed,UGC07399,0.02421939585269763
