seed,family,mse,rmse_dex
9062301,mond_fixed,0.011378159382310906,0.10666845542291735
9062301,mond_adjusted,0.010291058480176344,0.1014448543799849
9062301,clock_potential,0.018806575188334913,0.13713706715667692
9062301,kernel_point,0.01354056622531272,0.11636393868081606
9062301,finite_p2,0.021505789831306705,0.146648524818038
9062301,finite_p3,0.015192724341951982,0.12325876983789828
9062301,finite_mixture,0.013571777865883823,0.1164979736556985
9062302,mond_fixed,0.011378159382310906,0.10666845542291735
9062302,mond_adjusted,0.010291058480176344,0.1014448543799849
9062302,clock_potential,0.01875231460650946,0.13693909086345454
9062302,kernel_point,0.01354056622531272,0.11636393868081606
9062302,finite_p2,0.020908462343814972,0.14459758761409186
9062302,finite_p3,0.015192724341951982,0.12325876983789828
9062302,finite_mixture,0.013571777865883823,0.1164979736556985
9062303,mond_fixed,0.011378159382310906,0.10666845542291735
9062303,mond_adjusted,0.010291058480176344,0.1014448543799849
9062303,clock_potential,0.019085361240010604,0.13814977828433386
9062303,kernel_point,0.01354056622531272,0.11636393868081606
9062303,finite_p2,0.023128402936534318,0.1520802516322692
9062303,finite_p3,0.015192724341951982,0.12325876983789828
9062303,finite_mixture,0.013571777865883823,0.1164979736556985
