seed,family,fold,parameter,value,lower_bound,upper_bound
9062301,mond_adjusted,0,mf,1.2,False,True
9062301,mond_adjusted,0,a0_factor,0.5,True,False
9062301,mond_adjusted,1,mf,1.2,False,True
9062301,mond_adjusted,1,a0_factor,0.5,True,False
9062301,mond_adjusted,2,mf,1.2,False,True
9062301,mond_adjusted,2,a0_factor,0.5,True,False
9062301,mond_adjusted,3,mf,1.2,False,True
9062301,mond_adjusted,3,a0_factor,0.5,True,False
9062301,mond_adjusted,4,mf,1.2,False,True
9062301,mond_adjusted,4,a0_factor,0.5,True,False
9062301,clock_potential,0,mf,1.0,False,False
9062301,clock_potential,0,beta,10.0,False,False
9062301,clock_potential,0,clock_factor,0.1,True,False
9062301,clock_potential,1,mf,0.8,True,False
9062301,clock_potential,1,beta,10.0,False,False
9062301,clock_potential,1,clock_factor,0.1,True,False
9062301,clock_potential,2,mf,1.0,False,False
9062301,clock_potential,2,beta,10.0,False,False
9062301,clock_potential,2,clock_factor,0.1,True,False
9062301,clock_potential,3,mf,1.0,False,False
9062301,clock_potential,3,beta,10.0,False,False
9062301,clock_potential,3,clock_factor,0.1,True,False
9062301,clock_potential,4,mf,1.0,False,False
9062301,clock_potential,4,beta,10.0,False,False
9062301,clock_potential,4,clock_factor,0.1,True,False
9062301,kernel_point,0,mf,1.2,False,True
9062301,kernel_point,0,eta,30.0,False,True
9062301,kernel_point,0,length_factor,8.0,False,True
9062301,kernel_point,1,mf,1.2,False,True
9062301,kernel_point,1,eta,30.0,False,True
9062301,kernel_point,1,length_factor,8.0,False,True
9062301,kernel_point,2,mf,1.2,False,True
9062301,kernel_point,2,eta,30.0,False,True
9062301,kernel_point,2,length_factor,8.0,False,True
9062301,kernel_point,3,mf,1.2,False,True
9062301,kernel_point,3,eta,30.0,False,True
9062301,kernel_point,3,length_factor,8.0,False,True
9062301,kernel_point,4,mf,1.2,False,True
9062301,kernel_point,4,eta,30.0,False,True
9062301,kernel_point,4,length_factor,8.0,False,True
9062301,finite_p2,0,mf,1.0,False,False
9062301,finite_p2,0,eta,30.0,False,True
9062301,finite_p2,0,length_factor,8.0,False,True
9062301,finite_p2,1,mf,1.2,False,True
9062301,finite_p2,1,eta,10.0,False,False
9062301,finite_p2,1,length_factor,8.0,False,True
9062301,finite_p2,2,mf,1.2,False,True
9062301,finite_p2,2,eta,10.0,False,False
9062301,finite_p2,2,length_factor,8.0,False,True
9062301,finite_p2,3,mf,1.2,False,True
9062301,finite_p2,3,eta,10.0,False,False
9062301,finite_p2,3,length_factor,8.0,False,True
9062301,finite_p2,4,mf,1.2,False,True
9062301,finite_p2,4,eta,10.0,False,False
9062301,finite_p2,4,length_factor,8.0,False,True
9062301,finite_p3,0,mf,1.2,False,True
9062301,finite_p3,0,eta,30.0,False,True
9062301,finite_p3,0,length_factor,4.0,False,False
9062301,finite_p3,1,mf,1.2,False,True
9062301,finite_p3,1,eta,30.0,False,True
9062301,finite_p3,1,length_factor,4.0,False,False
9062301,finite_p3,2,mf,1.2,False,True
9062301,finite_p3,2,eta,30.0,False,True
9062301,finite_p3,2,length_factor,4.0,False,False
9062301,finite_p3,3,mf,1.2,False,True
9062301,finite_p3,3,eta,30.0,False,True
9062301,finite_p3,3,length_factor,4.0,False,False
9062301,finite_p3,4,mf,1.2,False,True
9062301,finite_p3,4,eta,30.0,False,True
9062301,finite_p3,4,length_factor,4.0,False,False
9062301,finite_mixture,0,mf,1.2,False,True
9062301,finite_mixture,0,eta,30.0,False,True
9062301,finite_mixture,0,length_factor,8.0,False,True
9062301,finite_mixture,0,q,0.5,False,False
9062301,finite_mixture,1,mf,1.2,False,True
9062301,finite_mixture,1,eta,30.0,False,True
9062301,finite_mixture,1,length_factor,8.0,False,True
9062301,finite_mixture,1,q,0.5,False,False
9062301,finite_mixture,2,mf,1.2,False,True
9062301,finite_mixture,2,eta,30.0,False,True
