case,level,component,r,theta,z,phi,gx,gy,gz
f1-stars-h0p1,0,stellar_luminosity,1.0,0.0,0.0,-1698.6554001787385,-84.9759338763398,0.8707625871478422,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,0.5235987755982988,0.0,-1697.8763972627964,-74.47465767763241,-45.883187869910714,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,1.0471975511965976,0.0,-1697.389643607123,-46.16148255751554,-76.5677486950793,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,1.5707963267948966,0.0,-1699.8586969077246,-6.6610812625169595,-86.72650242783288,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,2.0943951023931953,0.0,-1703.5794933648322,35.92994668859004,-77.07338345468214,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,2.6179938779914944,0.0,-1706.5538273863403,68.34015243731353,-42.345118919788305,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,3.141592653589793,0.0,-1704.9489055905558,80.88986807001211,7.857548536130954,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,3.665191429188092,0.0,-1698.792157429235,68.02038861915928,56.142504852411655,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,4.1887902047863905,0.0,-1691.5931447774926,37.28908253630981,86.66044397035992,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,4.71238898038469,0.0,-1688.1774876656186,-1.7635953196298275,96.63425261643408,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,5.235987755982989,0.0,-1689.9730074763763,-40.172490261035215,86.01296537961449,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,5.759586531581287,0.0,-1695.4494701752674,-71.0272630211227,53.26616398705957,0.0
f1-stars-h0p1,0,stellar_luminosity,1.0,0.0,0.4,-1685.9706885150097,-80.4272038541791,1.9712051616181179,-58.057470845311
f1-stars-h0p1,0,stellar_luminosity,1.0,0.5235987755982988,0.4,-1685.8375319293646,-70.61284753187358,-42.26373282186456,-55.75843601417816
f1-stars-h0p1,0,stellar_luminosity,1.0,1.0471975511965976,0.4,-1685.8409598002127,-43.66859913434678,-71.33672643632822,-53.963676534048474
f1-stars-h0p1,0,stellar_luminosity,1.0,1.5707963267948966,0.4,-1688.131616647217,-5.83015558263592,-81.17797090661355,-54.70505757175407
f1-stars-h0p1,0,stellar_luminosity,1.0,2.0943951023931953,0.4,-1691.3364068731585,34.17528604337851,-71.41952544432012,-56.63603104012764
f1-stars-h0p1,0,stellar_luminosity,1.0,2.6179938779914944,0.4,-1693.6872623682311,64.52946944842543,-39.184177749088164,-58.91211575775766
f1-stars-h0p1,0,stellar_luminosity,1.0,3.141592653589793,0.4,-1692.184907412641,75.90187541545492,7.348698579084457,-58.60523987885435
f1-stars-h0p1,0,stellar_luminosity,1.0,3.665191429188092,0.4,-1686.6138463874133,64.21076488580887,51.9564395903836,-56.12477797702064
f1-stars-h0p1,0,stellar_luminosity,1.0,4.1887902047863905,0.4,-1680.2524265067543,35.35305208831819,81.15521092353893,-52.92963481125204
f1-stars-h0p1,0,stellar_luminosity,1.0,4.71238898038469,0.4,-1677.0891459540992,-1.7136617973541068,90.72855111618641,-51.83085112967605
f1-stars-h0p1,0,stellar_luminosity,1.0,5.235987755982989,0.4,-1678.5304867056907,-38.5573856818541,80.32828363642169,-53.29039814234693
f1-stars-h0p1,0,stellar_luminosity,1.0,5.759586531581287,0.4,-1683.0251480221787,-67.8531370295061,49.242962764686986,-56.94965737703916
f1-stars-h0p1,0,stellar_luminosity,3.0,0.0,0.0,-1474.6809150555196,-112.89326312771612,0.6680040939335483,0.0
f1-stars-h0p1,0,stellar_luminosity,3.0,0.5235987755982988,0.0,-1474.437415035248,-97.39261793676559,-56.72053430993381,0.0
f1-stars-h0p1,0,stellar_luminosity,3.0,1.0471975511965976,0.0,-1474.9372584459757,-57.158090704695105,-96.50282728552712,0.0
f1-stars-h0p1,0,stellar_luminosity,3.0,1.5707963267948966,0.0,-1478.7123226935043,-3.127518195928141,-112.60783897392247,0.0
f1-stars-h0p1,0,stellar_luminosity,3.0,2.0943951023931953,0.0,-1483.0202456635382,54.21129609855058,-98.90797361228502,0.0
f1-stars-h0p1,0,stellar_luminosity,3.0,2.6179938779914944,0.0,-1486.892936658793,97.68038796653119,-58.652473021913394,0.0
f1-stars-h0p1,0,stellar_luminosity,3.0,3.141592653589793,0.0,-1486.2061496694712,113.17724694097544,3.1343312974077735,0.0
