galaxy	team_release_kin	point_index	outer_fold	radius_kpc	radius_over_source	local_hi_surface_density	enclosed_gas_mass_msun	gbar_m_s2	u	vbar_km_s	h_lane0_feedback0	h_lane0_feedback1	h_lane0_feedback2	h_lane0_feedback3	h_lane0_feedback4	h_lane0_feedback5	h_lane0_feedback6	h_lane0_feedback7	h_lane0_feedback8	h_lane0_feedback9	h_lane0_feedback10	h_lane0_feedback11	h_lane0_feedback12	h_lane0_feedback13	h_lane0_feedback14	h_lane0_feedback15	h_lane1_feedback0	h_lane1_feedback1	h_lane1_feedback2	h_lane1_feedback3	h_lane1_feedback4	h_lane1_feedback5	h_lane1_feedback6	h_lane1_feedback7	h_lane1_feedback8	h_lane1_feedback9	h_lane1_feedback10	h_lane1_feedback11	h_lane1_feedback12	h_lane1_feedback13	h_lane1_feedback14	h_lane1_feedback15	h_lane2_feedback0	h_lane2_feedback1	h_lane2_feedback2	h_lane2_feedback3	h_lane2_feedback4	h_lane2_feedback5	h_lane2_feedback6	h_lane2_feedback7	h_lane2_feedback8	h_lane2_feedback9	h_lane2_feedback10	h_lane2_feedback11	h_lane2_feedback12	h_lane2_feedback13	h_lane2_feedback14	h_lane2_feedback15	h_lane3_feedback0	h_lane3_feedback1	h_lane3_feedback2	h_lane3_feedback3	h_lane3_feedback4	h_lane3_feedback5	h_lane3_feedback6	h_lane3_feedback7	h_lane3_feedback8	h_lane3_feedback9	h_lane3_feedback10	h_lane3_feedback11	h_lane3_feedback12	h_lane3_feedback13	h_lane3_feedback14	h_lane3_feedback15	total_hi_mass_msun	half_hi_mass_radius_fraction	distance_mpc	inclination_degrees	missing_stellar_counterpart
WALLABY J100036-465940	Vela Kin TR1	0	0	1.917880911895e+00	7.707327098963e-02	5.850000000000e+00	3.357582711199e+08	1.272313074203e-11	1.060260895169e-01	2.743993548731e+01	8.046045889095e-01	8.030973367108e-01	8.015841677659e-01	7.985423305909e-01	7.954837616853e-01	7.908754564984e-01	7.847208657516e-01	7.770756552642e-01	7.680987195820e-01	7.594957932219e-01	7.462250180462e-01	7.331902577097e-01	7.172197154684e-01	6.762370929935e-01	6.401760467825e-01	6.161498750901e-01	8.046045889095e-01	8.061053858475e-01	8.075992093002e-01	8.105639671248e-01	8.134951436191e-01	8.178216948605e-01	8.234446384305e-01	8.302146655518e-01	8.379305404159e-01	8.451850637565e-01	8.562579471539e-01	8.661271230222e-01	8.749085873602e-01	8.897134728429e-01	9.015958944780e-01	9.112767342452e-01	8.046045889095e-01	8.058290498262e-01	8.070356887130e-01	8.093974587106e-01	8.116938930809e-01	8.150249233950e-01	8.192753096405e-01	8.243243346705e-01	8.300662059959e-01	8.355333641641e-01	8.441771738870e-01	8.523487509175e-01	8.600867060819e-01	8.741962340819e-01	8.864074688124e-01	8.968551404611e-01	8.046045889095e-01	7.925630804570e-01	7.802176299771e-01	7.553075655093e-01	7.312378860034e-01	6.988496831972e-01	6.643376594838e-01	6.336800073571e-01	6.102421449965e-01	5.963089452527e-01	5.846804592403e-01	5.799463494337e-01	5.780185469705e-01	5.769086640606e-01	5.767230920475e-01	5.767549292069e-01	2.204836870169e+09	3.847497687802e-01	5.274551129294e+01	4.490000000000e+01	True
WALLABY J100036-465940	Vela Kin TR1	1	0	5.745971212038e+00	2.309115198849e-01	4.660000000000e+00	1.137063809419e+09	4.800301205136e-12	4.000251004280e-02	2.917368168153e+01	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	9.999999997175e-01	9.999999996517e-01	9.999999996678e-01	9.999999996726e-01	9.999999996422e-01	9.999999996499e-01	9.999999996437e-01	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	9.999999999976e-01	9.999999999817e-01	9.999999999874e-01	9.999999999959e-01	9.999999999993e-01	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	2.204836870169e+09	3.847497687802e-01	5.274551129294e+01	4.490000000000e+01	True
WALLABY J100036-465940	Vela Kin TR1	2	0	9.574061512180e+00	3.847497687802e-01	2.600000000000e+00	1.881998747182e+09	2.861787923585e-12	2.384823269654e-02	2.907649827838e+01	9.518561810996e-01	9.501752824459e-01	9.484190886351e-01	9.446685455000e-01	9.405793162159e-01	9.337525261682e-01	9.232095727522e-01	9.073763586929e-01	8.837960261433e-01	8.542942510326e-01	7.899893388443e-01	7.106898589956e-01	6.334896135650e-01	5.293407040528e-01	4.786059880132e-01	4.539955007866e-01	9.518561810996e-01	9.534647634889e-01	9.550039358849e-01	9.578853037482e-01	9.605220286461e-01	9.640628981588e-01	9.681083635827e-01	9.722629603666e-01	9.762051512930e-01	9.792820339771e-01	9.830536485713e-01	9.856896754815e-01	9.875996044084e-01	9.901368057440e-01	9.917275208042e-01	9.928177010929e-01	9.518561810996e-01	9.528932007932e-01	9.539135927819e-01	9.559017257174e-01	9.578157176716e-01	9.605395454183e-01	9.638836129868e-01	9.675888471434e-01	9.713453953353e-01	9.743901877874e-01	9.780786764864e-01	9.803908475567e-01	9.817447710599e-01	9.829111665900e-01	9.833098844493e-01	9.835476672944e-01	9.518561810996e-01	9.510727460385e-01	9.502538685804e-01	9.483438861623e-01	9.457899034426e-01	9.403029902834e-01	9.305541157460e-01	9.186209283817e-01	9.083543953933e-01	9.017187900510e-01	8.948833076809e-01	8.902144043855e-01	8.859673240860e-01	8.747847728693e-01	8.374370292519e-01	4.279827071928e-01	2.204836870169e+09	3.847497687802e-01	5.274551129294e+01	4.490000000000e+01	True
WALLABY J100036-465940	Vela Kin TR1	3	0	1.340215181232e+01	5.385880176755e-01	1.110000000000e+00	2.327019739643e+09	1.805766304071e-12	1.504805253392e-02	2.732708524351e+01	7.474202929524e-01	7.425366778783e-01	7.375347113533e-01	7.271756891787e-01	7.163462192015e-01	6.992389811714e-01	6.749007154994e-01	6.422849937081e-01	6.005407113421e-01	5.567204649024e-01	4.809932264017e-01	4.064286613006e-01	3.425436346551e-01	2.629285889568e-01	2.266021351063e-01	2.099723718075e-01	7.474202929524e-01	7.521859272940e-01	7.568342227583e-01	7.657826130648e-01	7.742753313481e-01	7.861891489252e-01	8.006198156214e-01	8.165310013225e-01	8.329086960795e-01	8.468008975695e-01	8.656092485629e-01	8.803420282987e-01	8.921340836503e-01	9.097739665367e-01	9.223306138856e-01	9.317377804800e-01	7.474202929524e-01	7.492284753828e-01	7.510518291015e-01	7.547400456882e-01	7.584771235095e-01	7.641579296589e-01	7.718349556618e-01	7.815190020246e-01	7.931339948748e-01	8.045848930136e-01	8.228907205268e-01	8.397173074280e-01	8.546829044444e-01	8.787727272330e-01	8.963619664352e-01	9.095592295240e-01	7.474202929524e-01	7.368550157837e-01	7.258855199394e-01	7.027286908872e-01	6.779414195804e-01	6.380181317175e-01	5.832498418134e-01	5.245652163474e-01	4.768078980602e-01	4.478865392633e-01	4.227336981469e-01	4.112027504265e-01	4.051847562715e-01	3.975083174155e-01	3.800456724935e-01	1.941887715450e-01	2.204836870169e+09	3.847497687802e-01	5.274551129294e+01	4.490000000000e+01	True
WALLABY J100036-465940	Vela Kin TR1	4	0	1.722768493792e+01	6.923235022095e-01	5.500000000005e-01	2.610491257207e+09	1.225967465666e-12	1.021639554722e-02	2.552867095022e+01	5.660291638598e-01	5.592848657014e-01	5.524531179457e-01	5.385459949785e-01	5.243491466023e-01	5.026150339328e-01	4.730985229164e-01	4.359804980082e-01	3.922263210732e-01	3.503865398282e-01	2.864171672504e-01	2.309656921987e-01	1.868905975749e-01	1.342979431700e-01	1.111521587612e-01	1.009445212613e-01	5.660291638598e-01	5.726818463435e-01	5.792391672470e-01	5.920548450451e-01	6.044545907911e-01	6.222427545372e-01	6.444110653267e-01	6.696496705189e-01	6.964971831626e-01	7.199482769962e-01	7.526453008075e-01	7.789588298401e-01	8.004105999057e-01	8.330255629332e-01	8.565146188654e-01	8.741924424039e-01	5.660291638598e-01	5.672757645604e-01	5.685534792300e-01	5.712006891206e-01	5.739677256172e-01	5.783363596043e-01	5.845523216450e-01	5.929147425433e-01	6.037438573692e-01	6.153292235281e-01	6.359242797888e-01	6.574250635635e-01	6.789565258039e-01	7.191498560317e-01	7.529742629873e-01	7.802655300217e-01	5.660291638598e-01	5.495937733238e-01	5.329375563652e-01	4.993534144981e-01	4.660267305409e-01	4.179127880587e-01	3.602231927856e-01	3.036522056165e-01	2.587298818027e-01	2.316049777954e-01	2.083017542027e-01	1.981011764482e-01	1.932791297362e-01	1.884771640396e-01	1.800043733339e-01	9.197870583725e-02	2.204836870169e+09	3.847497687802e-01	5.274551129294e+01	4.490000000000e+01	True
WALLABY J100123-434533	Vela Kin TR1	0	0	1.843394137322e+00	7.707327098964e-02	4.940000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.641219299430e-01	5.599596629659e-01	5.557665516079e-01	5.472925614054e-01	5.387101965937e-01	5.256585594857e-01	5.079915441601e-01	4.856426784137e-01	4.587429852823e-01	4.320841274503e-01	3.883640440821e-01	3.430029070931e-01	2.927361787135e-01	2.115443675369e-01	1.720393877393e-01	1.541962514858e-01	5.641219299430e-01	5.682522504677e-01	5.723495933920e-01	5.804415706181e-01	5.883909995979e-01	6.000354835547e-01	6.150169466524e-01	6.328382862204e-01	6.528759736784e-01	6.714595936305e-01	6.993529006307e-01	7.237254562822e-01	7.450084851493e-01	7.799779660746e-01	8.071656103328e-01	8.287084686502e-01	5.641219299430e-01	5.668038501276e-01	5.694981938478e-01	5.749235992037e-01	5.803968484417e-01	5.886927699255e-01	5.999031719762e-01	6.141234751589e-01	6.314128713873e-01	6.488229638114e-01	6.776715709906e-01	7.056130332857e-01	7.319190206466e-01	7.778461124424e-01	8.142915923646e-01	8.425240156682e-01	5.641219299430e-01	5.480892515244e-01	5.318566907817e-01	4.991970667496e-01	4.671806566890e-01	4.230247794607e-01	3.758270524949e-01	3.402668444347e-01	3.246339088549e-01	3.086863082315e-01	2.938163198146e-01	2.873334621362e-01	2.843620670909e-01	2.816489535244e-01	1.381068136914e-01	1.374006468115e-01	4.594241384255e+09	5.385880176755e-01	5.069697794289e+01	3.180000000000e+01	True
WALLABY J100123-434533	Vela Kin TR1	1	0	5.522808835416e+00	2.309115198850e-01	4.290000000000e+00	1.167138084539e+09	5.333505684091e-12	4.444588070076e-02	3.014821885102e+01	7.705110078107e-01	7.671253097292e-01	7.636818588370e-01	7.566220364137e-01	7.493331732288e-01	7.379779870808e-01	7.220806709803e-01	7.010901347929e-01	6.744960196791e-01	6.466526557948e-01	5.973798511892e-01	5.403376794592e-01	4.704342196554e-01	3.511638374428e-01	2.919498884681e-01	2.647769146779e-01	7.705110078107e-01	7.738389813911e-01	7.771093431283e-01	7.834780726615e-01	7.896195956033e-01	7.984136150524e-01	8.093826743482e-01	8.219424561939e-01	8.354585285852e-01	8.474506642925e-01	8.645344845075e-01	8.786294736701e-01	8.903542920060e-01	9.085443130089e-01	9.218493238328e-01	9.319198327283e-01	7.705110078107e-01	7.734883578509e-01	7.764575678955e-01	7.823698170479e-01	7.882441710292e-01	7.969764568481e-01	8.084508328455e-01	8.224753873268e-01	8.387455954012e-01	8.542882277333e-01	8.782569354104e-01	8.994417246019e-01	9.176392949882e-01	9.454990942100e-01	9.641277869996e-01	9.764094777565e-01	7.705110078107e-01	7.567283262604e-01	7.421130901480e-01	7.108432514541e-01	6.781488655501e-01	6.308013655917e-01	5.790485658367e-01	5.429140977230e-01	5.344073071082e-01	5.188042581604e-01	5.030850843445e-01	4.957915041600e-01	4.921594756578e-01	4.882594258741e-01	2.394405551712e-01	2.382540612107e-01	4.594241384255e+09	5.385880176755e-01	5.069697794289e+01	3.180000000000e+01	True
WALLABY J100123-434533	Vela Kin TR1	2	0	9.202223533509e+00	3.847497687803e-01	3.870000000000e+00	2.434388341830e+09	4.006958513036e-12	3.339132094197e-02	3.373098976707e+01	9.467646864198e-01	9.457645166544e-01	9.447398111368e-01	9.426149471109e-01	9.403864367194e-01	9.368414280656e-01	9.317180590083e-01	9.246308810422e-01	9.150061020946e-01	9.038693512933e-01	8.795764168793e-01	8.385344453075e-01	7.686651290534e-01	6.267789446713e-01	5.507089061668e-01	5.139364565761e-01	9.467646864198e-01	9.477407863872e-01	9.486932857535e-01	9.505293726009e-01	9.522767459605e-01	9.547398086479e-01	9.577488455030e-01	9.611096231522e-01	9.646270025406e-01	9.676627670679e-01	9.718510820082e-01	9.751873690311e-01	9.778814957839e-01	9.819177844471e-01	9.847622788832e-01	9.868567415558e-01	9.467646864198e-01	9.484457313789e-01	9.500835478109e-01	9.532313910804e-01	9.562122329834e-01	9.603799319266e-01	9.653949769536e-01	9.708495208974e-01	9.763094764701e-01	9.807220530388e-01	9.861339280794e-01	9.896466487703e-01	9.917925561265e-01	9.935907777067e-01	9.937638510094e-01	9.933747755701e-01	9.467646864198e-01	9.436123890921e-01	9.402825600464e-01	9.332505103025e-01	9.261229233678e-01	9.165419579017e-01	9.087200018165e-01	9.183293046518e-01	9.586587602056e-01	9.694366032598e-01	9.751420918588e-01	9.761465718788e-01	9.753638875381e-01	9.713984286687e-01	4.766088967101e-01	4.743756200497e-01	4.594241384255e+09	5.385880176755e-01	5.069697794289e+01	3.180000000000e+01	True
WALLABY J100123-434533	Vela Kin TR1	3	0	1.288163823160e+01	5.385880176756e-01	3.039999999999e+00	3.827344765435e+09	3.214888625505e-12	2.679073854587e-02	3.574734467475e+01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999998e-01	9.999999999998e-01	9.999999999997e-01	9.999999999997e-01	9.999999999996e-01	9.999999999996e-01	9.999999999995e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	1.000000000000e+00	9.999999996430e-01	9.999999996786e-01	9.999999996440e-01	9.999999996776e-01	9.999999996432e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999378e-01	9.999999996391e-01	9.999999997489e-01	9.999999996878e-01	9.999999996847e-01	9.999999996572e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999999e-01	9.999999999998e-01	9.999999999998e-01	9.999999999998e-01	9.999999999996e-01	9.999999999996e-01	9.999999999995e-01	9.999999999995e-01	9.999999999995e-01	9.999999999995e-01	9.999999999995e-01	9.999999999995e-01	4.594241384255e+09	5.385880176755e-01	5.069697794289e+01	3.180000000000e+01	True
WALLABY J100123-434533	Vela Kin TR1	4	0	1.655859507085e+01	6.923235022096e-01	1.910000000001e+00	4.952432873051e+09	2.517573563245e-12	2.097977969371e-02	3.586559997432e+01	9.067782612037e-01	9.049895568268e-01	9.031435545693e-01	8.992713574124e-01	8.951446180874e-01	8.884384404632e-01	8.784378962544e-01	8.640330760025e-01	8.436341391431e-01	8.196342529320e-01	7.726444007409e-01	7.228870835154e-01	6.778713451129e-01	5.951975258105e-01	5.387904064147e-01	5.086480541217e-01	9.067782612037e-01	9.085116803177e-01	9.101917739795e-01	9.133995496610e-01	9.164161560370e-01	9.206122520793e-01	9.256578695004e-01	9.312038605914e-01	9.369298126632e-01	9.418288850535e-01	9.485647622179e-01	9.539516000381e-01	9.583451099656e-01	9.650589146049e-01	9.699327585411e-01	9.736241770269e-01	9.067782612037e-01	9.082095025787e-01	9.096249500444e-01	9.124097295918e-01	9.151349597785e-01	9.191155897051e-01	9.242313880050e-01	9.303300454558e-01	9.372232616692e-01	9.436494986574e-01	9.532867934019e-01	9.615396784325e-01	9.684240728744e-01	9.785643659418e-01	9.850484675714e-01	9.891877727715e-01	9.067782612037e-01	8.993917403322e-01	8.916521320784e-01	8.754694673520e-01	8.589610130996e-01	8.345688427742e-01	8.013880819965e-01	7.330322070017e-01	5.936855348335e-01	5.396831675427e-01	5.005198496976e-01	4.850548057370e-01	4.785673591659e-01	4.745257183197e-01	4.764156755285e-01	4.744548351994e-01	4.594241384255e+09	5.385880176755e-01	5.069697794289e+01	3.180000000000e+01	True
