alpha,selected,side,q,trace_ratio,q_pass
0.1,True,1,1.026181082543827,1.0479241163137731,True
0.1,True,2,1.1071475968312443,1.1304029407612908,True
0.1,True,4,1.1434305168105945,1.168953964479362,True
0.1,True,8,1.1474372454678392,1.1703893411993425,True
0.1,True,12,1.1598095400738093,1.1963519581405107,True
0.1,True,24,1.173806074863131,1.2596688000750615,True
0.3,False,1,1.026181082543827,1.0479241163137731,True
0.3,False,2,1.3018420884660922,1.3292659104394215,False
0.3,False,4,1.414257874396113,1.4459338366910897,False
0.3,False,8,1.4437064454962827,1.4726774530378703,False
0.3,False,12,1.4653608123244448,1.5115431763712837,False
0.3,False,24,1.4890119102433075,1.5979316229832676,False
0.6,False,1,1.026181082543827,1.0479241163137731,True
0.6,False,2,1.7682831511145183,1.805781480485558,False
0.6,False,4,2.1936272063405062,2.2432191532531913,False
0.6,False,8,2.3563218532471293,2.4040571151362253,False
0.6,False,12,2.4227841749440615,2.4992050637935885,False
0.6,False,24,2.4933208322636027,2.6757047251999158,False
1.0,False,1,1.026181082543827,1.0479241163137731,True
1.0,False,2,3.385895823063282,3.459176951238023,False
1.0,False,4,8.27423227709358,8.471294695466662,False
1.0,False,8,15.008341571226829,15.337172338123784,False
1.0,False,12,18.808695972816274,19.40636780051853,False
1.0,False,24,24.761565562128318,26.57284899744886,False
