Name	sigma	e_sigma	bSIE	Good
J0008-0004			1.16	No
J0029-0055	229	18	0.96	Yes
J0044+0113	266	13	0.79	Yes
J0109+1500	251	19	0.69	Yes
J0216-0813	333	23	1.16	Yes
J0330-0020	212	21	1.10	Yes
J0405-0455	160	8	0.80	Yes
J0728+3835	214	11	1.25	Yes
J0737+3216	338	17	1.00	Yes
J0822+2652	259	15	1.17	Yes
J0903+4116			1.29	No
J0912+0029	326	16	1.63	Yes
J0935-0003	396	35	0.87	Yes
J0946+1006	263	21	1.38	Yes
J0956+5100	334	17	1.33	Yes
J0959+0410	197	13	0.99	Yes
J0959+4416	244	19	0.96	Yes
J1016+3859	247	13	1.09	Yes
J1023+4230	242	15	1.41	Yes
J1100+5329			1.52	No
J1134+6027	239	12	1.10	Yes
J1142+1001	221	22	0.98	Yes
J1143-0144	269	13	1.68	Yes
J1153+4612	226	15	1.05	Yes
J1204+0358	267	17	1.31	Yes
J1205+4910	281	14	1.22	Yes
J1213+6708	292	15	1.42	Yes
J1218+0830	219	11	1.45	Yes
J1250+0523	252	14	1.13	Yes
J1402+6321	267	17	1.35	Yes
J1403+0006	213	17	0.83	Yes
J1420+6019	205	10	1.04	Yes
J1430+4105	322	32	1.52	Yes
J1436-0000	224	17	1.12	Yes
J1443+0304	209	11	0.81	Yes
J1451-0239	223	14	1.04	Yes
J1525+3327	264	26	1.31	Yes
J1538+5817	189	12	1.00	Yes
J1630+4520	276	16	1.78	Yes
J1636+4707	231	15	1.09	Yes
J2238-0754	198	11	1.27	Yes
J2300+0022	279	17	1.24	Yes
J2303+1422	255	16	1.62	Yes
J2321-0939	249	12	1.60	Yes
J2341+0000	207	13	1.44	Yes
