radius,newton_acceleration,attenuated_acceleration,ratio_to_newton,log_acceleration_slope,log_circular_speed_slope
0.01,10000.0,9900.49833749168,0.9900498337491681,-2.01,-0.505
0.1,99.99999999999999,90.48374180359593,0.9048374180359595,-2.1,-0.55
1,1.0,0.36787944117144233,0.36787944117144233,-3,-1.0
3,0.1111111111111111,0.005531896485318216,0.049787068367863944,-5,-2.0
10,0.01,4.5399929762484854e-07,4.5399929762484854e-05,-12,-5.5
