mean_tau,coverage,uniform_transmission,clumpy_transmission,ratio_to_uniform
0.1,0.1,0.9048374180359595,0.9367879441171443,1.035310792242143
0.1,0.25,0.9048374180359595,0.9175800115089099,1.0140827437271653
0.1,0.5,0.9048374180359595,0.9093653765389909,1.0050041680558035
0.1,1,0.9048374180359595,0.9048374180359595,1.0
1,0.1,0.36787944117144233,0.9000045399929762,2.4464659865935494
1,0.25,0.36787944117144233,0.7545789097221836,2.05115813843625
1,0.5,0.36787944117144233,0.5676676416183064,1.543080634815244
1,1,0.36787944117144233,0.36787944117144233,1.0
3,0.1,0.049787068367863944,0.9000000000000093,18.07698323086909
3,0.25,0.049787068367863944,0.7500015360530883,15.064183544841772
3,0.5,0.049787068367863944,0.5012393760883331,10.067661995777765
3,1,0.049787068367863944,0.049787068367863944,1.0
