tau,eta,forward_fraction,relays,passive,forward_after_n,one_step_balance_error,direct,forward,backward,retained,external_input
0,0,0,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.25,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.25,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.25,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.25,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.5,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.5,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.5,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,0.5,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,1,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,1,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,1,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0,1,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.25,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.25,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.25,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.25,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.5,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.5,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.5,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,0.5,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,1,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,1,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,1,10,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.25,1,100,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.5,0,1,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
0,0.5,0,2,True,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0
