order,radius,radial_field,exact,absolute_error
16,0.0,0.0,0.0,0.0
16,1.0,-5.204170427930421e-18,0.0,5.204170427930421e-18
16,3.0,-2.0414438015037284e-08,0.0,2.0414438015037284e-08
16,4.0,-0.00010836138618782257,0.0,0.00010836138618782257
16,6.0,-0.027571194936831394,-0.027777777777777776,0.00020658284094638227
16,10.0,-0.009999999989903004,-0.01,1.0096996155839477e-11
32,0.0,-1.6263032587282567e-19,0.0,1.6263032587282567e-19
32,1.0,-3.1170812458958252e-18,0.0,3.1170812458958252e-18
32,3.0,-2.379606928171185e-15,0.0,2.379606928171185e-15
32,4.0,-1.275920888292939e-07,0.0,1.275920888292939e-07
32,6.0,-0.02777688231709153,-0.027777777777777776,8.954606862468517e-07
32,10.0,-0.009999999999999998,-0.01,1.734723475976807e-18
64,0.0,-3.3881317890172014e-19,0.0,3.3881317890172014e-19
64,1.0,-1.1045309632196076e-18,0.0,1.1045309632196076e-18
64,3.0,-2.667137344314341e-17,0.0,2.667137344314341e-17
64,4.0,-1.162553126682342e-13,0.0,1.162553126682342e-13
64,6.0,-0.027777777766717512,-0.027777777777777776,1.1060263815920734e-11
64,10.0,-0.009999999999999998,-0.01,1.734723475976807e-18
128,0.0,5.539595475043124e-19,0.0,5.539595475043124e-19
128,1.0,-1.078594814374681e-16,0.0,1.078594814374681e-16
128,3.0,-8.024315803836779e-16,0.0,8.024315803836779e-16
128,4.0,-3.9125061697398156e-15,0.0,3.9125061697398156e-15
128,6.0,-0.02777777777777391,-0.027777777777777776,3.864963904476326e-15
128,10.0,-0.009999999999999919,-0.01,8.153200337090993e-17
