Target	Sigma	e_Sigma	bSIE
SDSSJ0143-1006	203	17	1.23
SDSSJ0159-0006	216	18	0.92
SDSSJ0324+0045	183	19	0.55
SDSSJ0753+3416	208	12	1.23
SDSSJ0754+1927	193	16	1.04
SDSSJ0757+1956	206	11	1.62
SDSSJ0826+5630	163	8	1.01
SDSSJ0847+2348	199	16	0.96
SDSSJ0851+0505	175	11	0.91
SDSSJ0955+3014	271	33	0.54
SDSSJ1010+3124	221	11	1.14
SDSSJ1040+3626	186	10	0.59
SDSSJ1041+0112	200	7	0.60
SDSSJ1051+4439	216	16	0.99
SDSSJ1056+4141	157	10	0.72
SDSSJ1116+0729	190	11	0.82
SDSSJ1127+2312	230	9	1.25
SDSSJ1137+1818	222	8	1.29
SDSSJ1142+2509	159	10	0.79
SDSSJ1213+2930	232	7	1.35
SDSSJ1330+1750	250	12	1.01
SDSSJ1403+3309	190	6	1.02
SDSSJ1430+6104	180	15	1.00
SDSSJ1433+2835	230	6	1.53
SDSSJ1541+3642	194	11	1.17
SDSSJ1543+2202	285	16	0.78
SDSSJ1553+3004	194	15	0.84
SDSSJ1607+2147	197	16	0.57
SDSSJ1633+1441	231	9	1.39
SDSSJ2309-0039	184	13	1.14
