name	normalized_identity	survey	z_lens	z_source	catalog_ra_deg	catalog_dec_deg	tractor_release	tractor_brickid	tractor_brickname	tractor_objid	tractor_type	tractor_ra_deg	tractor_dec_deg	center_separation_arcsec	reff_arcsec	reff_kpc	axis_ratio	sersic	z_luminosity_Lsun	r_minus_z	shape_signal_to_noise	spectrum_id	spectrum_redshift	spectrum_sn	max_fracflux_rz	max_fracmasked_rz	minimum_flux_signal_to_noise_rz
HSCJ015618.13-010747.2	J015618-010747	SUGOHI	5.420000000000e-01	1.167000000000e+00	2.907554000000e+01	-1.129770000000e+00	9010	323284	0291m012	2831	SER	2.907551542717e+01	-1.129748802154e+00	1.167962348072e-01	1.411796927452e+00	8.985773534292e+00	6.470861444011e-01	2.522800445557e+00	1.280376050925e+11	1.183948227271e+00	2.041042230927e+02	4765988548032876544	5.423200000000e-01	2.500000000000e+00	5.380869284272e-02	9.367301128805e-03	1.967090675746e+02
HSCJ020241.39-064611.2	J020241-064611	SUGOHI	5.020000000000e-01	2.748000000000e+00	3.067247000000e+01	-6.769790000000e+00	9010	291678	0307m067	162	REX	3.067249694567e+01	-6.769814017728e+00	1.294559611992e-01	6.364142298698e-01	3.893070681575e+00	1.000000000000e+00	1.000000000000e+00	9.203020193155e+10	9.838833971290e-01	2.518794744437e+02	4951812068779249664	5.019900000000e-01	3.330000000000e+00	1.329018827528e-02	2.918625250459e-03	2.487213264325e+02
HSCJ023817.77-054555.5	J023817-054555	SUGOHI	5.990000000000e-01	1.763000000000e+00	3.957402000000e+01	-5.765420000000e+00	9010	297443	0395m057	6056	REX	3.957403554966e+01	-5.765425486987e+00	5.920143048596e-02	6.513835787773e-01	4.351450664961e+00	1.000000000000e+00	1.000000000000e+00	1.557968645437e+11	1.060448298815e+00	3.596950650060e+02	4953076504886267904	5.992600000000e-01	3.390000000000e+00	1.357124838978e-02	2.560498891398e-03	2.961802919243e+02
HSCJ085855.99-010208.4	J085855-010208	SUGOHI	4.680000000000e-01	1.421000000000e+00	1.347333000000e+02	-1.035670000000e+00	9010	325146	1346m010	5695	REX	1.347332716879e+02	-1.035686178372e+00	1.174012961943e-01	8.560956120491e-01	5.040793493068e+00	1.000000000000e+00	1.000000000000e+00	1.149242103701e+11	1.048007967900e+00	2.279687510703e+02	4295332976513011712	4.674700000000e-01	4.060000000000e+00	1.904126489535e-03	7.511934265494e-03	1.268458359280e+02
HSCJ120256.86+003929.9	J120256+003929	SUGOHI	6.890000000000e-01	1.885000000000e+00	1.807369000000e+02	6.583000000000e-01	9010	335410	1806p007	6086	EXP	1.807369821238e+02	6.583558401215e-01	3.574884733362e-01	1.379458189011e+00	9.794717816936e+00	4.648526306626e-01	1.000000000000e+00	2.384306783026e+11	1.606317990076e+00	1.598333996391e+02	4328137177181736960	6.888600000000e-01	1.850000000000e+00	4.608198627830e-02	2.485123723745e-01	5.619710594868e+01
HSCJ120623.85+001507.2	J120623+001507	SUGOHI	5.630000000000e-01	3.120000000000e+00	1.815993700000e+02	2.519900000000e-01	9010	332534	1816p002	2225	SER	1.815993753923e+02	2.519780079147e-01	4.731724157832e-02	1.668152570724e+00	1.081947706535e+01	8.635756585566e-01	6.000000000000e+00	1.475001827015e+11	1.208014884250e+00	1.273504728541e+02	4329232290796556288	5.632100000000e-01	2.020000000000e+00	4.360485356301e-03	6.574580073357e-02	7.947255294201e+01
HSCJ121052.49-011905.2	J121052-011905	SUGOHI	7.000000000000e-01	2.295000000000e+00	1.827186900000e+02	-1.318100000000e+00	9010	323898	1826m012	5362	REX	1.827186352384e+02	-1.318136069255e+00	2.360265236148e-01	8.550497889519e-01	6.110089728719e+00	1.000000000000e+00	1.000000000000e+00	1.202697038820e+11	1.437227486170e+00	7.486616787618e+01	4329148453034938368	6.997700000000e-01	1.760000000000e+00	1.452754437923e-02	7.315519265831e-03	4.857336957482e+01
HSCJ140929.71-011410.7	J140929-011410	SUGOHI	5.840000000000e-01	2.302000000000e+00	2.123738100000e+02	-1.236310000000e+00	9010	324017	2123m012	2575	REX	2.123737247920e+02	-1.236354725921e+00	3.463754526947e-01	8.577292561531e-01	5.662114015610e+00	1.000000000000e+00	1.000000000000e+00	9.240633524063e+10	1.119432673285e+00	1.044695570855e+02	4543156022882357248	5.842400000000e-01	2.720000000000e+00	1.351475529373e-02	5.329963751137e-03	9.297488466375e+01
HSCJ141300.07-012608.2	J141300-012608	SUGOHI	7.490000000000e-01	2.666000000000e+00	2.132503000000e+02	-1.435600000000e+00	9010	322581	2133m015	41	EXP	2.132502755671e+02	-1.435554572772e+00	1.856659130226e-01	1.066707253456e+00	7.823762349981e+00	6.545064687015e-01	1.000000000000e+00	1.188928968153e+11	1.353076534622e+00	7.052877798757e+01	4543213197487001600	7.490400000000e-01	1.700000000000e+00	4.760525003076e-02	6.751773413271e-03	5.885262052360e+01
HSCJ141815.73+015832.3	J141815+015832	SUGOHI	5.560000000000e-01	2.139000000000e+00	2.145655600000e+02	1.975640000000e+00	9010	342746	2146p020	1628	DEV	2.145655295613e+02	1.975609786118e+00	1.543233594140e-01	1.552366256714e+00	1.000683190469e+01	8.578654800913e-01	4.000000000000e+00	1.477110609067e+11	1.150360178367e+00	7.908976303939e+01	4537408879815053312	5.559000000000e-01	2.800000000000e+00	2.063512988389e-02	6.671327352524e-02	9.158394332722e+01
