case,total_msun,relative_to_nominal,inclination_deg
nominal,2394479245.361471,1.0,53.8623309521001
registration_reverse,2394530418.2300744,1.0000213711890393,53.8623309521001
distance_low,1548615851.4314685,0.6467443200568185,53.8623309521001
distance_high,3423966558.259433,1.4299420489412302,53.8623309521001
intrinsic_flat,2398756259.931196,1.001786198221601,53.201688556849916
intrinsic_thicker,2382310052.810698,0.9949178124745299,55.792810390404526
pa_low,2394298002.720224,0.9999243081176843,53.8623309521001
pa_high,2394053052.494968,0.999822010206466,53.8623309521001
ellipticity_low,2400652037.1884747,1.002577926636433,52.90403668512272
ellipticity_high,2388488304.8306355,0.9974980194368186,54.810071128928676
pixels_one,2395193131.862265,1.000298138521007,53.8623309521001
pixels_two,2394411937.944827,0.9999718905825663,53.8623309521001
