kind	value	source
mangaid	1-107659	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-107761	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-109081	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-109234	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-109250	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-109270	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-109308	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-109378	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-113219	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-113315	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-113322	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-113520	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-113539	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-113668	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-114073	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-114121	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-114124	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-114128	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-114303	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-114532	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-114820	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-114919	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-114928	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-115062	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115066	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-115085	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-115097	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115128	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115162	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115212	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-115232	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115277	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115365	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115401	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-115437	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-116828	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-118166	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-118428	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-118496	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-121075	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121277	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-121330	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121334	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121413	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-121486	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-121546	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-121576	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121607	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121717	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
