plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
11025-9102	69.34252	1.018718	-63.12565	97.52847
11742-9101	255.4635	0.8654222	-175.3811	205.9698
11743-12704	77.29835	0.8941367	-129.4461	164.5212
11743-1901	102.9458	1.037384	-131.0208	124.3607
11744-3701	219.9809	0.9942273	-52.13999	68.64491
11746-3703	94.14818	0.994082	-194.8343	165.7718
11755-12704	110.3798	0.9308215	-186.6272	213.1921
11757-6101	213.4551	1.09309	-46.56787	125.9037
11757-6104	103.3937	0.9182197	-192.486	102.8444
11761-3701	128.2117	0.9936389	-14.57926	42.58171
11761-3702	261.3992	1.007391	5.441158	51.94287
11761-3703	81.77867	0.9660144	-86.96644	127.8813
11761-9102	320.0179	0.898807	-33.89569	94.63697
11823-12701	250.0037	0.9581829	-13.5628	36.86906
11823-12703	110.996	0.9722481	-174.064	174.629
11823-3704	219.2433	1.148116	-92.93375	152.0515
11823-6104	256.5238	0.9263748	-38.77792	74.12486
11824-6104	256.528	1.071626	-77.76423	153.1162
11827-12702	194.2352	0.92524	-11.74525	34.76017
11827-3702	308.522	0.9610791	-86.36823	157.3577
11827-6103	165.9054	0.9440311	-102.2578	11.97459
11827-9102	198.1829	0.9313297	-21.20032	28.25837
11830-6101	70.34235	0.9684874	-112.158	134.4094
11830-9102	157.8837	0.960999	-232.7106	281.5114
11833-1902	74.98215	1.127601	-30.28191	57.50299
11833-3701	172.9612	1.023328	-25.30091	112.7924
11833-6103	73.95097	0.9237517	-94.77174	92.85931
11833-9101	215.2219	0.8640589	-50.8461	97.19213
11834-12701	51.30736	0.9291043	-100.4627	121.7588
11834-12704	58.94667	0.8731023	-75.46207	93.78416
11834-6103	52.97672	0.9068627	-84.55897	84.6469
11835-3701	182.059	1.111591	-50.6823	72.22534
11863-12705	161.7737	0.9450919	-187.1534	173.9348
11863-6101	305.664	1.035281	-24.40026	33.58061
11863-9101	226.8881	0.8746765	-25.34218	62.91245
11868-1902	54.59882	0.9749599	-10.98489	58.63307
11868-3701	187.802	1.164704	-91.44497	117.8928
11868-3704	183.9955	1.131383	-29.63794	44.23374
11868-6101	55.77578	0.9655666	-67.39942	55.97052
11868-6104	68.41029	0.9157055	-111.0122	83.80329
11871-12702	70.98524	0.8641263	-51.37088	73.88282
11871-6104	-999	0.8999711	-51.50683	35.71753
11872-3704	162.8846	1.197889	-107.3468	120.6479
11941-12701	80.57059	0.9302984	-195.4041	189.639
11941-3702	277.368	0.9552332	-100.784	121.9302
11941-3703	121.4888	0.974547	-93.32671	101.6311
11941-6102	76.70612	0.9561188	-97.37854	103.9663
11941-9102	81.27725	0.8828157	-100.5209	157.8898
11942-12702	61.38193	0.8605366	-84.61441	80.48698
11942-12704	65.80872	0.9985357	-85.79418	31.1658
11942-12705	262.6682	0.8973413	-42.23871	88.27795
11942-9101	46.63857	0.8465758	-38.08727	94.48866
11943-12701	60.92443	0.9320776	-71.3196	83.80491
11943-12703	77.77818	1.212573	-75.44554	98.056
11943-3701	55.79699	1.061045	-38.22322	56.28592
11943-9102	233.7834	1.967579	-151.6467	311.6627
11944-12704	151.8344	0.8974418	-88.08953	96.89762
11944-3702	62.009	0.8541283	-103.752	70.31987
11944-3704	192.4107	0.9776689	-78.50172	150.2222
11945-3704	133.6499	0.9815518	-196.2252	94.48929
11952-1902	208.2888	1.38329	-115.4146	175.2769
11963-3702	181.7775	0.9836375	6.41626	37.09679
11963-3703	276.0716	1.028888	-27.78716	43.376
11975-12702	108.467	0.9047656	-40.21381	33.93822
11975-12703	49.66402	0.8931566	-17.78592	36.99014
11975-9102	184.017	0.9313269	-181.526	207.925
11977-1902	115.0899	0.9921747	-129.3846	137.7874
11977-3704	118.3048	1.152776	-89.95834	103.0546
11977-6104	197.9893	0.9432009	-61.53647	135.8328
11977-9101	52.58478	0.8721465	-71.67934	76.6525
11978-3703	203.5919	1.145655	-137.4379	132.7388
11978-6103	68.50925	1.201877	-7.095023	29.85798
11979-12701	246.2847	0.9501786	-17.57596	50.77762
