plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
8951-1902	55.96233	0.9438816	-42.74386	48.43171
8951-3703	129.3001	0.9333107	-59.02142	105.1433
8951-3704	46.72689	0.9052551	-46.43869	56.79951
8952-12702	205.2079	0.8779953	-250.1978	236.048
8952-9102	154.2662	0.8847979	-164.3585	201.2445
8977-12703	156.7758	0.9232294	-190.0727	195.6297
8977-3701	317.0862	1.259063	-116.2541	135.9607
8977-3703	241.2378	0.8984849	-45.61449	82.64279
8978-3703	152.6777	0.9925408	-104.0621	136.0032
8980-12702	229.4886	0.8848146	-16.31265	45.37902
8980-6101	213.5807	0.9738522	-24.63052	28.73424
8981-3701	201.255	1.045433	-159.8583	171.6151
8982-6103	173.8218	0.969497	-62.72866	43.25465
8983-1902	242.0724	1.345809	-86.95581	109.5673
8984-3702	42.63049	0.9043025	-26.00001	37.43114
8985-6103	49.4466	0.8702912	-86.0477	81.57261
8985-9101	128.3593	0.9982191	-87.32894	121.029
8986-12702	205.4984	0.8576511	-91.92085	157.7396
8986-1901	142.7772	1.014369	-143.837	193.2347
8989-12703	240.8771	0.9170689	-9.113401	48.54924
8989-12704	239.0322	0.9355721	-141.5623	152.7935
8990-12702	246.5886	0.8789636	-37.91222	68.99593
8990-3701	156.8584	1.068415	-63.35058	84.52107
8990-3702	227.046	1.358502	-223.5493	297.2037
8990-6101	230.3862	0.9769989	-13.77329	43.02705
8991-1902	143.1202	1.295091	-120.8336	136.0715
8991-3702	278.4172	0.9208862	-75.83916	77.4704
8992-1901	270.7647	1.106189	-30.03015	59.87321
8992-6102	116.499	1.102054	-159.4125	173.142
8996-3702	258.8074	1.016464	-220.466	211.6656
8996-3704	76.43362	1.258336	-72.01926	67.64339
8996-9101	59.04233	0.8568661	-68.28408	58.5374
8996-9102	103.2267	0.8897865	-147.3299	70.00462
8997-12705	118.372	1.982586	-20.31657	21.3369
9000-12704	197.6835	0.9632102	-11.99987	33.10668
9000-3702	200.8598	1.093064	4.490916	25.19208
9000-9101	219.4715	1.076591	-29.49063	42.64438
9001-3702	168.9748	0.9417687	-188.7163	222.9162
9002-6104	210.8657	1.064299	-60.92291	70.91913
9024-12703	173.8546	0.9585481	-27.92815	41.77604
9024-1901	222.6284	1.051509	-23.32095	55.4093
9024-3702	231.1761	1.003727	-76.67847	79.9207
9025-6101	228.0373	1.121412	-73.70789	139.0817
9025-6104	96.51673	0.8797783	-88.36191	118.8818
9026-12701	206.7595	0.9131254	-175.8881	206.4487
9026-12703	104.6128	0.8825289	-68.21815	32.06981
9026-1901	178.9072	1.453236	-174.6205	184.083
9026-9101	112.1701	0.9176794	-70.79671	62.11452
9028-1901	212.5552	1.514427	-41.76552	70.21107
9028-6102	295.8766	0.9408148	-3.361869	43.42269
9029-12704	93.07436	0.8640143	-138.9685	175.8755
9029-1901	45.92666	0.934231	-33.4507	37.25386
9029-3704	182.3556	1.14911	-179.8943	153.2997
9029-6102	60.28398	0.9092231	-82.29887	61.69606
9029-6103	64.75857	0.8990825	-93.28999	80.51099
9029-9101	128.6848	0.8994543	-78.27608	78.94561
9029-9102	231.5141	0.8658366	-19.16043	22.32816
9030-12703	189.0015	1.037034	-363.5461	75.67531
9030-3701	175.204	1.299804	-86.82019	87.74136
9030-3704	219.1684	1.646898	-174.9772	208.8379
9031-12701	42.86287	0.8781279	-76.32411	60.62421
9031-3704	172.9527	1.011141	-71.33247	112.7455
9032-12705	129.3644	0.8981735	-170.6205	191.7542
9032-3702	202.0093	0.8903937	-27.75639	77.0603
9032-9101	134.325	0.90884	-101.3884	182.8647
9033-12702	196.7472	0.9167703	-29.18391	25.12701
9034-1901	170.993	1.010049	-110.0643	60.46988
9035-12702	78.25241	0.9417286	-81.2841	73.07492
9035-6101	160.4351	0.9868472	-98.73526	66.4711
9035-6102	147.1655	1.060203	-126.8973	192.8744
9035-6104	40.37339	0.8875972	-58.19419	66.16822
9036-3703	175.9058	0.9767362	-62.24482	125.5838
9036-3704	184.8068	1.080805	-41.91767	58.3341
9036-6104	49.84806	0.9092263	-42.6384	58.19061
9037-6103	172.4689	0.9206445	-34.10993	77.37334
9038-12701	245.9189	0.9719875	-21.92938	258.8586
9038-12702	217.0818	0.9030592	-161.0069	227.5438
9038-1901	69.53577	0.9385084	-50.41594	54.17605
9038-1902	55.21161	0.9303582	-1.188074	22.21248
9039-12701	260.4861	1.041944	-125.2769	114.1072
9039-1902	273.5128	1.838638	-195.4044	234.0669
9039-3701	180.2194	0.9851121	-92.48255	130.5637
9039-3702	270.9935	1.138217	-1.569241	39.58533
9039-3704	170.7554	1.07278	-37.83694	66.4819
9040-12704	101.2522	0.9512365	-205.7563	203.7716
9040-3701	274.7855	0.9463871	-4.906168	54.98336
9040-6101	126.0304	0.9876462	-177.0745	197.6873
9040-6102	89.96854	0.9366925	-129.6673	138.4637
9040-6103	148.071	1.047149	-151.4088	205.7717
9041-12701	67.23121	0.9074927	-58.97659	68.68678
9041-12705	155.5537	0.9475273	-157.7453	233.3647
9041-1902	83.59903	1.321183	-91.80061	114.9508
9041-3701	238.8902	0.9758965	-7.6159	42.41859
9041-3704	131.8211	0.9295581	-220.138	236.0767
9041-6103	247.4872	0.9248881	-13.77073	49.28135
9041-9101	100.5915	0.9258609	-254.1522	129.0474
9042-12702	103.0158	0.9105101	-159.6398	167.9097
9042-3702	270.2853	0.9401826	-19.83707	50.99407
9043-12705	270.8953	1.143742	-104.4984	362.9746
9043-9102	255.0794	0.9097009	-24.05863	109.9177
9044-6103	185.0193	0.9793044	13.12907	42.60273
9045-3703	399.1599	1.360658	-510.2283	75.62013
9046-12703	209.2274	0.9778343	-561.27	467.5041
9046-1901	182.0411	1.563222	-160.2055	179.6187
9046-6102	198.421	0.8735049	-94.26607	187.4591
9046-9102	248.1477	1.00451	-38.02932	46.64336
9047-12701	213.1837	0.9317952	-5.895245	34.26365
9047-1902	153.7551	1.109681	-99.35925	100.209
9047-3702	185.4446	1.115226	-49.87647	67.8635
9047-6101	201.3315	0.9894679	-65.23487	85.81422
9047-6103	253.4153	1.084175	-15.03055	53.85347
9048-12702	54.70203	0.8403376	-93.64829	83.48459
9048-1901	127.2001	1.228316	-49.15473	57.71421
9048-3701	261.0742	0.9829084	-16.9996	56.14504
9048-3703	340.5319	0.910022	-53.91899	725.8439
9048-3704	235.0614	1.044423	3.510092	29.21655
9049-12704	85.82715	0.9133688	-78.47212	113.7063
9049-3701	80.32972	0.9677765	-103.8508	108.8434
9049-3703	293.1438	1.019705	-239.2049	275.6383
9050-12702	241.5424	0.8789028	-0.4750313	50.12365
9050-12704	165.2702	0.9097774	-171.5691	179.5857
9050-1901	262.8889	1.785332	-184.1107	245.4031
9050-6104	214.6489	0.9342315	-40.58605	34.78205
9086-12701	90.53832	0.9289696	-179.825	173.5894
9086-3702	39.6242	0.8934112	-47.9575	33.14988
9087-12702	48.05495	0.9116994	-53.40028	49.76873
9087-1902	72.07925	1.024357	-77.98408	69.21666
9087-3701	118.2407	1.145408	-72.92602	100.9579
9087-6102	267.8264	0.9825814	-636.422	-584.6175
9088-12701	107.5261	0.8948134	-193.2018	191.4245
9088-12702	111.5454	0.8813545	-75.02978	100.1667
9088-3701	153.0774	1.201207	-9.989496	21.61463
9088-3704	216.8731	1.299478	-2.457842	30.1552
9089-12703	261.106	0.9005823	-206.285	123.1321
9090-3701	113.9464	1.581217	-69.07265	128.1114
9090-3703	84.54588	0.9349118	-84.29325	119.3606
9090-6103	106.1275	0.9896009	-15.61076	34.85069
9091-12704	129.422	0.9416794	-270.5429	187.0442
9091-3702	221.903	1.049638	-29.17605	52.22103
9091-6104	75.88564	0.9245852	-163.1591	176.1256
9092-6103	256.5222	0.971964	-15.18373	52.17224
9092-9102	65.61819	0.91603	-132.9339	150.8961
9093-3701	173.987	1.186251	-125.6766	92.44931
9094-3701	87.40986	0.8735844	-35.86699	33.27779
9094-6102	262.5949	0.9871666	-51.43652	67.98483
9094-6103	274.8694	0.9351004	-33.10243	27.81386
9095-12702	135.6234	0.8815779	-211.6753	239.0655
9095-1902	92.27158	1.10552	-104.246	112.5742
9095-3702	47.82579	0.8924789	-29.86197	36.71116
9095-6101	46.34125	0.9127873	-57.66791	51.8355
9181-12702	262.6288	0.8969448	-61.03932	42.98726
9181-12703	204.707	0.9879014	-21.5894	53.20419
9181-3704	260.4261	1.056757	-27.29413	20.17239
9181-6101	183.8694	1.040257	-37.68272	23.13556
9181-6102	39.69139	0.9247963	-41.65367	29.07448
9181-9102	63.64076	0.9495629	-121.9134	120.4844
9182-3704	269.9664	1.025949	-68.64263	70.58885
9182-6101	108.6144	1.059329	-85.04185	88.01025
9184-6102	127.8534	0.9148418	-157.5682	171.9954
9185-12702	253.0499	0.9621471	-504.2948	152.1039
9185-9102	196.3318	0.9597576	-158.8304	148.5535
9186-6104	134.8939	1.154708	-112.0312	116.1862
9188-6102	128.3585	0.8899493	-238.9589	200.2927
9189-12702	234.7023	0.8982036	-44.62826	39.39259
9189-6101	278.665	1.149096	81.61911	174.1313
9191-3704	231.4823	1.029428	-37.89974	70.05379
9191-6103	303.6323	0.9352219	-7.061383	58.06389
9191-6104	206.6969	0.9820861	-75.32963	98.3829
9194-9102	255.5812	0.9172228	-4.211955	46.65604
9196-12703	123.6265	0.9017752	-126.5871	200.9885
9196-3702	166.6554	0.9731793	-92.64056	203.9831
9485-1901	100.823	1.348876	-58.00116	35.38848
9485-6102	251.2146	0.9332491	-21.9229	38.44869
9486-6101	187.3095	0.9629115	-43.11396	66.42708
9486-6103	244.7583	0.900928	-15.10443	42.29891
9487-12705	184.0864	0.9165891	-17.68898	38.76143
9487-1902	116.6208	1.163832	-96.74833	137.5804
9488-6104	245.0415	1.294993	-36.73469	50.83686
9490-12701	63.03283	0.923555	-52.61777	50.65025
9490-12703	59.45468	0.8597704	-107.0834	84.19333
9490-1901	126.8172	1.126002	-133.2516	124.0297
9490-9101	245.8896	0.9293939	-23.15717	19.75695
9491-12701	177.9292	0.9199983	-250.7801	304.7188
9491-12705	170.9044	0.9564213	-74.92004	56.85617
9491-3701	51.52949	0.9085199	-17.4459	21.0404
9491-9101	52.47855	0.8318979	-60.49471	99.48564
9492-12703	72.86534	0.8802263	-120.0384	95.69166
9492-1902	130.8182	1.446277	-25.1204	5.768584
9492-3703	152.6904	1.096214	-68.42481	83.69623
9494-6101	153.2398	1.052879	-17.41023	34.69845
9495-12702	45.8722	0.8449476	-53.52044	39.31456
9496-3704	199.8288	1.043125	-30.56662	44.78658
9497-1902	185.6733	1.432829	-152.8019	98.74438
9497-6101	292.9671	1.058098	-5.688532	63.26707
9498-3701	204.3401	1.02854	-129.6141	170.4313
9498-9102	171.9663	0.9554734	-114.8062	132.0808
9499-6103	217.7303	0.9758792	-96.46622	108.1662
9500-12705	215.7112	0.9899116	-239.1953	136.7609
9500-3701	132.966	1.080185	-160.3766	161.1043
9502-12702	50.39487	0.8699422	-26.58398	22.71033
9502-3702	174.029	1.020401	-90.21059	111.9209
9503-6103	200.0439	0.9478891	-86.63149	112.294
9504-12704	114.6115	0.8987554	-202.5482	203.232
9505-6103	244.6814	1.037979	-81.72655	107.2414
9506-12701	117.1622	0.9827594	-101.2294	74.91999
9506-3704	265.4495	1.035325	-24.68979	37.15381
9506-6103	309.1464	0.9581412	-10.36906	76.08116
9507-1901	237.0349	1.194374	-83.08474	97.17129
9508-12703	147.0364	0.9024592	-55.65535	81.94641
9510-6104	180.6795	1.023988	-44.51782	11.44689
9512-12701	66.74037	0.8766819	-160.0765	135.9718
9512-12702	228.128	0.9726351	-14.69069	40.98042
9512-3702	159.3637	1.027964	-132.5094	160.7513
9512-6102	159.082	0.9997458	-98.12968	115.8664
9862-1901	167.0565	1.110978	-49.83562	86.34409
9862-1902	184.9814	1.591296	-64.10931	110.7696
9862-3701	58.88283	0.9218737	-51.53482	51.80257
9862-3703	70.12627	1.104034	-47.98222	66.53593
9862-6102	59.91303	0.8866078	-30.22593	26.99905
9863-12703	49.29624	0.888878	-17.7356	30.56513
9863-1902	88.10505	0.9842657	-1.621523	25.14544
9863-3703	114.6927	1.196462	-118.9737	121.1865
9864-12701	218.1836	0.9068825	-34.16848	63.62962
9864-12702	255.532	0.8576837	-4.533461	33.67252
9864-1901	191.1814	1.178578	-90.16589	119.912
9864-3702	270.6931	1.058856	-2.628724	37.49088
9864-6103	89.2585	0.8950396	-115.0797	136.7288
9866-12703	62.71365	0.889933	-134.6201	135.2591
9867-12705	248.2434	0.9411648	-4.410499	50.64829
9867-6103	179.6498	0.9609937	-8.494803	12.61719
9868-3704	180.8301	1.150089	-16.2889	18.04776
9868-6102	116.3268	0.9273262	-124.7704	139.0562
9868-9102	111.1976	0.8631469	-170.6684	190.73
9869-12701	39.94778	0.8978732	-92.01794	77.31777
9869-3702	179.1271	0.9610891	-115.2873	144.7549
9869-6101	77.84508	0.9884642	-101.6607	91.57296
9869-9101	138.3847	0.8600733	-29.44085	52.55046
9869-9102	88.18768	0.9672847	-7.095411	33.32013
9870-9102	306.0289	0.9751287	-57.10151	35.49705
9873-1901	134.9525	1.133095	-7.798513	37.04649
9873-3701	36.95906	0.914781	-15.01309	32.71902
9873-3704	34.47148	0.9505073	-7.605649	10.42491
9873-6102	63.72404	0.9436263	-33.36469	50.02946
9874-12704	88.85271	0.9823512	-10.4039	24.98803
9874-3701	138.2068	1.070948	-52.06445	102.6804
9874-3702	127.6952	1.035923	-103.398	144.1364
9874-3703	106.6893	1.165589	-106.5607	146.3625
9874-3704	107.6295	1.122133	-64.13123	74.40667
9874-6103	32.02526	0.875098	-42.22771	19.06785
9874-6104	46.06614	0.9094507	-60.81951	61.66265
9874-9101	69.26431	0.8728633	-78.04447	108.6898
9875-12703	19.11417	0.9141638	-33.45502	38.03432
9875-12704	125.8401	0.9148204	-170.0263	119.9863
9875-1902	40.30515	0.898313	-11.39634	24.58718
9875-3702	120.1865	1.388133	-75.48397	60.48655
9875-9102	86.44753	1.04634	1.787909	18.14955
9876-12701	20.8306	0.9018207	-62.85501	-10.72611
9876-12702	68.60102	0.8417435	-83.30566	117.1469
9876-1902	57.54619	1.043312	-32.84115	51.31361
9876-3704	69.32272	0.9219769	-44.00441	57.33234
9877-12701	115.5136	1.167389	-64.0216	95.73024
9877-12702	57.44105	0.9308379	-54.25276	62.25695
9877-3702	52.22769	1.132355	-96.14636	96.89672
9877-3703	41.61082	0.9693458	-68.68754	80.02187
9877-6101	68.72003	1.134477	-64.11649	63.95836
9879-12701	146.294	1.001032	-118.1442	157.232
9879-12702	148.4164	0.8629962	-184.5262	221.4693
9879-12703	63.70541	0.9143426	-122.0788	129.8342
9879-6103	47.64916	0.9368486	-56.31746	74.91472
9880-12701	165.5183	0.9323957	-25.04789	13.36392
9880-12703	14.86308	1.399558	-45.69945	-16.41915
9880-1901	90.91713	1.062374	-28.45617	33.06439
9880-3704	42.90895	0.9227516	-49.94843	21.97586
9880-6101	51.53805	0.9892407	-73.16901	68.17277
9880-6104	55.10194	0.9673689	-40.88083	69.8478
9881-3701	205.1712	0.998454	-131.2954	143.2608
9882-12701	67.56457	0.9033878	-75.70313	68.87908
9882-3704	213.8006	1.337072	-115.0133	135.0907
9882-6101	23.19316	0.9362127	-76.1864	63.72324
9882-9102	135.2568	0.9887412	-47.23956	60.34331
9883-12704	88.04424	0.8975512	-38.17214	76.20415
9883-3702	318.4578	1.278127	-143.6962	173.1111
9884-12701	108.2028	0.9213337	-146.6882	186.3839
9884-3703	170.2536	1.31051	-45.21846	41.32888
9885-3703	127.0348	1.013769	-138.8891	138.1631
9885-6104	112.9953	0.9828922	-183.7417	199.0613
9886-1901	139.1169	0.9833182	-87.11969	118.6466
9887-3704	127.8925	1.323657	-19.7438	26.73955
9887-6104	168.7492	0.9311364	-158.4822	-50.44491
9888-12703	298.6212	0.919324	-15.38852	67.104
9888-3703	237.9981	1.015518	-14.89296	53.48676
9889-3701	278.8711	0.9466298	-26.27729	50.42288
9889-3704	147.3313	1.214473	-118.3194	159.2922
9890-12704	117.6094	0.9871821	-181.0843	172.0555
9890-3703	244.3148	1.289554	-76.38708	134.2202
9890-6104	198.6565	0.9960659	-155.3089	144.4232
9891-3701	216.9802	0.920132	-24.74255	29.04045
9891-3704	316.589	1.392449	-173.7511	223.842
9892-12704	86.94551	0.8873963	-72.59502	79.42039
9892-12705	46.92813	0.8561144	-70.02322	81.00425
9892-1901	128.8114	1.150399	-107.4001	134.8851
