axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	dimensionless_potential	log_dimensionless_potential	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	gema_zcomp_1mpc_percent	gema_zcomp_5mpc_percent	gema_footprint_1mpc	gema_footprint_5mpc	gema_nneigh	gema_q_nn	gema_dnn_mpc	gema_q_lss	gema_eta_k	gema_dkn_mpc
4.170130000000e-01	1.403898000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.759842681885e+01	1.239013000000e+00	0.000000000000e+00	4.328000000000e-01	2.767964000000e+01	4.394433000000e+00	6.073949000000e+00	4.756413000000e+00	7.131821433398e-01	9.894098126747e-01	-1.045898085372e+01	9.428999281013e+00	-5.811032054398e-01	8.002634994334e+00	1-48157	-3.644726425497e+00	10001-12701	1.333710937500e+02	3.920740000000e-02	7.418450000000e-01	9.332939000000e-02	1.880331000000e-01	9.759101000000e+00	9.860671259322e+02	2.685339999997e+09	5.166330000000e+00	2.487345340755e-08	-7.604263913495e+00	1.402312495195e-11	4.649050264362e+06	6.667364241691e+00	7.272699737549e+01	4.246599960327e+01	1	1	31	-1.970431900000e+00	6.510600000000e-02	-1.930844900000e+00	2.662531000000e-01	8.027361000000e-01
5.981150000000e-01	1.593898000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.748025131226e+01	1.398720000000e+00	0.000000000000e+00	6.057000000000e-01	1.062181000000e+01	3.653356000000e+00	4.023711000000e+00	2.151442000000e+00	8.459106508221e-01	4.272882295778e-01	-1.113356760247e+01	9.666748170494e+00	-1.125631264343e+00	7.974926868850e+00	1-48188	-3.564508109014e+00	10001-12702	1.336856689453e+02	4.081080000000e-02	1.442720000000e+00	3.413348000000e-02	8.736584000000e-02	2.674781000000e+00	4.800583051744e+02	4.642460000001e+09	7.013110000000e+00	3.167790620004e-08	-7.499243531496e+00	1.315638816279e-11	3.213124907624e+06	6.506927608725e+00	5.625000000000e+01	4.230799865723e+01	1	1	34	-3.291644300000e+00	4.067867000000e-01	-2.275518700000e+00	6.555584000000e-01	5.953939000000e-01
9.079660000000e-01	2.167598000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.714372634888e+01	1.926413000000e+00	0.000000000000e+00	7.468000000000e-01	1.068307000000e-01	2.090538000000e+00	-1.768264000000e+00	-5.036005000000e+00	2.156983551210e-01	1.179018936650e+00	-1.316741120158e+01	9.712998848472e+00	-3.462604761027e-01	9.281602138230e+00	1-48111	-4.532951891554e+00	10001-3701	1.324656524658e+02	3.941910000000e-02	5.956300000000e+00	3.512268000000e-04	3.441333000000e-03	1.510146000000e+01	8.595707835122e+02	5.164150000004e+09	1.643230000000e+00	1.503901672043e-07	-6.822780557817e+00	2.665704147540e-10	2.778530534532e+08	8.443815173807e+00	8.750000000000e+01	4.754100036621e+01	1	1	30	-1.298414300000e+00	5.911890000000e-02	-1.184703200000e+00	1.972902300000e+00	2.166156000000e-01
7.733880000000e-01	2.148197000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.372845840454e+01	1.950128000000e+00	0.000000000000e+00	7.572000000000e-01	3.881443000000e-01	2.100770000000e+00	-1.000682000000e+00	-5.631553000000e+00	6.994656856542e-01	1.386421048286e-01	-1.241382792170e+01	1.107702615009e+01	-1.058657647165e+00	9.678094778780e+00	1-72673	-4.489314546563e+00	10213-12701	1.241299514771e+02	1.423330000000e-01	6.000000000000e+00	4.604667000000e-02	1.144012000000e-01	1.376075000000e+00	3.303773329811e+03	1.194060000005e+11	5.005710000000e+00	1.141509192716e-06	-5.942520586732e+00	6.642087434831e-10	2.272691479906e+08	8.356540483825e+00	8.000000000000e+01	8.636399841309e+01	1	1	22	-6.168402000000e-01	1.840297000000e-01	-2.983292000000e-01	-2.021520000000e-01	1.150026400000e+00
6.526230000000e-01	2.125793000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.288066864014e+01	1.970197000000e+00	0.000000000000e+00	8.091000000000e-01	2.869811000000e-01	2.258216000000e+00	-8.076546000000e-01	-5.157494000000e+00	9.679596120518e-01	3.013755565566e-01	-1.255446652771e+01	1.103791231718e+01	-9.345431598187e-01	9.101993093079e+00	1-72607	-4.067016740514e+00	10213-12704	1.244855194092e+02	7.991800000000e-02	6.000000000000e+00	3.044008000000e-02	6.245289000000e-02	2.001592000000e+00	3.233648790057e+03	1.091219999994e+11	9.288800000001e+00	5.621751623185e-07	-6.250128346040e+00	1.762799434599e-10	3.250460342191e+07	7.511944871722e+00	1.000000000000e+02	4.666699981689e+01	1	1	7	-1.855668300000e+00	2.863787000000e-01	-1.839269500000e+00	-1.339266900000e+00	2.752619300000e+00
9.420600000000e-01	2.207843000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.375402069092e+01	1.997314000000e+00	0.000000000000e+00	8.535000000000e-01	-3.304851000000e-01	2.047845000000e+00	-1.465443000000e+00	-5.048760000000e+00	7.445824163103e-01	3.162981455205e-01	-1.308156838293e+01	1.123746833325e+01	-9.583957465267e-01	9.748303500629e+00	1-72719	-4.501860542159e+00	10213-3704	1.234348526001e+02	1.268280000000e-01	6.000000000000e+00	1.431858000000e-02	2.179818000000e-02	2.071563000000e+00	1.535449724591e+03	1.727700000002e+11	5.553700000000e+00	1.488692038487e-06	-5.827195134228e+00	7.807523679784e-10	2.407866890714e+08	8.381632475017e+00	3.333300018311e+01	5.000000000000e+01	1	1	5	-3.310571000000e+00	1.012623400000e+00	-2.657905800000e+00	-1.942644400000e+00	4.373931400000e+00
6.915130000000e-01	2.190313000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.240551757812e+01	1.993348000000e+00	0.000000000000e+00	7.289000000000e-01	2.275055000000e-01	2.073838000000e+00	-1.921433000000e+00	-5.707070000000e+00	7.322159844044e-01	9.403937993359e-01	-1.274494715370e+01	1.091302929558e+01	-3.816562650912e-01	9.448597326770e+00	1-72562	-4.358190671183e+00	10213-6104	1.225747604370e+02	6.425660000000e-02	3.752590000000e+00	1.472591000000e-02	2.901709000000e-02	8.717537000000e+00	5.315895366782e+02	8.185200000023e+10	5.397790000000e+00	7.256584553408e-07	-6.139267739992e+00	3.915679489502e-10	1.242489516504e+08	8.094292733064e+00	6.428600311279e+01	5.941999816895e+01	1	1	42	-3.445569000000e+00	4.148291000000e-01	-2.424003400000e+00	6.030662000000e-01	6.198716000000e-01
8.857020000000e-01	2.155480000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.453821563721e+01	1.984230000000e+00	0.000000000000e+00	7.026000000000e-01	6.865835000000e-02	1.946867000000e+00	-1.718923000000e+00	-5.501667000000e+00	6.353419747838e-01	6.326126588031e-01	-1.292759792228e+01	1.079608148325e+01	-6.758585589298e-01	9.525397533680e+00	1-548430	-4.445027779448e+00	10214-12702	1.220566253662e+02	8.310620000000e-02	4.927550000000e+00	7.387263000000e-03	2.974671000000e-02	4.291535000000e+00	9.243338475825e+02	6.252900000040e+10	4.318590000000e+00	6.928806887506e-07	-6.159341542702e+00	4.673124409879e-10	1.853390572491e+08	8.267966949596e+00	5.000000000000e+01	6.447399902344e+01	1	1	50	-1.054449600000e+00	8.479020000000e-02	-1.048764600000e+00	-6.054057000000e-01	1.567204700000e+00
8.030380000000e-01	2.241518000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.527526855469e+01	2.054874000000e+00	0.000000000000e+00	7.595000000000e-01	1.693459000000e-01	2.043152000000e+00	-1.571433000000e+00	-5.727354000000e+00	9.241205327570e-01	5.058864327119e-01	-1.321068239950e+01	1.118985230880e+01	-8.113515788865e-01	9.341611243290e+00	1-605051	-4.208745355267e+00	10214-12704	1.225354919434e+02	8.399090000000e-02	6.000000000000e+00	9.531690000000e-03	2.289638000000e-02	3.205431000000e+00	2.504530969261e+03	1.548289999985e+11	8.396929999999e+00	8.823699815496e-07	-6.054349275125e+00	3.060702038292e-10	6.243126017106e+07	7.795402101227e+00	7.142900085449e+01	6.261700057983e+01	1	1	67	-3.567799000000e-01	1.248777000000e-01	-3.405608000000e-01	5.324770000000e-01	6.543822000000e-01
6.001110000000e-01	2.516057000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.472472381592e+01	2.277083000000e+00	0.000000000000e+00	7.192000000000e-01	2.581030000000e-01	2.414736000000e+00	-8.770239000000e-01	-4.984187000000e+00	1.203141719112e+00	-2.440551295103e-01	-1.268458003647e+01	1.095651035079e+01	-1.356466789096e+00	8.550226912565e+00	1-548428	-3.673542596726e+00	10214-12705	1.222768859863e+02	8.286470000000e-02	6.000000000000e+00	1.870382000000e-02	2.970216000000e-02	5.700919000000e-01	1.007271823411e+03	9.047120000022e+10	1.596400000000e+01	2.711986857094e-07	-6.566712419490e+00	4.948080107026e-11	5.308802686917e+06	6.724996584152e+00	4.000000000000e+01	6.931800079346e+01	1	1	64	1.882087200000e+00	3.201540000000e-02	1.909013600000e+00	1.556848000000e-01	8.738339000000e-01
