ra_deg	dec_deg	source	identity
1.416666666667e-02	2.308750000000e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
1.186600000000e-01	1.722030000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2561
2.441000000000e-01	-3.361190000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3319
3.915416666667e-01	1.508160000000e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J000133.95+150453.6
4.887000000000e-01	-2.799930000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3501
4.912500000000e-01	-1.546389000000e+01	item12_legacy_predecessor_coordinate_union	legacy-174
4.923000000000e-01	-1.546090000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5724
5.615416666667e-01	1.448780000000e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J000214.77+142916.0
6.445833333333e-01	-3.710277777778e+00	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
6.691666666667e-01	8.773611111111e+00	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
6.841700000000e-01	-8.034639000000e+01	item12_legacy_predecessor_coordinate_union	legacy-176
7.641666666667e-01	7.931388888889e+00	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC103598
7.734583333333e-01	-1.913797222222e+00	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	UGC00005
8.120000000000e-01	1.614540000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5035
8.122800000000e-01	1.614523000000e+01	item12_legacy_predecessor_coordinate_union	legacy-94
8.350000000000e-01	2.979722222222e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC12
8.959000000000e-01	2.320080000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5070
9.296600000000e-01	1.521798000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2279
9.411000000000e-01	7.461700000000e+00	VizieR VII/26D/catalog	UGC00016
9.649000000000e-01	-5.076690000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5416
9.654166666667e-01	1.099111111111e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
9.954100000000e-01	2.075234000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2157
1.005200000000e+00	-5.139410000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2999
1.058300000000e+00	-5.122350000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5417
1.102300000000e+00	3.147210000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5036
1.272375000000e+00	-7.093397222222e+00	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	IC1528
1.307791666667e+00	6.772000000000e+00	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	UGC00036
1.370900000000e+00	-5.027030000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3001
1.371900000000e+00	-4.962030000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3000
1.483700000000e+00	2.249260000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5071
1.535833333333e+00	2.408055555556e+00	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC104217
1.593300000000e+00	-5.016750000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5418
1.698750000000e+00	4.936944444444e+00	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
1.723900000000e+00	-5.043620000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5419
1.798750000000e+00	1.376638888889e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
1.816083333333e+00	2.770810000000e+01	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	NGC0001
1.831400000000e+00	3.260930000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5037
1.933333330000e+00	4.087555556000e+01	item12_legacy_predecessor_coordinate_union	legacy-6133
1.933333330000e+00	4.087555556000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	UGC00064
2.012333333333e+00	-6.894444444444e-02	runs/gravity/roadmap/item-17-slacs-running-strength-v1-source/sample-manifest.json	000802.96-000408.2
2.055416670000e+00	-3.457833333000e+01	item12_legacy_predecessor_coordinate_union	legacy-5869
2.055416670000e+00	-3.457833333000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	ESO349-031
2.099583333333e+00	3.302833333333e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
2.138333333333e+00	-3.385805555556e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
2.143900000000e+00	-3.385830000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4505
2.168333333333e+00	1.400925555556e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J000840.40+140033.3
2.191400000000e+00	4.611500000000e+00	VizieR VII/26D/catalog	UGC00074
2.193450000000e+00	1.581570000000e+01	item12_legacy_predecessor_coordinate_union	legacy-520
2.193450000000e+00	1.581570000000e+01	item12_legacy_predecessor_coordinate_union	legacy-521
2.264300000000e+00	-3.291410000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3320
2.470000000000e+00	-6.437210000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4198
2.472500000000e+00	2.592388900000e+01	runs/gravity/roadmap/item-28-periodic-gravity-v1-source/sample-manifest.json	UGC 89
2.472920000000e+00	-6.437139000000e+01	item12_legacy_predecessor_coordinate_union	legacy-413
2.485000000000e+00	-2.496333333000e+01	item12_legacy_predecessor_coordinate_union	legacy-5903
