R_mean	sigma_z_cold	sigma_z_hot	BIC_2comp	chi2red_2comp	sigma_z_1comp	BIC_1comp	chi2red_1comp
54	26.6 +- 4.9	65.3 +- 12.1	17164	1.225	39.7 +- 6.3	17283	1.410
98	19.3 +- 3.6	64.6 +- 12.2	17351	1.231	29.3 +- 4.7	17462	1.380
