R	sigma_z_hot	Sigma_T	Sigma_C_gas	LC_over_LD	F_C	Sigma_D	Sigma_C_star	Upsilon_B	Upsilon_V	Upsilon_I	Upsilon_3.6um
1.6	65.3	420 +- 152	25.5 +- 4	52/48	0.18	334.32	60.17	2.48 +- 0.9	2.36 +- 0.85	1.31 +- 0.47	0.48 +- 0.17
2.9	64.6	411 +- 157	17.7 +- 4	46/54	0.14	345.0	48.3	3.61 +- 1.2	3.61 +- 1.2	2.07 +- 0.69	0.72 +- 0.24
4.3	32.0	101 +- 31	14.3 +- 5	49/51	0.16	74.74	11.95	1.1 +- 0.34	1.1 +- 0.34	0.73 +- 0.23	0.26 +- 0.12
7.2	20.9	43 +- 16	8.3 +- 4	49/51	0.16	29.91	4.78	0.91 +- 0.34	1.12 +- 0.41	0.74 +- 0.28	0.29 +- 0.12
9.9	14.8	21.5 +- 19	5.2 +- 5	49/51	0.16	14.05	2.24	--	--	--	0.47 +- 0.4
