R_mean	sigma_z_cold	sigma_z_hot	BIC_2comp	sigma_z_1comp	BIC_1comp
144	<= 12.1 +- 2.3	32.0 +- 6.4	1236	26.5 +- 1.7	1251
242	<= 12.9 +- 3.3	20.9 +- 4.1	1076	18.6 +- 1.2	1090
335	<= 12.3 +- 3.5	14.8 +- 5.9	1062	14.5 +- 1.0	1055
