Galaxy	Filter	mu_0	h_z	h_R	sigma_z_0	Sigma_0	Upsilon_0	dlog_Upsilon_hz_dr
IC 342	I	19.60 +- 0.20	500	4.24	41 +- 6	146 +- 45	0.25 +- 0.10	0
M74	R	20.20 +- 0.05	400	3.17	53 +- 5	305^+65_-48	1.4 +- 0.3	0
M83	R	19.07 +- 0.05	400	4.0	73	578	1.0 +- 0.5	0
M83	...	...	1200	10	40	...	...	0.16
M94	R	18.88 +- 0.05	300	1.22	91 +- 15	1200^+460_-370	1.8 +- 0.4	0
M94	R	22.69 +- 0.10	900	13.2	29 +- 5	41 +- 15	2.0 +- 0.4	0
M101	R	20.29 +- 0.10	600	24.8	38^+8_-4	100^+50_-20	0.6 +- 0.3	0.07
