Galaxy	hz_deGrijs98	hz_Kregel02	hz_BM02	hz_initial_range	hz_stability_limit	hz_rotcurve_limit	hz_final_range
IC 342	505	424	565	400-600	>300	>100	400-600
M74	369	327	423	300-500	>300	>170	300-500
M83	285	377	402	200-500	>300	>200	300-500
M94	277	186	218	100-300	>300	>200	300-400
M101	623	523	697	500-700	>300	>60	500-700
