Galaxy	Type	i	Distance	h_R	mu_0	E_BV	v_max	N_PN_velocities	survey_region
IC 342	Scd	31	3.5 +- 0.3	4.24	19.60	0.558	200	99	4.8
M74	Sc	6.5	8.6 +- 0.3	3.17	20.20	0.070	170	102	4.8
M83	SBc	24	4.8 +- 0.1	2.45	19.07	0.066	255	162	18
M94	Sab	41	4.4^+0.1_-0.2	1.22	18.88	0.018	200	127	5.8
M101	Scd	17	7.3 +- 0.5	4.99	20.29	0.009	250	60	8
