fold,dy,dx,pairs,product
0,0,0,576,0.9594159764944235
0,0,1,552,0.7815893874365064
0,0,2,528,0.4438179859988362
0,0,3,504,0.21890575069192283
0,0,4,480,0.1303725844276076
0,0,5,456,0.09183444936804197
0,0,6,432,0.06054753442397573
0,0,7,408,0.028214907779525223
0,0,8,384,0.011398162474997225
0,0,9,360,0.01286228131321133
0,0,10,336,0.010211556150692528
0,0,11,312,0.0011241957698706756
0,0,12,288,-0.0043034251364664515
0,1,-12,276,-0.004244231295682667
0,1,-11,299,-0.0009368660860822339
0,1,-10,322,0.006372161762159612
0,1,-9,345,0.007949810578860163
0,1,-8,368,0.006325518823332586
0,1,-7,391,0.025950999744330055
0,1,-6,414,0.06521071502746906
0,1,-5,437,0.10097164552995637
0,1,-4,460,0.1375813024282148
0,1,-3,483,0.21450315912964327
0,1,-2,506,0.3952395359210908
0,1,-1,529,0.6523183875849917
0,1,0,552,0.7742524190093101
0,1,1,529,0.620043331360242
0,1,2,506,0.35244450399464644
0,1,3,483,0.18057206661301595
0,1,4,460,0.11165081094217788
0,1,5,437,0.0774989389818668
0,1,6,414,0.05127917336648429
0,1,7,391,0.027171209730146608
0,1,8,368,0.015183936890355222
0,1,9,345,0.016200535206362582
0,1,10,322,0.012348104140657979
0,1,11,299,0.00238184331022603
0,1,12,276,-0.0042345356047637115
0,2,-12,264,-0.00466307249622665
0,2,-11,286,-0.002737892554326018
0,2,-10,308,0.0033017399902805222
0,2,-9,330,0.005144213348880324
0,2,-8,352,0.004724061250239972
0,2,-7,374,0.023591711066479993
0,2,-6,396,0.06281849656410118
0,2,-5,418,0.09708024712850322
0,2,-4,440,0.12346918497324051
0,2,-3,462,0.1686896909341612
0,2,-2,484,0.26025823832118355
0,2,-1,506,0.3767260123773765
0,2,0,528,0.42273488405342885
0,2,1,506,0.3439428600876428
0,2,2,484,0.21897913783472328
0,2,3,462,0.13551805072636308
0,2,4,440,0.09110207642127464
0,2,5,418,0.060953395553195205
0,2,6,396,0.03867058417124915
0,2,7,374,0.021793061822671062
0,2,8,352,0.015097490183431593
0,2,9,330,0.015866054742747635
0,2,10,308,0.011675380910543367
0,2,11,286,0.003039406845625527
0,2,12,264,-0.002653127570003469
0,3,-12,252,-0.002705594300849388
0,3,-11,273,-0.0009036469022021144
0,3,-10,294,0.0048663541471312246
0,3,-9,315,0.008118649625485074
0,3,-8,336,0.009298913420896114
0,3,-7,357,0.02344170592555496
0,3,-6,378,0.05467688253863236
0,3,-5,399,0.08250708498813021
0,3,-4,420,0.09831263924122353
0,3,-3,441,0.11780003014663712
0,3,-2,462,0.14986252199235986
0,3,-1,483,0.181443742135652
0,3,0,504,0.19015310274700228
0,3,1,483,0.16875084621747066
0,3,2,462,0.13274928521161083
0,3,3,441,0.09588793746544146
0,3,4,420,0.06265603620949799
0,3,5,399,0.03793577143601854
0,3,6,378,0.022046224707195732
0,3,7,357,0.013241085502505582
0,3,8,336,0.012708394839151128
0,3,9,315,0.014288251497184006
0,3,10,294,0.01061015122469057
0,3,11,273,0.004465794947094251
0,3,12,252,0.0007003875201743675
0,4,-12,240,0.0015087178927419094
0,4,-11,260,0.002823427475959946
0,4,-10,280,0.009015839880449496
0,4,-9,300,0.014226867290606909
0,4,-8,320,0.016140482301727335
0,4,-7,340,0.023934827992618275
0,4,-6,360,0.044210137040463636
0,4,-5,380,0.06482746248152382
0,4,-4,400,0.07508066415275072
0,4,-3,420,0.0811949166020838
0,4,-2,440,0.08879381922430554
0,4,-1,460,0.09500174930009185
0,4,0,480,0.09783850985010478
0,4,1,460,0.09481437598620882
0,4,2,440,0.08120367024483124
0,4,3,420,0.05690284092063727
0,4,4,400,0.0329832309556936
0,4,5,380,0.017920759126512566
0,4,6,360,0.009892821925509238
0,4,7,340,0.008142162621003191
0,4,8,320,0.012329062969469697
0,4,9,300,0.014968745067363941
0,4,10,280,0.012337228289926767
0,4,11,260,0.008613292497722521
0,4,12,240,0.006159433067685455
0,5,-12,228,0.0041520592008901114
0,5,-11,247,0.0035929899682653646
0,5,-10,266,0.010009572764053213
0,5,-9,285,0.01709918739576563
0,5,-8,304,0.01910389128329127
0,5,-7,323,0.022072534401825963
0,5,-6,342,0.03366948279020512
0,5,-5,361,0.04780837183367243
0,5,-4,380,0.05566291511943125
0,5,-3,399,0.05747873741956939
0,5,-2,418,0.056656931789313345
0,5,-1,437,0.05622727113322242
0,5,0,456,0.05706702511242992
0,5,1,437,0.05383393357032536
0,5,2,418,0.043546573021033486
0,5,3,399,0.029112017541735778
0,5,4,380,0.01755844452719804
0,5,5,361,0.011172810744222323
0,5,6,342,0.007790954552915254
0,5,7,323,0.008130736139002314
0,5,8,304,0.012008057112114737
0,5,9,285,0.014304726248986233
0,5,10,266,0.013867195998451192
0,5,11,247,0.01339158806002201
0,5,12,228,0.011639945193310785
0,6,-12,216,0.004326147797990064
0,6,-11,234,0.001820873792996242
0,6,-10,252,0.006742200155010277
0,6,-9,270,0.0137480086492665
0,6,-8,288,0.01552943227758761
0,6,-7,306,0.016139399434728207
0,6,-6,324,0.022959337795961834
0,6,-5,342,0.032599919806518274
0,6,-4,360,0.03918689242056579
0,6,-3,378,0.04262957003924378
0,6,-2,396,0.04340918083492736
0,6,-1,414,0.04198362643850599
0,6,0,432,0.03892079983814681
0,6,1,414,0.03217240078077928
0,6,2,396,0.023635031129851998
0,6,3,378,0.016582293134495878
0,6,4,360,0.012578922475228474
0,6,5,342,0.010045406196531688
0,6,6,324,0.00729753878758833
0,6,7,306,0.00540492647909013
0,6,8,288,0.005690752576336663
0,6,9,270,0.0078442530498607
0,6,10,252,0.01214571987133295
0,6,11,234,0.016431424685371423
0,6,12,216,0.015052241569845805
0,7,-12,204,0.0026493175121149785
0,7,-11,221,-0.00023916151824577406
0,7,-10,238,0.0019836792010253347
0,7,-9,255,0.00620352571045015
0,7,-8,272,0.007153641637961047
0,7,-7,289,0.006959711435150895
0,7,-6,306,0.011304945621201748
0,7,-5,323,0.018688408873832593
0,7,-4,340,0.024622964343965163
0,7,-3,357,0.029661504861219573
0,7,-2,374,0.033850338307322
0,7,-1,391,0.03373182105475657
0,7,0,408,0.028484546179409608
0,7,1,391,0.020452119201742266
0,7,2,374,0.013140765073647613
0,7,3,357,0.008940411106992063
0,7,4,340,0.007933349282552519
0,7,5,323,0.006426005273567414
0,7,6,306,0.002462781843489977
0,7,7,289,-0.0014439502739233207
0,7,8,272,-0.002251657241708426
0,7,9,255,0.0024566255478807716
0,7,10,238,0.01211037845734292
0,7,11,221,0.019139289880160223
0,7,12,204,0.016713443678565205
0,8,-12,192,-0.00027559389938193495
0,8,-11,208,-0.002704071689568365
0,8,-10,224,-0.002308351659185584
0,8,-9,240,-0.0015992206908181233
0,8,-8,256,-0.002185987424221
0,8,-7,272,-0.0021262722579272835
0,8,-6,288,0.0010964968677887946
0,8,-5,304,0.00665921050844348
0,8,-4,320,0.011332006652822203
0,8,-3,336,0.015492261472829578
0,8,-2,352,0.01980900109100391
0,8,-1,368,0.020060935084029584
0,8,0,384,0.015089094296028177
0,8,1,368,0.009517004730512363
0,8,2,352,0.005362564261128936
0,8,3,336,0.0034628013406771095
0,8,4,320,0.003674736149437222
0,8,5,304,0.001614046224899683
0,8,6,288,-0.0032364315265714055
0,8,7,272,-0.0057952465708879354
0,8,8,256,-0.003431867046698598
0,8,9,240,0.004731979552740988
0,8,10,224,0.0155541602525759
0,8,11,208,0.01960097756604367
0,8,12,192,0.014536027020463742
0,9,-12,180,-0.002015507001747581
0,9,-11,195,-0.005057447339487606
0,9,-10,210,-0.005870037639668053
0,9,-9,225,-0.007175198100146267
0,9,-8,240,-0.00909783611435846
0,9,-7,255,-0.008394997415705093
0,9,-6,270,-0.005059678369526245
0,9,-5,285,-0.0015189820879709915
0,9,-4,300,0.0007592688062318614
0,9,-3,315,0.003456744636435106
0,9,-2,330,0.0074558979273934385
0,9,-1,345,0.008540455841198178
0,9,0,360,0.005343388070952557
0,9,1,345,0.0026945563218664505
0,9,2,330,0.0011058404563978584
0,9,3,315,0.00028222212165728575
0,9,4,300,0.0001587247951416327
0,9,5,285,-0.0021096268986529557
0,9,6,270,-0.005358456274872584
0,9,7,255,-0.004698153562680761
