model,selected,side,q,trace_ratio,q_pass
cap4_floor1e-06,True,1,0.9935761435150714,1.0167141488153222,True
cap4_floor1e-06,True,2,1.033287358148415,1.0572559032021547,True
cap4_floor1e-06,True,4,1.0423715904529873,1.067998366141289,True
cap4_floor1e-06,True,8,1.0514897459412549,1.0749258808704143,True
cap4_floor1e-06,True,12,1.0078071088302623,1.0401065580104307,True
cap4_floor1e-06,True,24,0.9248995851235162,0.9925550527742087,True
cap4_floor0.0001,False,1,0.9935398526870164,1.0166770128609248,True
cap4_floor0.0001,False,2,1.0332972210462947,1.057265994883741,True
cap4_floor0.0001,False,4,1.0423750399408678,1.0680019004350623,True
cap4_floor0.0001,False,8,1.0514990477699238,1.0749353900229421,True
cap4_floor0.0001,False,12,1.007827984873323,1.0401281031147493,True
cap4_floor0.0001,False,24,0.9249369600115138,0.9925951615973996,True
cap4_floor0.01,False,1,0.9899241091060669,1.0129770672842997,True
cap4_floor0.01,False,2,1.0342844625868766,1.0582761368722555,True
cap4_floor0.01,False,4,1.0427201040615046,1.0683554479803221,True
cap4_floor0.01,False,8,1.052430062472116,1.0758871556513945,True
cap4_floor0.01,False,12,1.0099199658197786,1.0422871304549781,True
cap4_floor0.01,False,24,0.9286897648026486,0.9966224802570985,True
cap8_floor1e-06,False,1,0.9862438457487209,1.0092110994204349,True
cap8_floor1e-06,False,2,1.0336070303402525,1.0575829906374592,True
cap8_floor1e-06,False,4,1.0438053666979012,1.069467391871658,True
cap8_floor1e-06,False,8,1.0516383749259108,1.0750778225730042,True
cap8_floor1e-06,False,12,1.0477249563541995,1.0813037421020346,True
cap8_floor1e-06,False,24,1.0740862130565931,1.152654531401985,True
cap8_floor0.0001,False,1,0.9862082164900159,1.0091746404417508,True
cap8_floor0.0001,False,2,1.033616855509845,1.0575930437155987,True
cap8_floor0.0001,False,4,1.0438088427947814,1.0694709534286135,True
cap8_floor0.0001,False,8,1.051641366631948,1.0750808809596974,True
cap8_floor0.0001,False,12,1.0477252033736357,1.0813039970382556,True
cap8_floor0.0001,False,24,1.0740725599661711,1.1526398796018302,True
cap8_floor0.01,False,1,0.9826582440418726,1.0055419976498627,True
cap8_floor0.01,False,2,1.0346003166583642,1.0585993176205706,True
cap8_floor0.01,False,4,1.0441565694408181,1.0698272289576407,True
cap8_floor0.01,False,8,1.0519406232193635,1.0753868075291917,True
cap8_floor0.01,False,12,1.0477499059055733,1.0813294912675009,True
cap8_floor0.01,False,24,1.0727090015463199,1.1511765782649663,True
cap12_floor1e-06,False,1,0.9850747403410958,1.0080147683519536,True
cap12_floor1e-06,False,2,1.0336388269294796,1.057615524793033,True
cap12_floor1e-06,False,4,1.0441439767185505,1.0698143266424487,True
cap12_floor1e-06,False,8,1.0516277681662838,1.075066979404557,True
cap12_floor1e-06,False,12,1.0532362352557294,1.086991653288888,True
cap12_floor1e-06,False,24,1.0978970881418435,1.1782071478773015,True
cap12_floor0.0001,False,1,0.9850386197267644,1.0079778065751492,True
cap12_floor0.0001,False,2,1.033648667703032,1.0576255938370875,True
cap12_floor0.0001,False,4,1.0441476247210224,1.0698180643313067,True
cap12_floor0.0001,False,8,1.051630711929574,1.0750699887799318,True
cap12_floor0.0001,False,12,1.0532390458344352,1.0869945539444978,True
cap12_floor0.0001,False,24,1.0978942974904782,1.178204153092616,True
cap12_floor0.01,False,1,0.9814398865363219,1.004295267520226,True
cap12_floor0.01,False,2,1.0346336922212256,1.0586334673762794,True
cap12_floor0.01,False,4,1.0445125537406623,1.0701919651554492,True
cap12_floor0.01,False,8,1.0519251715090812,1.0753710114233805,True
cap12_floor0.01,False,12,1.0535201794760616,1.0872846977049169,True
cap12_floor0.01,False,24,1.0976153039783523,1.177904751487722,True
