dy,dx,pairs,product
0,0,576,0.9599471747781826
0,1,552,0.7827489032385462
0,2,528,0.44589538749916663
0,3,504,0.22075611742326215
0,4,480,0.13206952456464607
0,5,456,0.0949210617703623
0,6,432,0.06547358684221645
0,7,408,0.03304506557900114
0,8,384,0.013729585760119732
0,9,360,0.012274939628030205
0,10,336,0.008306896368515152
0,11,312,-0.00013040733295826732
0,12,288,-0.0042405593215803375
1,-12,276,-0.0035416365158581742
1,-11,299,-0.000491830833327937
1,-10,322,0.006500541025767191
1,-9,345,0.009263592717440587
1,-8,368,0.010132031764342074
1,-7,391,0.031312430822760945
1,-6,414,0.06959903260911017
1,-5,437,0.10339209945474953
1,-4,460,0.1395117070703094
1,-3,483,0.21747951318213085
1,-2,506,0.39882881892718625
1,-1,529,0.6551033737524039
1,0,552,0.7761437088046619
1,1,529,0.6217431655241972
1,2,506,0.3541003013828168
1,3,483,0.18176024135476132
1,4,460,0.11319610469367408
1,5,437,0.08078572017080908
1,6,414,0.055797814870997324
1,7,391,0.03061862228065549
1,8,368,0.01597966821982675
1,9,345,0.01465806691552415
1,10,322,0.009991990770704059
1,11,299,0.0011576864291541786
1,12,276,-0.003210233661411498
2,-12,264,-0.002218961470355321
2,-11,286,-0.00016210137459402537
2,-10,308,0.005648134485712363
2,-9,330,0.008161684797086056
2,-8,352,0.009051836634018269
2,-7,374,0.028211646453309265
2,-6,396,0.06594734745161893
2,-5,418,0.09867418625622422
2,-4,440,0.1253280414229111
2,-3,462,0.1720469296810523
2,-2,484,0.2645842448254313
2,-1,506,0.38086400434035156
2,0,528,0.42621373758070424
2,1,506,0.34654181171474896
2,2,484,0.2205073223623399
2,3,462,0.13620384051736542
2,4,440,0.09216906789664427
2,5,418,0.0635432959953833
2,6,396,0.04208327800629399
2,7,374,0.024108568100571798
2,8,352,0.015397219219653806
2,9,330,0.0146579484085493
2,10,308,0.010095593102117542
2,11,286,0.002716509976043114
2,12,264,-0.0003888260789519179
3,-12,252,0.001242325418729805
3,-11,273,0.002878909130443142
3,-10,294,0.008513380711839918
3,-9,315,0.012385795493976608
3,-8,336,0.014171502419677354
3,-7,357,0.027776742937381426
3,-6,378,0.057415123025617215
3,-5,399,0.08411550647925134
3,-4,420,0.10044168932109178
3,-3,441,0.12151478453214289
3,-2,462,0.15471885998567225
3,-1,483,0.18633018537423088
3,0,504,0.1943265009332692
3,1,483,0.17194378749572142
3,2,462,0.13472558658657965
3,3,441,0.09688076177787128
3,4,420,0.0634745541596249
3,5,399,0.03951267318221217
3,6,378,0.02430511972708472
3,7,357,0.014928968562652337
3,8,336,0.0128387162000051
3,9,315,0.013074566396821556
3,10,294,0.00921011765054828
3,11,273,0.0045224895736133445
3,12,252,0.0034104217632996425
4,-12,240,0.006182077495673033
4,-11,260,0.006784518137475518
4,-10,280,0.012569045961853983
4,-9,300,0.018349180946549432
4,-8,320,0.020897413600431857
4,-7,340,0.02815015866913134
4,-6,360,0.04698667561901569
4,-5,380,0.06669696228409473
4,-4,400,0.07753584131937384
4,-3,420,0.08536180747786308
4,-2,440,0.09435220188119141
4,-1,460,0.10060967216545422
