fold,model,core,q,logpdf
0,cap4_floor1e-06,training_r02_c14,0.41460374063849287,0.9223627829713206
0,cap4_floor1e-06,training_r03_c15,0.39815056200640775,0.9305893722873632
0,cap4_floor1e-06,training_r04_c16,0.39363044723428403,0.932849429673425
0,cap4_floor1e-06,training_r05_c17,0.4053538236679127,0.9269877414566106
0,cap4_floor1e-06,training_r06_c18,0.3957232724434973,0.9318030170688184
0,cap4_floor1e-06,training_r09_c18,0.3983593028752386,0.9304850018529477
0,cap4_floor1e-06,training_r10_c19,0.4033224921172218,0.9280034072319561
0,cap4_floor1e-06,training_r12_c18,0.4100946448180307,0.9246173308815517
0,cap4_floor1e-06,training_r16_c16,0.404178353978417,0.9275754763013585
0,cap4_floor1e-06,training_r18_c12,0.4043833566449532,0.9274729749680906
0,cap4_floor0.0001,training_r02_c14,0.4145816578153828,0.9198323163552811
0,cap4_floor0.0001,training_r03_c15,0.398128432847305,0.9280589288393198
0,cap4_floor0.0001,training_r04_c16,0.3936067609488474,0.9303197647885488
0,cap4_floor0.0001,training_r05_c17,0.4053305786281028,0.924457855948921
0,cap4_floor0.0001,training_r06_c18,0.3957007843391036,0.9292727530934206
0,cap4_floor0.0001,training_r09_c18,0.39833674825672816,0.9279547711346083
0,cap4_floor0.0001,training_r10_c19,0.4033006612703793,0.9254728146277829
0,cap4_floor0.0001,training_r12_c18,0.41007297014600985,0.9220866601899674
0,cap4_floor0.0001,training_r16_c16,0.4041551011315642,0.9250455946971903
0,cap4_floor0.0001,training_r18_c12,0.404360025429227,0.9249431325483589
0,cap4_floor0.01,training_r02_c14,0.4128972696841882,0.800093081103626
0,cap4_floor0.01,training_r03_c15,0.3964661631445885,0.8083086343734257
0,cap4_floor0.01,training_r04_c16,0.391796854161676,0.8106432888648821
0,cap4_floor0.01,training_r05_c17,0.4035733303753047,0.8047550507580676
0,cap4_floor0.01,training_r06_c18,0.3940090375034133,0.8095371971940132
0,cap4_floor0.01,training_r09_c18,0.3966251129786799,0.8082291594563799
0,cap4_floor0.01,training_r10_c19,0.40164225453965524,0.8057205886758925
0,cap4_floor0.01,training_r12_c18,0.40844225003597606,0.8023205909277318
0,cap4_floor0.01,training_r16_c16,0.4023997604485539,0.8053418357214431
0,cap4_floor0.01,training_r18_c12,0.4026176919447224,0.8052328699733586
