group,branch,center,kind,shift,n,z_mean,z2_mean,z_sd
empirical,boxcar_independent,10,rotation,0,18,0.06041373964062099,2.119828455801567,1.4968833395062915
empirical,boxcar_independent,10,rotation,-4,18,0.636352696635379,3.13548585045473,1.70034148346932
empirical,boxcar_independent,10,rotation,4,18,-0.06337791100405837,1.9523115566923872,1.4362800469924069
empirical,boxcar_independent,10,warp,0,18,-0.04127678841309194,1.72170802226764,1.3495113817733075
empirical,boxcar_independent,10,warp,-4,18,0.6268073145927021,2.9652426277932187,1.6503545773559136
empirical,boxcar_independent,10,warp,4,18,-0.16044284952832663,1.6640396282126382,1.3170680219260114
empirical,boxcar_independent,10,streaming,0,18,-0.04437819120787117,1.528177860556616,1.2712141454399184
empirical,boxcar_independent,10,streaming,-4,18,0.566942802039747,2.8531343293195186,1.6372642783839704
empirical,boxcar_independent,10,streaming,4,18,-0.16478569780612576,1.281063249591197,1.1522448836182508
empirical,boxcar_independent,36,rotation,0,18,-0.5982743177027439,2.9032909669018583,1.6416716469398454
empirical,boxcar_independent,36,rotation,-4,18,-0.42238950405064496,1.572169888534251,1.2148015068372238
empirical,boxcar_independent,36,rotation,4,18,-0.40453473897307834,2.240805241172562,1.4830180664176174
empirical,boxcar_independent,36,warp,0,18,-0.5149208281109914,2.4817222983876976,1.5319810147989161
empirical,boxcar_independent,36,warp,-4,18,-0.23504311122246724,1.4673625898091969,1.2227767787768247
empirical,boxcar_independent,36,warp,4,18,-0.3819496815202096,2.300822177849987,1.5105289127333699
empirical,boxcar_independent,36,streaming,0,18,-0.32584432523604223,2.0445574454306543,1.4326218782062448
empirical,boxcar_independent,36,streaming,-4,18,-0.08812054821891575,1.6628056018152315,1.323780830321264
empirical,boxcar_independent,36,streaming,4,18,-0.29255313013307815,2.137656303362112,1.474034907588214
empirical,boxcar_independent,61,rotation,0,18,0.2504892901973753,1.4294049233778323,1.202934664005843
empirical,boxcar_independent,61,rotation,-4,18,0.24381989394458956,1.4368716400056227,1.2076623746094448
empirical,boxcar_independent,61,rotation,4,18,0.1917419104439724,1.5129734561158512,1.2502176969517478
empirical,boxcar_independent,61,warp,0,18,0.2563353600809742,1.1521630216450065,1.0725503878663654
empirical,boxcar_independent,61,warp,-4,18,0.35684186271838136,1.3163070991293946,1.1220117886174046
empirical,boxcar_independent,61,warp,4,18,0.13436783626365212,1.276931365424282,1.1545251048155207
empirical,boxcar_independent,61,streaming,0,18,0.2672159538991472,1.0038081905086633,0.9936051068125542
empirical,boxcar_independent,61,streaming,-4,18,0.43308418385106817,1.3613777260183488,1.1148380173263697
empirical,boxcar_independent,61,streaming,4,18,0.08345437115245323,1.2146729267753857,1.1308182697081326
