axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	dimensionless_potential	log_dimensionless_potential	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	gema_zcomp_1mpc_percent	gema_zcomp_5mpc_percent	gema_footprint_1mpc	gema_footprint_5mpc	gema_nneigh	gema_q_nn	gema_dnn_mpc	gema_q_lss	gema_eta_k	gema_dkn_mpc	mass_bin	sersic_bin	sample_cell	role	outer_fold	response_read	map_downloaded
6.189510000000e-01	1.531653000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.716983413696e+01	1.319231000000e+00	0.000000000000e+00	5.969000000000e-01	2.212481000000e+01	4.393835000000e+00	5.295150000000e+00	3.445749000000e+00	6.233102941476e-01	1.117050445523e+00	-1.076064590316e+01	1.000354669310e+01	-4.278753527897e-01	8.756926104807e+00	1-382312	-4.066807905330e+00	10218-3701	1.175879058838e+02	4.590640000000e-02	5.000000000000e-01	1.749447000000e-01	3.635909000000e-01	1.309334000000e+01	2.239140434750e+03	1.008199999995e+10	4.200590000000e+00	1.148564391223e-07	-6.939844652216e+00	7.964085508008e-11	3.247335807102e+07	7.511527201355e+00	1.000000000000e+02	5.081999969482e+01	1	1	64	-5.459038300000e+00	7.898831000000e-01	-4.269807300000e+00	-1.073520000000e-02	9.928925000000e-01	1	0	m1-n0	exploration	2	False	False
4.400250000000e-01	1.836404000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.013629531860e+01	1.603722000000e+00	0.000000000000e+00	7.964000000000e-01	8.284196000000e+00	3.043555000000e+00	2.190321000000e+00	-5.697646000000e-01	7.037065543279e-01	9.637570952030e-01	-1.133495265072e+01	1.045477018541e+01	-5.056013231352e-01	9.047357076759e+00	1-122535	-4.171825261216e+00	10496-12701	1.246722030640e+02	6.100540000000e-02	1.647270000000e+00	1.317703000000e-01	3.454627000000e-01	9.199349000000e+00	2.184763869645e+03	2.849509999968e+10	5.054830000000e+00	2.697631224968e-07	-6.569017420086e+00	1.554414669627e-10	5.266982957754e+07	7.721561913124e+00	5.000000000000e+01	5.400000000000e+01	1	1	27	-4.514030900000e+00	1.087265500000e+00	-4.134383200000e+00	-1.176677600000e+00	2.429683400000e+00	1	1	m1-n1	exploration	2	False	False
7.598390000000e-01	1.877461000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.369520950317e+01	1.657246000000e+00	0.000000000000e+00	6.803000000000e-01	1.963535000000e-01	1.743315000000e+00	8.721092000000e-01	-2.617360000000e+00	4.484094763437e-01	7.536777967555e-01	-1.282371299938e+01	8.957372599298e+00	-7.393300800564e-01	8.060553646611e+00	1-300680	-3.806072085134e+00	10505-3704	1.397605895996e+02	2.349320000000e-02	1.601580000000e+00	1.360378000000e-04	5.264623000000e-04	5.671237000000e+00	2.597144292639e+02	9.065099999991e+08	2.808080000000e+00	1.544834898503e-08	-7.811117928214e+00	1.602372400792e-11	9.773622506720e+06	6.990055560964e+00	8.636399841309e+01	4.713100051880e+01	1	1	136	-3.179884200000e+00	1.266878000000e-01	-2.029900100000e+00	1.705682600000e+00	2.659273000000e-01	0	1	m0-n1	exploration	2	False	False
7.178302000000e-01	1.949560000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.733605766296e+01	1.761487000000e+00	0.000000000000e+00	6.889000000000e-01	6.151582000000e-02	2.191704000000e+00	-5.524890000000e-01	-3.355095000000e+00	6.462953841770e-01	6.922669737292e-01	-1.337010408269e+01	9.315983772712e+00	-7.430305516033e-01	8.023393004358e+00	1-456688	-3.688548810090e+00	11006-3704	1.949056396484e+02	2.325750000000e-02	1.967812000000e+00	8.828353000000e-05	2.852741000000e-04	4.923421000000e+00	5.314251219566e+02	2.070064000002e+09	4.428895000000e+00	2.236697937962e-08	-7.650392662633e+00	1.470966607260e-11	5.688647337059e+06	6.755009010879e+00	7.611900329590e+01	6.621600341797e+01	1	1	465	-4.546660400000e+00	2.791084000000e-01	-2.443934000000e+00	1.395110800000e+00	3.375102000000e-01	0	1	m0-n1	exploration	2	False	False
6.412699000000e-01	1.306844000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.547504043579e+01	1.201444000000e+00	0.000000000000e+00	3.509900000000e-01	6.928444000000e+01	4.436155000000e+00	5.909130000000e+00	4.649926000000e+00	5.589107942998e-01	1.127233771155e+00	-1.006922522347e+01	9.143219089314e+00	-1.971535108309e-01	8.025397500715e+00	1-522006	-3.733243353208e+00	11009-1902	1.957740631104e+02	2.429634000000e-02	1.511788000000e+00	1.185752000000e-01	1.589377000000e-01	1.340398000000e+01	2.285444425463e+03	1.390653999999e+09	3.621686000000e+00	1.837499560357e-08	-7.735772756154e+00	1.477771580275e-11	6.988727339744e+06	6.844398097112e+00	3.333300018311e+01	5.572900009155e+01	1	1	289	-3.698252900000e+00	2.457074000000e-01	-3.599601700000e+00	-1.371513000000e-01	1.094059500000e+00	0	0	m0-n0	exploration	3	False	False
8.005680000000e-01	1.354534000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.614254188538e+01	1.256673000000e+00	0.000000000000e+00	3.949300000000e-01	4.682338000000e+01	4.002311000000e+00	5.728931000000e+00	4.291409000000e+00	6.705162749365e-01	6.455119684251e-01	-1.035311284406e+01	8.901523269993e+00	-7.224006405110e-01	7.560490720120e+00	1-457110	-3.444987222592e+00	11009-3704	1.955740509033e+02	2.153035000000e-02	1.559000000000e+00	3.535171000000e-02	5.378311000000e-02	4.420913000000e+00	1.237044550671e+03	7.971192000007e+08	4.682915000000e+00	8.145653720845e-09	-8.089074056111e+00	5.066412302395e-12	1.853044444776e+06	6.267885835881e+00	1.250000000000e+01	5.475199890137e+01	1	1	355	-3.769969900000e+00	7.840194000000e-01	-3.234280600000e+00	-1.610882000000e-01	1.114345600000e+00	0	1	m0-n1	exploration	3	False	False
7.472405000000e-01	1.960609000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.625004959106e+01	1.764146000000e+00	0.000000000000e+00	6.946200000000e-01	1.188840000000e-01	1.841454000000e+00	7.613209000000e-01	-4.065479000000e+00	5.881451546069e-01	6.281269459271e-01	-1.276642608086e+01	9.155674230265e+00	-6.825731220337e-01	7.979383921051e+00	1-456345	-3.695619383222e+00	11009-6103	1.938120727539e+02	2.166689000000e-02	2.233047000000e+00	2.450463000000e-04	1.230860000000e-03	4.247437000000e+00	6.431169331271e+02	1.431114000000e+09	3.873871000000e+00	1.767860630989e-08	-7.752551975510e+00	1.329210399672e-11	5.876925118554e+06	6.769150157142e+00	5.833300018311e+01	5.606700134277e+01	1	1	358	-3.033487100000e+00	1.928755000000e-01	-2.662196900000e+00	5.424374000000e-01	6.493986000000e-01	0	1	m0-n1	exploration	0	False	False
7.183927000000e-01	1.874864000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.702298927307e+01	1.669114000000e+00	0.000000000000e+00	6.306000000000e-01	4.867055000000e-02	2.912087000000e+00	1.310290000000e+00	-1.699446000000e+00	6.687049034427e-01	6.142389510155e-01	-1.313865663119e+01	9.376813929591e+00	-7.421088887965e-01	8.039404122706e+00	1-456734	-3.685349609632e+00	11014-3703	1.943395538330e+02	2.671780000000e-02	2.152815000000e+00	1.730443000000e-04	8.120794000000e-04	4.113760000000e+00	1.284168009008e+02	2.381298999999e+09	4.663424000000e+00	2.443587950787e-08	-7.611972025020e+00	1.526208725632e-11	5.605451637864e+06	6.748610609960e+00	7.000000000000e+01	5.786199951172e+01	1	1	249	-1.635699200000e+00	7.123930000000e-02	-1.484346400000e+00	1.255166000000e+00	3.757813000000e-01	0	1	m0-n1	exploration	4	False	False
5.494034000000e-01	1.453093000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.892839813232e+01	1.272415000000e+00	0.000000000000e+00	4.260200000000e-01	4.191504000000e+01	3.536167000000e+00	5.011371000000e+00	2.748086000000e+00	8.491910881164e-01	5.009799311540e-01	-1.009434803946e+01	9.285565634781e+00	-1.003624109875e+00	7.587183458548e+00	1-122203	-3.368996185216e+00	11742-12702	1.233963470459e+02	4.111031000000e-02	2.282812000000e+00	1.553165000000e-01	2.546981000000e-01	3.169421000000e+00	1.284436427926e+03	1.930037000001e+09	7.066284000000e+00	1.307053894604e-08	-7.883706504503e+00	5.387574243577e-12	1.305881475097e+06	6.115903761129e+00	3.333300018311e+01	4.948500061035e+01	1	1	51	-4.100725200000e+00	8.841487000000e-01	-2.841902500000e+00	-9.559307000000e-01	2.051008200000e+00	0	1	m0-n1	reserved_confirmation		False	False
5.330449000000e-01	1.661965000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.024982070923e+01	1.461068000000e+00	0.000000000000e+00	7.922900000000e-01	1.218020000000e+01	2.767383000000e+00	2.392372000000e+00	-6.687132000000e-01	6.738708678868e-01	1.108206345948e+00	-1.105739960572e+01	1.026759501786e+01	-3.540680776938e-01	8.919853282089e+00	1-218707	-4.122991207101e+00	11746-9102	1.285587310791e+02	4.957467000000e-02	2.308802000000e+00	1.622540000000e-01	4.360293000000e-01	1.282940000000e+01	2.644950040500e+03	1.851803999989e+10	4.719227000000e+00	1.877773037366e-07	-6.726356901195e+00	1.158945708220e-10	4.206237635143e+07	7.623893804897e+00	6.000000000000e+01	6.528900146484e+01	1	1	83	-2.495067400000e+00	2.079833000000e-01	-2.406880600000e+00	-2.771620000000e-01	1.218179100000e+00	1	1	m1-n1	exploration	1	False	False
