plateifu,y,baseline,asymmetry,clumpiness,tidal_bar,all_disturbance
10001-6103,2.1316411162161306,2.2090600361293,2.208324978992162,2.208918573978833,2.1555845771480158,2.1699884301435843
10001-9101,1.74719623867139,1.73325435247625,1.7350348627011332,1.733489768208246,1.7214907273757265,1.7394101762094376
10214-1902,1.884434755520393,1.898384719316706,1.8946861906886558,1.8990919769307086,1.9209673519488255,1.901494146536116
10218-6103,1.929735436574831,1.8479976858909364,1.850632328649598,1.8481912779033747,1.8706328030177626,1.8521395981848512
10220-1902,2.005726041848597,2.035382847631533,2.00188827331671,2.0357499199667064,2.0306887224634647,2.015152171329702
10221-3703,2.1549632346143164,2.063082961943615,2.0665033345027255,2.06340763164914,2.0878930126841992,2.127537877339549
10494-6104,2.391865019284089,2.2018368070665155,2.203301450502612,2.201765445365431,2.196278530494508,2.183723630415963
10498-6101,2.1528827984623473,2.3308841838011296,2.431434024141458,2.3274005771702972,2.328473162433022,2.37083015148036
10499-3703,1.8844317520252976,1.8742340354077789,1.8784735991750878,1.8702240707765152,1.849379473298159,1.8559873038042602
10499-6101,2.326292634185271,2.3335789880811255,2.3348193679138394,2.333289203792944,2.3514730604570966,2.3497415779380275
10503-1902,1.951749223244108,2.0506292037872127,2.0416700039694544,2.051507891199806,2.0485836491815745,2.015455270673248
10504-6102,1.9171825832142928,1.9805583364217614,1.9866235540089676,1.9785474285008755,1.9725149928756522,1.9984886783769198
10506-6101,1.861590501118281,1.9565723278730653,1.95556001747932,1.956272008247841,1.9309355600047018,1.9379281317074968
10506-9101,1.800308566939198,1.8563605406001351,1.8553698365684257,1.8561319023367033,1.88394770736882,1.8835483888819284
10506-9102,1.986290699493137,1.9013032025893148,1.8967484779829127,1.9033060014309762,1.930028115709757,1.9329517084907037
10507-12705,1.9718767636371328,2.0287956600895822,2.014759824842952,2.031770635555563,2.033746936424196,2.017610280957206
10507-6101,2.2427227605581783,2.1468667005020317,2.150704772837584,2.1308257447367573,2.1660824566174535,2.172566476538724
10507-6102,1.801206826396585,1.7569420388835768,1.7581428515639672,1.7569964143290115,1.7910104498222112,1.7797163291744595
10514-12703,1.723190909795157,1.702759545732112,1.6991826561233254,1.7116559622745653,1.6810997570234183,1.676965862437468
10514-1901,1.939453204883993,2.091192495802308,2.092232508693365,2.0919775661977718,2.087054660237145,2.0965129191084646
