plateifu,y,baseline,asymmetry,clumpiness,tidal_bar,all_disturbance
10001-6103,2.1316411162161306,2.244315716957152,2.247028053367676,2.244748706663613,2.2240644511347565,2.2363384997525486
10001-9101,1.74719623867139,1.7332509665438045,1.7299486623146405,1.7292934922160998,1.7357078233589627,1.7427119868998335
10214-1902,1.884434755520393,1.948956174278037,1.9634183514891752,1.9628030952045297,1.9558661040312086,1.9467612182365375
10218-6103,1.929735436574831,1.7888704999349643,1.804830089511413,1.7976698841461085,1.8008752192089799,1.80933661303708
10220-1902,2.005726041848597,1.993449048584788,2.016435625679462,2.0149395756494357,2.02010003457196,2.008257601139065
10221-3703,2.1549632346143164,2.09366336480166,2.1062486313045907,2.106976805630844,2.1062585577024935,2.112875108793834
10494-6104,2.391865019284089,2.275101773597415,2.2842653777369093,2.2844113084064253,2.2809983416861734,2.277660535646262
10498-6101,2.1528827984623473,2.076684805774663,2.081885006860545,2.08484376530382,2.065153187477824,2.061056765768777
10499-3703,1.8844317520252976,1.893823775725337,1.9005176857610884,1.9001553765113859,1.8671092194681205,1.8699641772803677
10499-6101,2.326292634185271,2.340900536711035,2.3351747385069883,2.33544351210117,2.344011492050752,2.33839361842723
10503-1902,1.951749223244108,1.9745941844637889,1.9827904321914231,1.9809529045302339,1.9761287974481647,1.978008857291946
10504-6102,1.9171825832142928,2.015816432035867,1.9991096591097026,2.0030653754300647,2.007519933839603,2.0280548807615895
10506-6101,1.861590501118281,1.9319753760656264,1.9334754495074638,1.9355009686995588,1.9332460338170825,1.9393035205033309
10506-9101,1.800308566939198,1.8441793823057644,1.8270666764431,1.8416192584416655,1.8618942377205558,1.8386054403076755
10506-9102,1.986290699493137,1.9009573786374871,1.9112698577212783,1.9115739589132115,1.9295293703948926,1.9194816119247902
10507-12705,1.9718767636371328,2.0501792517514987,2.041637846782983,2.0427961284375193,2.053364445896143,2.0389948059325973
10507-6101,2.2427227605581783,2.1755339006971774,2.1810193472371497,2.179557322243623,2.1835803467995256,2.1766676907511244
10507-6102,1.801206826396585,1.7433517918190913,1.7507972754668657,1.7393988160478342,1.7852514903570322,1.7749717769653313
