plateifu,y,baseline,break,balmer,star_formation,all_population,crossing_proxy
10001-6103,2.1316411162161306,2.145034313937951,2.1680424127119986,2.1594853286248252,2.150099342799135,2.174318771701607,2.1450932018301656
10001-9101,1.74719623867139,1.732325957217689,1.7239624767560133,1.7066981651635564,1.733548207285776,1.7040702106400873,1.732366902988035
10214-1902,1.884434755520393,1.9226257971949872,1.886726557644424,1.9015191748094884,1.8995363568455288,1.9246834508789221,1.9226308487965975
10218-6103,1.929735436574831,1.8165401320596604,1.807198048846775,1.8140254281489794,1.8024574404079081,1.848379003141308,1.8165075265920525
10220-1902,2.005726041848597,2.1211924303263467,2.0475337572823875,2.0627158387185145,2.1092270173156678,2.0111178089644635,2.1211843021655357
10221-3703,2.1549632346143164,2.0330152099658263,2.0832027936710604,2.081977442464233,2.0551138718544655,2.0650706275810187,2.033041881534372
10494-6104,2.391865019284089,2.174797450605551,2.204414950836106,2.1987546110918985,2.1828523359291516,2.1969261555788884,2.1748379280172228
10498-6101,2.1528827984623473,2.2122249666945244,2.1378925404053297,2.088314013205312,2.202858570850011,2.2285902456320983,2.2122857481518605
10499-3703,1.8844317520252976,1.9146598187649764,1.8801891301132445,1.8878517473346084,1.9042406235472138,1.8758142748477455,1.9146721014336054
10499-6101,2.326292634185271,2.3287540395228676,2.364213216524874,2.3715406723210166,2.3478200389649135,2.3224193156181503,2.3287521899745633
10503-1902,1.951749223244108,2.054053349467676,2.075724962030418,2.0773051799083975,2.0734673237086056,2.028806726238377,2.0540639856190883
10504-6102,1.9171825832142928,1.9543273581465357,1.9626548978934673,1.9634072307160482,1.9617897365813086,1.9310734040429198,1.9543074937467313
10506-6101,1.861590501118281,1.8995399958562522,1.8949053517566934,1.895440397912337,1.8961472057335311,1.9028659935365417,1.8995574999138785
10506-9101,1.800308566939198,1.843815644108481,1.8385442148954678,1.8445373649263712,1.8431289650645337,1.8309686430528413,1.8437925912886322
10506-9102,1.986290699493137,1.9183268687465873,1.8645700187198002,1.8648260468131772,1.897044855345715,1.8778344452294276,1.9183707447653666
10507-12705,1.9718767636371328,2.0252356992799903,1.98307582187976,2.00382999632395,2.0084801562488868,2.0053557352776985,2.025226812874462
10507-6101,2.2427227605581783,2.1685386827061817,2.1761418231204344,2.1826827024929867,2.194670747026396,2.107448249911549,2.168558100537445
10507-6102,1.801206826396585,1.7440752481842219,1.7512988109345102,1.7470650031434385,1.7416045718942899,1.7598648160333397,1.744062496032522
10514-12703,1.723190909795157,1.6264035640083099,1.644678854772953,1.629570877266224,1.6274386577062394,1.6552305012560304,1.6263204235466735
10514-1901,1.939453204883993,2.0897865586510584,2.0894319320352497,2.0849029756978523,2.098323816849061,2.0500610475807415,2.0897792336716408
10514-6103,1.939607101007604,1.959260814953163,1.9243024677559717,1.9404685307506613,1.9512421129530413,1.9175737809558995,1.959282967208472
10516-6104,1.927347364329845,1.934305644617534,1.9321969732149975,1.936518786811972,1.9290834654247675,1.9583158733691763,1.9343107621297693
10516-9102,1.8300338673126635,1.5629558526277476,1.5924413349648199,1.580348399614896,1.5666169684381326,1.6174295269522578,1.5628984604201912
10518-6104,1.9430963455774701,1.8841913550759943,1.8485854841494251,1.8474014637525418,1.8546251305542067,1.9318145554593376,1.88425305616959
10518-9102,1.9404664784229824,1.9554768679215186,1.979272633098873,1.9651187868849398,1.961142705271445,2.0042448758748903,1.9554562616307023
10519-9102,2.097128147764901,2.1014466678251558,2.0862809981077994,2.10278523128749,2.0933452128579773,2.1079870689471227,2.1014295994915733
10837-3702,2.3550392524182486,2.2670092034474023,2.3060633484938142,2.2898701199399376,2.28133619362498,2.3154751803307434,2.267018361332707
11004-1901,2.0459528357084866,2.181752157037839,2.12182357630324,2.122952087578087,2.1601113724899457,2.110318875830271,2.181659249504603
11007-9101,1.6920314776645282,1.8015826123398206,1.8706543137882659,1.8560904728496728,1.8359660645614904,1.8306835877744845,1.8016046392196288
11010-9102,1.9530552641755674,2.0828562092028506,2.0474268832117724,2.0405795920470413,2.075297073390753,2.0280784711167574,2.0827889602704692
11013-6102,1.7920792353377881,1.6266962959672475,1.676606130508128,1.6675175452629913,1.6401524747291165,1.6829000952158433,1.6265869714923684
11017-6101,1.824301664793917,1.8906245620725883,1.8487596279112397,1.8303373330365875,1.8672856456961218,1.8682937237015633,1.890623279649617
11019-1901,2.0451030370680368,2.0096875614151717,2.005906896237568,2.0046059305012305,2.0143176539829053,2.0161260146313325,2.0097273423326474
11742-3703,2.3858892770324513,2.246125016834391,2.280240158283191,2.2836234937626716,2.2510188850835275,2.319745882031333,2.246116400879923
11743-6101,1.8595940972658402,1.9219011870491765,1.9256093055115036,1.930405175326184,1.9234663027148968,1.9307009804551485,1.921927996702941
11743-6104,1.896482620512642,1.9616998072326153,1.9538723934861288,1.96004663619142,1.9659351903678972,1.9435979556685814,1.9617008216702507
11744-6101,2.3314862107969203,2.260863987281577,2.259969126745004,2.2589228025856096,2.2712164268358013,2.2266952830718854,2.260836776769281
11744-6104,2.37472708888233,2.347378809604095,2.3803705012405847,2.3692719658630774,2.3645641288831074,2.3558093741907467,2.347363530508902
11750-3704,2.306170595872537,2.244264360771698,2.2665028638856946,2.2630774020697357,2.2593048159455744,2.2308458690611097,2.244303379216004
11751-3702,1.8033776925873493,1.9250958026557956,1.8571442372624707,1.8419833560375638,1.8968448475128983,1.8621597118485966,1.9249739744459036
11758-12701,2.252455676034925,2.143978625955671,2.2064328956013206,2.174158456574468,2.1618918174753814,2.2162784999862875,2.1439523524852513
11824-3701,1.9887278708216556,2.0667053394773864,2.014349551404158,2.0523247233397446,2.0520901963797056,2.0184936104266944,2.0667149986631883
11826-6103,1.893991051160008,1.9519759118817048,1.9247216668012377,1.9520523001309662,1.9423652206020086,1.9473305902654483,1.9520030857919959
11831-6103,1.6795929516603627,1.9401487692998616,1.7366727736924628,1.7474404475296146,1.8553774501678642,1.7353845352595676,1.9399530300738679
11832-3704,1.9255199048074465,2.024984203738076,1.9000259904318242,1.8881851275384078,1.9616557746297558,1.9391456928958704,2.024971607180796
11833-12702,1.8014081009662226,1.8528698488436386,1.8558698969277925,1.84884609122683,1.8558837169970617,1.849193544279974,1.8529090823934558
11834-1901,1.8346375424355663,1.9392922901098217,1.9387570141197785,1.9295516485373603,1.9518381409866965,1.9110686311814833,1.939355806487335
11835-6102,2.1156368015023705,2.0895505694344787,2.1458775104279604,2.103260732936224,2.0913011054672737,2.20897533221924,2.0895637065671315
11835-9102,2.084705653396597,2.0461317462547632,2.1112514351299008,2.098751410647084,2.074436879273485,2.0954773080397864,2.046143819610925
11942-3701,1.99567015608948,2.0030162998561427,2.0556282822857117,2.0368161052224,2.022737593295782,2.0310094015650204,2.003045367873763
11943-12702,1.8888598984391416,1.7713040538187683,1.8132850107629166,1.8061935584612236,1.793141428666693,1.7764848513086258,1.771350524727502
11944-6101,2.2919038398169196,2.216155951425135,2.2524527636406053,2.2400613285456865,2.234781025743681,2.2395766826326007,2.216198745431409
11944-6103,1.7246280788695834,1.7576190629435247,1.7401288012138902,1.7474972016966481,1.753004707415963,1.7404268255000703,1.7576529903913853
