group	richness_stratum	members	metadata_redshift	lr195	d10	log10_richness	log10_mass	log10_r_rms	log10_r50	log10_r90	log10_compactness_c2	log10_acceleration_compactness	log10_pair_virial_velocity	log10_q_pair	log10_q_center	potential_inner_outer_contrast	potential_dispersion	pair_center_interaction	pair_kernel_msun2_per_kpc	r_rms_kpc	epsilon_kpc	total_mass_msun	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	leave_one_out_gapper_fractional_range	log10_sigma_gap	log10_sigma_mad	log10_eta_pair
433	10_14	10	3.054909900000e-02	6.138441000000e+00	1.664475182000e+01	1.000000000000e+00	1.084313431855e+01	2.818212287374e+00	2.803105063601e+00	2.998491501518e+00	-8.295159019994e+00	-3.728261692782e+00	1.104933294160e+00	-4.486157975422e-01	2.184253433100e-01	1.958336641863e-01	2.284434899715e-01	-9.798905959244e-02	2.626881924628e+18	6.579793854951e+02	3.289896927475e+01	6.968420000000e+10	4.160614106175e+02	5.037414623606e+02	10	2.554178198112e-01	2.619157437175e+00	2.702207698591e+00	3.028448286030e+00
513	15_plus	34	5.185934800000e-02	6.124260300000e+01	6.094169660000e+00	1.531478917042e+00	1.180004690962e+01	2.646897923192e+00	2.542731994918e+00	2.848071072019e+00	-7.166932064742e+00	-2.428720373348e+00	1.764711672525e+00	-2.572859960632e-01	3.280231319239e-01	5.878517648898e-01	6.500080397066e-01	-8.439575822880e-02	4.964893076222e+20	4.435043901697e+02	2.217521950849e+01	6.310255000000e+11	3.829257495870e+02	3.404658816189e+02	34	1.027146418014e-01	2.583114571173e+00	2.532073597403e+00	1.636805797295e+00
1011	10_14	12	4.587710400000e-02	2.991535900000e+01	7.077959790000e+00	1.079181246048e+00	1.148953831770e+01	2.388138998726e+00	2.150269234472e+00	2.529569780460e+00	-7.218681732196e+00	-2.221711116335e+00	1.580754165805e+00	-5.734513420496e-01	1.639169129351e-01	-2.967113128639e-01	3.214572015867e-01	-9.399837370726e-02	1.041085252744e+20	2.444212713428e+02	2.000000000000e+01	3.087012000000e+11	4.518595289076e+02	3.076203216295e+02	12	2.497767594188e-01	2.655003445206e+00	2.488015021897e+00	2.148498558800e+00
1576	15_plus	67	5.945804700000e-02	1.418282360000e+02	7.743849540000e+00	1.826074802701e+00	1.215448915805e+01	2.842448504688e+00	2.828360906916e+00	3.037831134132e+00	-7.008040397810e+00	-2.465379287912e+00	1.851307708838e+00	-2.429855903701e-01	1.639155791647e-01	3.263607093553e-01	3.028625867171e-01	-3.982912377420e-02	1.673185996029e+21	6.957424540002e+02	3.478712270001e+01	1.427214200000e+12	5.853333968001e+02	5.769231363464e+02	67	3.627100287868e-02	2.767403303940e+00	2.761117955817e+00	1.832191190205e+00
1965	10_14	14	4.085299900000e-02	1.290091200000e+01	7.573512370000e+00	1.146128035678e+00	1.114304979236e+01	2.675493112308e+00	2.649865436278e+00	2.920158323519e+00	-7.852524371120e+00	-3.142907868842e+00	1.401036700290e+00	-2.990436341570e-01	1.553921936764e-01	4.692325022654e-01	4.905495382113e-01	-4.646904631664e-02	2.049098513419e+19	4.736887956493e+02	2.368443978246e+01	1.390112000000e+11	3.679569082469e+02	3.794017160629e+02	14	1.588622464555e-01	2.565796961048e+00	2.579099290904e+00	2.329520521516e+00
2841	10_14	14	5.293042000000e-02	1.902793600000e+01	5.992884730000e+00	1.146128035678e+00	1.129664961680e+01	2.760262104202e+00	2.675043467855e+00	2.946979913011e+00	-7.783693538574e+00	-3.158846028190e+00	1.402768417629e+00	-3.644110320246e-01	4.591141316387e-01	2.203619008381e-01	2.751693072282e-01	-1.673062545275e-01	2.941887746610e+19	5.757873300719e+02	2.878936650360e+01	1.979929000000e+11	4.839517502327e+02	3.106146432115e+02	14	1.701334127468e-01	2.684802064842e+00	2.492221925688e+00	2.564067294427e+00
3979	10_14	10	3.493575200000e-02	9.573006000000e+00	1.002691063000e+01	1.000000000000e+00	1.102551886315e+01	2.475173763725e+00	2.348035461825e+00	2.649773122677e+00	-7.769735951745e+00	-2.859800100884e+00	1.390283594094e+00	-4.033382659233e-01	1.770167051455e-01	2.049268679106e-01	2.207153680100e-01	-7.139761089286e-02	1.487735398868e+19	2.986577326696e+02	2.000000000000e+01	1.060520000000e+11	2.885679314909e+02	2.549735119541e+02	10	2.880985585874e-01	2.460248066361e+00	2.406495065886e+00	2.139928944535e+00
4481	10_14	11	3.705098000000e-02	1.451507900000e+01	1.020025594000e+01	1.041392685158e+00	1.119516404861e+01	2.709088832775e+00	2.684950487039e+00	2.807201803566e+00	-7.834005835333e+00	-3.157985053522e+00	1.530469407490e+00	-5.869675554238e-02	3.457006308087e-01	1.053315723620e+00	1.463045877662e+00	-2.029150541742e-02	4.193170375817e+19	5.117865082185e+02	2.558932541093e+01	1.567343000000e+11	3.627497485598e+02	3.643199328962e+02	11	3.442298723043e-01	2.559607120078e+00	2.561482933279e+00	2.058275425176e+00
5567	15_plus	73	4.532688000000e-02	1.017611280000e+02	1.008303345000e+01	1.863322860120e+00	1.202972170587e+01	2.846455076291e+00	2.710686805915e+00	3.064581578338e+00	-7.136814421585e+00	-2.598159883289e+00	1.842939227115e+00	-1.309485300422e-01	5.551522428179e-01	1.186166346650e+00	7.769348320127e-01	-7.269637014664e-02	1.207924542787e+21	7.021907049066e+02	3.510953524533e+01	1.070832900000e+12	6.682711911134e+02	6.899288723749e+02	73	4.153082392729e-02	2.824952739277e+00	2.838804319828e+00	1.964027024325e+00
5597	10_14	10	3.525722000000e-02	6.369280000000e+00	1.034620383000e+01	1.000000000000e+00	1.089279225393e+01	2.549668551353e+00	2.456524391194e+00	2.750766030398e+00	-7.976957348587e+00	-3.141516285354e+00	1.296754936027e+00	-3.831741852142e-01	1.287083399449e-01	3.569877546345e-01	2.846318712604e-01	-4.931771328868e-02	7.124292982975e+18	3.545427029649e+02	2.000000000000e+01	7.812540000000e+10	2.705429845676e+02	2.242202741063e+02	10	1.523379160548e-01	2.432236276753e+00	2.350674879153e+00	2.270962681451e+00
6158	15_plus	36	2.527935900000e-02	4.334578900000e+01	5.005805910000e+00	1.556302500767e+00	1.167410776259e+01	2.593993454280e+00	2.355218469866e+00	2.838244781168e+00	-7.239966742853e+00	-2.448850582547e+00	1.689900408306e+00	-3.338738463896e-01	2.085962116954e-01	2.187691356602e-01	2.726560978310e-01	-6.964481954106e-02	2.632377830137e+20	3.926390174690e+02	2.000000000000e+01	4.721801900000e+11	3.473216941480e+02	2.628959395835e+02	36	1.095632817834e-01	2.540731910735e+00	2.419783878498e+00	1.701663004858e+00
7646	10_14	12	4.501057200000e-02	2.433658000000e+00	2.848175170000e+00	1.079181246048e+00	1.130424379739e+01	2.459691779037e+00	2.299119117673e+00	2.659362067369e+00	-7.475529032813e+00	-2.550111197263e+00	1.549900795006e+00	-3.783107830304e-01	1.443218652242e-01	-2.384684940477e-01	4.978895292603e-01	-5.459851784137e-02	5.895016604592e+19	2.881985417708e+02	2.000000000000e+01	2.014855000000e+11	2.872438163773e+02	1.765060325246e+02	12	2.449500032950e-01	2.458250688215e+00	2.246759553052e+00	1.816699786416e+00
8379	10_14	11	2.613497300000e-02	1.769894100000e+01	2.730809480000e+00	1.041392685158e+00	1.126629930586e+01	1.842131479503e+00	1.066667579670e+00	2.028187434352e+00	-6.895913224816e+00	-1.352935089732e+00	1.766092300559e+00	-5.255435799216e-01	3.040933734721e-01	-3.643903443967e-01	2.652547730923e-01	-1.598143201250e-01	1.461919813910e+20	6.952347630112e+01	2.000000000000e+01	1.846287400000e+11	2.540782039182e+02	1.706687732781e+02	11	2.058008473134e-01	2.404967410725e+00	2.232154066905e+00	1.277750220332e+00
9400	10_14	11	3.269286100000e-02	1.027110000000e+00	3.499671860000e+00	1.041392685158e+00	1.113509574273e+01	2.414352637610e+00	2.331586066785e+00	2.673181872278e+00	-7.599337946047e+00	-2.628580969071e+00	1.482255469474e+00	-3.897925208616e-01	3.203217502834e-01	2.291624529623e-01	2.287708527518e-01	-1.248590225298e-01	2.924464319194e+19	2.596286634375e+02	2.000000000000e+01	1.364884000000e+11	2.461406535574e+02	2.121852338379e+02	11	2.867238416207e-01	2.391183349410e+00	2.326715157672e+00	1.817855759873e+00
9456	10_14	11	3.172539900000e-02	1.622966700000e+01	2.125950900000e+00	1.041392685158e+00	1.125013053887e+01	2.369356666871e+00	2.307279175128e+00	2.415945596312e+00	-7.439307179171e+00	-2.423554231456e+00	1.536903412843e+00	-4.405274009987e-01	2.471365659088e-02	-6.213683615000e-01	4.266771059106e-01	-1.088704290715e-02	4.902041796369e+19	2.340758811295e+02	2.000000000000e+01	1.778814000000e+11	3.218517430120e+02	3.089878805526e+02	11	1.939572514937e-01	2.507655865425e+00	2.489941445404e+00	1.941504905165e+00
9696	10_14	10	3.670348700000e-02	1.671805700000e+01	5.136350410000e+00	1.000000000000e+00	1.123598598250e+01	2.536504315486e+00	2.508335976993e+00	2.626200073429e+00	-7.620599384157e+00	-2.771994085057e+00	1.477353288648e+00	-3.783354444029e-01	1.054854711610e-01	2.479262940706e-01	2.128977773845e-01	-3.990889260975e-02	3.606884247375e+19	3.439571291877e+02	2.000000000000e+01	1.721813000000e+11	2.874345587685e+02	1.939210208370e+02	10	3.046196430389e-01	2.458538982936e+00	2.287624888701e+00	1.962371388576e+00
9772	10_14	14	4.035693000000e-02	1.877783300000e+01	2.094557970000e+00	1.146128035678e+00	1.129244127175e+01	2.585735925121e+00	2.468850457481e+00	2.814884789160e+00	-7.613375704535e+00	-2.814002015069e+00	1.554207519027e+00	-2.318506632660e-01	1.465062700459e-01	6.403968756170e-01	4.002017358778e-01	-3.396757588277e-02	5.851887320929e+19	3.852440369162e+02	2.000000000000e+01	1.960836000000e+11	3.984491348162e+02	3.115446587046e+02	14	1.629436868655e-01	2.600372888145e+00	2.493520309868e+00	2.092330738234e+00
9996	10_14	14	2.432757200000e-02	7.569243000000e+00	6.503548110000e+00	1.146128035678e+00	1.094259754875e+01	2.690805588697e+00	2.687338657920e+00	2.817942688400e+00	-8.068289091113e+00	-3.373985065224e+00	1.235878347528e+00	-4.135956196859e-01	8.253081751924e-02	-1.362484204702e-01	2.756304844028e-01	-3.413438461505e-02	6.036620707060e+18	4.906881711234e+02	2.453440855617e+01	8.761885000000e+10	4.028345145287e+02	4.302311380358e+02	14	1.181432041219e-01	2.605126673468e+00	2.633701839310e+00	2.738496651880e+00
10094	15_plus	36	3.087843900000e-02	3.972489800000e+01	4.332357480000e+00	1.556302500767e+00	1.164003210237e+01	2.633138572121e+00	2.462646069509e+00	2.880963813241e+00	-7.313187520921e+00	-2.561216478456e+00	1.735193501956e+00	-1.700668810240e-01	2.119424546358e-01	1.093173125076e+00	7.443666553244e-01	-3.604439221648e-02	2.998187240537e+20	4.296735025814e+02	2.148367512907e+01	4.365481000000e+11	3.685129556793e+02	4.610913402347e+02	36	6.163474717638e-02	2.566452760801e+00	2.663786965803e+00	1.662518517690e+00
10125	10_14	11	3.508894000000e-02	1.100079500000e+01	7.450900620000e+00	1.041392685158e+00	1.110245874722e+01	2.207026342306e+00	1.053294147304e+00	2.575088524038e+00	-7.424648646258e+00	-2.246565373978e+00	1.445327166120e+00	-6.383384273575e-01	7.236948215584e-01	-5.757869542507e-01	3.744783040465e-01	-4.619622142804e-01	2.288509527242e+19	1.610743332499e+02	2.000000000000e+01	1.266073000000e+11	3.027828464459e+02	2.757595547305e+02	11	3.014476240902e-01	2.481131267443e+00	2.440530569144e+00	2.071608202646e+00
10679	15_plus	34	2.510625000000e-02	3.257127700000e+01	8.258691470000e+00	1.531478917042e+00	1.162281800803e+01	2.396330817578e+00	2.173342132585e+00	2.611071946795e+00	-7.093593860717e+00	-2.104815063709e+00	1.842132190132e+00	-1.757831648746e-01	3.178404729084e-01	3.997898332694e-01	5.037640225627e-01	-5.587100425309e-02	4.715437941505e+20	2.490753891817e+02	2.000000000000e+01	4.195831200000e+11	2.262480660569e+02	1.593281040145e+02	34	8.087308399600e-02	2.354584875593e+00	2.202292388117e+00	1.024905370921e+00
10682	10_14	12	2.474401000000e-02	8.602980000000e+00	1.052903374000e+01	1.079181246048e+00	1.097170223161e+01	2.461257356407e+00	2.376152170132e+00	2.592539105214e+00	-7.809636175962e+00	-2.885783917782e+00	1.359219131044e+00	-4.255669678058e-01	2.101864604578e-01	3.667270130638e-01	2.465420748478e-01	-8.944841465087e-02	1.139147965921e+19	2.892393363618e+02	2.000000000000e+01	9.369194000000e+10	3.986879750285e+02	3.401810687254e+02	12	2.379959419586e-01	2.600633136948e+00	2.531710141208e+00	2.482828011807e+00
10827	15_plus	65	5.942443600000e-02	1.089757000000e+02	5.878536540000e+00	1.812913356643e+00	1.204260775849e+01	2.828547396387e+00	2.793229018760e+00	3.008332439466e+00	-7.106020689061e+00	-2.549458470862e+00	1.837060776141e+00	-1.734991645124e-01	1.480557625287e-01	2.487538391644e-01	4.038352338858e-01	-2.568755109998e-02	1.211069191153e+21	6.738254288670e+02	3.369127144335e+01	1.103081900000e+12	5.806362160561e+02	6.519663309957e+02	65	4.385573460440e-02	2.763904120615e+00	2.814225168369e+00	1.853686688948e+00
14376	10_14	12	4.251431100000e-02	3.386648800000e+01	5.657478220000e+00	1.079181246048e+00	1.152977018771e+01	2.537522724639e+00	2.346365921368e+00	2.719465702884e+00	-7.327833588097e+00	-2.480246698149e+00	1.632381246882e+00	-3.610453239953e-01	1.203817561363e-01	2.607981822618e-01	2.700546907620e-01	-4.346327014736e-02	1.448679540843e+20	3.447646460540e+02	2.000000000000e+01	3.386649000000e+11	2.928678314798e+02	1.889859610074e+02	12	1.970506426592e-01	2.466671671518e+00	2.276429543414e+00	1.668580849271e+00
14415	15_plus	15	2.419841000000e-02	2.309230700000e+01	6.056504940000e+00	1.176091259056e+00	1.138457414381e+01	2.270194866119e+00	2.226207948798e+00	2.337238429841e+00	-7.205701773473e+00	-2.090787025006e+00	1.654956374484e+00	-4.380268834148e-01	1.396233364467e-01	5.200676929796e-01	4.954736357922e-01	-6.115877491574e-02	1.150605744888e+20	1.862922834852e+02	2.000000000000e+01	2.424231800000e+11	2.324500536045e+02	1.729695145641e+02	15	2.302058850176e-01	2.366329650670e+00	2.237969566578e+00	1.422746552372e+00
14941	10_14	13	3.487347800000e-02	2.004544000000e+01	3.855872300000e+00	1.113943352307e+00	1.133201324923e+01	2.391059270767e+00	2.075399630350e+00	2.731719208335e+00	-7.379127072710e+00	-2.385076728891e+00	1.626171512375e+00	-3.221713083969e-01	3.740474908899e-01	-9.491659665209e-02	3.585632326194e-01	-1.205073695426e-01	8.928858063004e+19	2.460703408153e+02	2.000000000000e+01	2.147896000000e+11	2.893025114569e+02	2.558265838097e+02	13	2.161221576203e-01	2.461352203807e+00	2.407945671503e+00	1.670361382866e+00
15414	10_14	11	5.175031000000e-02	2.161510900000e+01	2.159565020000e+00	1.041392685158e+00	1.135170878233e+01	2.504483340358e+00	1.596035990824e+00	2.843329345261e+00	-7.472855609196e+00	-2.592229334968e+00	1.793320173136e+00	1.058545496116e-01	7.037593322506e-01	3.484199727448e+00	2.072158561252e+00	7.449612715036e-02	2.017384937520e+20	3.195091797962e+02	2.000000000000e+01	2.247547000000e+11	3.617856236912e+02	3.535598068969e+02	11	3.214550674867e-01	2.558451305267e+00	2.548462888029e+00	1.530262264262e+00
18193	10_14	12	3.548069200000e-02	1.801217200000e+01	1.163477197000e+01	1.079181246048e+00	1.127128874860e+01	2.697062557124e+00	2.627686904082e+00	2.906099943629e+00	-7.745854859689e+00	-3.057807802227e+00	1.485073570310e+00	-2.376394055476e-01	1.628888838789e-01	-2.145606880721e-01	3.929122963497e-01	-3.870881753530e-02	4.053923364653e+19	4.978087857357e+02	2.489043928678e+01	1.867621000000e+11	4.291286577721e+02	3.692375989570e+02	12	2.159695259193e-01	2.632587518254e+00	2.567305918216e+00	2.295027895888e+00
18878	10_14	10	3.809162500000e-02	6.059890000000e-01	1.818596300000e+00	1.000000000000e+00	1.116700464836e+01	2.240121558165e+00	1.987685208383e+00	2.314741831765e+00	-7.393197960974e+00	-2.248209904553e+00	1.594055977238e+00	-3.723314904054e-01	2.299307702947e-01	1.527790504496e-02	3.872149746177e-01	-8.561046639389e-02	5.266914255191e+19	1.738287303836e+02	2.000000000000e+01	1.468942000000e+11	2.652375292558e+02	2.312184442297e+02	10	2.232013932019e-01	2.423634973713e+00	2.364022474678e+00	1.659157992950e+00
19234	10_14	10	4.118439400000e-02	1.039704900000e+01	3.086576720000e+00	1.000000000000e+00	1.113589938682e+01	2.436958522433e+00	1.329116713438e+00	2.734507487154e+00	-7.621140186781e+00	-2.672989094628e+00	1.397589661185e+00	-5.373218967042e-01	7.148299228675e-01	-3.360026943229e-01	2.581813555529e-01	-3.840937699761e-01	1.983893499965e+19	2.735007505225e+02	2.000000000000e+01	1.367412000000e+11	2.800417029008e+02	2.027875490614e+02	10	3.281040084704e-01	2.447222709882e+00	2.307041286263e+00	2.099266097393e+00
